,Unnamed: 0,firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust,clnd_name_x,fg500_match,clnd_fg500,rank,name,emps,clnd_name_y
0,419,Hon Hai Precision Industry Co.,foxconn.com/,224.0,503500.0,503276.0,7000.0,FirmSize.LARGE_FIRM,2,foxconn.com,0,Hon Hai Precision Industry Co,Hon Hai Precision Industry,Hon Hai Precision Industry,23,Hon Hai Precision Industry,"667,680",Hon Hai Precision Industry
1,1135,Tata Consultancy Services Limited,tcs.com/,380007.0,394998.0,14991.0,394998.0,FirmSize.LARGE_FIRM,0,tcs.com,0,Tata Consultancy Services Limited,Tata Motors,Tata Motors,265,Tata Motors,"81,090",Tata Motors
2,504,Hitachi,hitachi.com/,10457.0,319565.5,309108.5,303887.0,FirmSize.LARGE_FIRM,0,hitachi.com,0,Hitachi,Hitachi,Hitachi,102,Hitachi,"295,941",Hitachi
3,439,GENERAL ELECTRIC COMPANY,ge.com/,2534.0,313000.0,310466.0,2534.0,FirmSize.LARGE_FIRM,0,ge.com,0,GENERAL ELECTRIC COMPANY,General Electric,General Electric,21,General Electric,"283,000",General Electric
4,976,Samsung Electronics,samsung.com/us/,85449.0,171578.0,86129.0,85449.0,FirmSize.LARGE_FIRM,0,samsung.com,1,Samsung Electronics,Samsung Electronics,Samsung Electronics,15,Samsung Electronics,"309,630",Samsung Electronics
6,124,AT&T Corporation,att.com/,238038.0,273210.0,35172.0,273210.0,FirmSize.LARGE_FIRM,0,att.com,0,ATT,ATT,ATT,9,AT&T,"268,220",ATT
7,453,Sumitomo Electric Industries,global-sei.com/,1151.0,240308.5,239157.5,255133.0,FirmSize.LARGE_FIRM,0,global-sei.com,0,Sumitomo Electric Industries,Sumitomo Electric Industries,Sumitomo Electric Industries,437,Sumitomo Electric Industries,"272,796",Sumitomo Electric Industries
8,1021,Siemens Aktiengesellschaft ,siemens.com/global/en/home.html,219450.0,,,219450.0,FirmSize.LARGE_FIRM,5,siemens.com,1,Siemens Aktiengesellschaft,Siemens,Siemens,70,Siemens,"379,000",Siemens
12,517,Hewlett Packard Enterprise Development LP,hpe.com/us/en/home.html,212204.0,60000.0,152204.0,212204.0,FirmSize.LARGE_FIRM,0,hpe.com,0,Hewlett Packard Enterprise Development LP,Hewlett Packard Enterprise,Hewlett Packard Enterprise,102,Hewlett Packard Enterprise,"60,000",Hewlett Packard Enterprise
14,1222,United Technologies Corporation,utc.com/,7892.0,204700.0,196808.0,203748.5,FirmSize.LARGE_FIRM,0,utc.com,0,United,United Technologies,United,46,United Technologies,"240,200",United
