assignee_patent_name,url
"delta electronics, inc.",www.deltaww.com/
"asm america, inc.",www.asm.com/
"becton, dickinson and company",www.bd.com/
brother international corporation,www.brother-usa.com/
"cavium, inc.",cavium.com/
"dcg systems, inc.",www.fei.com/
"delta electronics, inc.",www.deltaww.com/
finisar corporation,www.finisar.com/
honeywell international inc.,www.honeywell.com/
kodak alaris inc.,www.kodakalaris.com/
"siemens energy, inc.",www.siemens.com/global/en/home/products/energy.html
"ziptronix, inc.",www.xperi.com/
"ade, inc.",www.ade-usa.com/
alliant techsystems inc.,www.northropgrumman.com/Pages/default.aspx
"arisaph pharmaceuticals, inc.",
avery dennison corporation,www.averydennison.com/
"beckman coulter, inc.",www.beckmancoulter.com/
"becton, dickinson and company",www.bd.com/
"dcg systems, inc.",www.fei.com
honeywell international inc.,www.honeywell.com/
"lexmark international, inc.",www.lexmark.com/en_us.html
lifecell corporation,www.acelity.com/home
lonza inc.,www.lonza.com/
medicis pharmaceutical corporation,www.drugs.com/manufacturer/medicis-pharmaceutical-corporation-88.html
mit,mit.edu
"molecular transfer, inc.",www.vitascientific.com/molecular-transfer-inc
quallion llc,www.quallion.com/
"siemens energy, inc.",www.siemens.com/global/en/home/products/energy.html
"ag energy solutions, inc.",ag.energy/
"altarock energy, inc.",altarockenergy.com/
"ascent solar technologies, inc.",www.ascentsolar.com/
"atonometrics, inc.",www.atonometrics.com/
bitrode corporation,www.bitrode.com/
"blue sea systems, inc.",www.bluesea.com/
"california industrial facilities resources, inc.",camss.com/
"chromalox, inc.",www.chromalox.com/
community power corporation,www.gocpc.com/
crystal solar inc.,xtalsolar.com/
"echogen power systems, llc",www.echogen.com/
"enow, inc.",enowenergy.com/
"envision solar international, inc.",www.envisionsolar.com/
"everspin technologies, inc.",www.everspin.com/
"forest concepts, llc",www.forestconcepts.com/
goal zero llc,www.goalzero.com/
howard industries,howard-ind.com/
"magnolia optical technologies, inc.",magnoliaoptical.com/
"microlink devices, inc.",mldevices.com/
"pioneer energy, inc.",www.pioneerenergy.com/
renewable opportunities inc.,renewableopportunitiesinc.com/
"renmatix, inc.",renmatix.com/
"sinton consulting, inc.",www.sintoninstruments.com/
