lookup_firm,touched
ABB AB,1
ABB Technology,1
Adaptive Biotechnologies Corp,1
Advanced Cardiovascular Systems,1
AGFA-GEVAERT NV,1
Alcatel Lucent,1
Allison Transmission,1
Andritz,1
Asahi Kasei Kabushiki Kaisha,
ATI Technologies ULC,
Atotech Deutschland,
Avery Dennison,
BAE Systems Information and Electronic Systems Integration,
BASF Plant Science,
Battelle Energy Alliance,
Bausch & Lomb,
Baxter,
Baxter Healthcare SA,
Bayer Materialscience,
Biocon Limited,
Boehringer Ingelheim,
Boehringer Ingelheim Vetmedica,
Buckman Laboratories,
Cadence Design Systems,
CAMBRIDGE ENTERPRISE LIMITED,
Canon,
Cardiac Pacemakers,
Carl Zeiss Meditec AG,
Casio Computer Co,
Ceramatec,
Certain-teed,
Chevron Oronitz Company,
Chipmos Technologies,
Cleanvantage,
CNH Industrial America,
Commonwealth Scientific & Industrial Research Organization,
Conexant Systems,
Cornell Research Foundation,
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,
Da Yu Enterprises,
Daikin Industries,
Dana-Farber Cancer Institute,
DEKA Products Limited Partnership,
Delta Electronics,
DIC,
DiscoveRx,
Dow AgroSciences,
Dow Corning,
Dresser-Rand Company,
Eastman Chemical Company,
Eastman Kodak Company,
Ecolab,
Eisai Co,
EPCOS AG,
ExxonMobil Research and Engineering Company,
ExxonMobil Upstream Research Company,
Faurecia Interior Systems,
FEI Company,
Furukawa Electric Co,
GE-Hitachi Nuclear Energy Americas,
Genzyme,
GlaxoSmithKline Biologicals,
Guardian Industries,
Hadasit Medical Research Services & Development Company,
Haier US Appliance Solutions,
HAMAMATSU PHOTONICS KK,
Harris,
Headway Technologies,
Heidelberger Druckmaschinen AG,
Hewlett Packard Enterprise Development LP,
Hewlett-Packard Development Company,
Hon Hai Precision Industry Co,
HTC,
Hunter Douglas,
III HOLDINGS 1,
Infinera,
Isis Pharmaceuticals,
Ivoclar Vivadent AG,
Johns Manville,
Kabushikikaisha Toshiba,
Kao,
Karsten Manufacturing,
Kemira OY,
Kerr,
Kobe Steel,
Korea Kumho Petrochemical Co,
Kraton Polymers US,
Laserline Mfg,
Lattice Semiconductor,
Lion Copolymer Geismar,
Litron Laboratories Limited,
Marathon Equipment Company,
Mattson Technology,
Maxim Integrated Products,
Medical Diagnostic Laboratories,
MERCK SHARP & DOHME CORP,
Meso Scale Technologies,
Minebea Co,
Mitsubishi Polyester Film,
Nestec S A,
Newport,
NGK Spark Plug Co,
Nikon,
Nippon Shokubai Co,
Nissan Motor Co,
Nokia Technologies Oy,
Nordson,
Northrop Grumman Systems,
NOVA Chemicals (International) SA,
Nova Technologies,
Novellus Systems,
Novozymes,
OmniVision Technologies,
Pacific Biosciences of California,
Pacific Light Technologies,
Panasonic Intellectual Property of America,
Parker-Hannifin,
Performance Plants,
Phillips 66 Company,
PolyPlus Battery Company,
QUALCOMM MEMS Technologies,
Raytheon BBN Technologies Corp,
Raytheon Company,
RJ Reynolds Tobacco Company,
Rockwell Automation Technologies,
Rolls-Royce North American Technologies,
Rolls-Royce PLC,
Rosemount Aerospace,
SABIC GLOBAL TECHNOLOGIES BV,
SAE Magnetics (HK),
SAINT-GOBAIN ABRASIFS,
Saint-Gobain Ceramics & Plastics,
Samsung Electronics,
Sanofi,
SC Johnson & Son,
SD Technologies,
Sharp Laboratories of America,
Shimadzu,
Siemens,
Siemens Medical Solutions USA,
Sigma-Aldrich Co,
Siliconware Precision Industries Co,
Skidmore,
Sony Interactive Entertainment America,
STATS ChipPAC,
STMicroelectronics SA,
Stora Enso Oyj,
Sun Chemical,
Sun Drilling Products,
Symantec,
Syngenta Participations AG,
Tanaka Kikinzoku Kogyo KK,
Tata Consultancy Services Limited,
TDK,
Teradata US,
The Eastern Co,
The Gates,
The Henry M Jackson Foundation for the Advancement of Military Medicine,
The Jackson Laboratory,
The Samuel Roberts Noble Foundation,
Thermo Finnigan,
Thermo Fisher Scientific,
Toyota Motor Engineering & Manufacturing North America,
Ube Industries,
UCB Pharma SA,
US Smokeless Tobacco Company,
Winbond Electronics Corp,
Yeda Research and Development Co,
