,0,1,2,3,4,5,6,7,8,9,10,11
0,ABB AB,ABB,Abbott Laboratoies: 3922,ABB: 1215,ABB Technologies AG: 1047,Abbott Cardiobascular Systems: 1012,ABB Research: 983,Abbott DiabetesCare: 873,ABB Schweiz AB: 667,AbbVie: 644,Abbott Medical Optics: 298,ABB Patent: 221
1,ABB Technology,ABB,Abbott Laboratoies: 3922,ABB: 1215,ABB Technologies AG: 1047,Abbott Cardiobascular Systems: 1012,ABB Research: 983,Abbott DiabetesCare: 873,ABB Schweiz AB: 667,AbbVie: 644,Abbott Medical Optics: 298,ABB Patent: 221
2,Adaptive Biotechnologies Corp,Adaptive,Adaptive Computing Enterprises: 65,Adaptive Spectrum and Signal Alignment: 61,Adaptive Optics Associates: 20,ADAPTIVE BIOTECHNOLOGIES: 18,Adaptive Materials: 17,Adaptive Technologies: 17,Adaptive Methods: 15,Adaptive Networks: 13,Adaptive Micro Systems: 12,Adaptivenergy: 11
3,Advanced Cardiovascular Systems,Advanced,Advanced Micro Devices: 10885,Advanced Cardiovascular Sytems: 1528,Advanced Semiconductor Engineering: 916,Advanced Technology Materials: 621,Advanced Optoelectronic Technology: 313,Advanced Neuromodualation Systems: 309,Advanced Energy Industries: 204,ADVANCED-CONNECTEK: 193,Advanced Analogic Technologies: 175,Advanced Connectek: 170
4,AGFA-GEVAERT NV,AGFAGEVAERT,,,,,,,,,,
5,Alcatel Lucent,Alcatel,Alcatel-Lucent: 4701,Alcatel: 3352,Alcatel-Lucent USA Zinc: 1305,Alcatel USA Sourcing L P: 259,Alcatel Canada: 217,Alcatel Network Systems: 162,Alcatel Alsthom Companie Generale d'Electricite: 127,Alcatel Espace: 79,Alcatel Business Systems: 55,Alcatel-Lucent Canada: 55
6,Allison Transmission,Allison,AllisonTransmission: 249,Allison Advanced Development Company: 46,Allison Engine Co: 40,Allison: 20,Allison Acoustics: 2,Allison Mfg: 2,Allison Payment Systems: 2,Allison Enterprises: 1,Allison Transmisssion: 1,Allison tech Sales: 1
7,Andritz,Andritz,Andritz Oy: 327,Andritz Patentverwaltungsgellschaft mbH: 75,Andritz Sprout-Bauer: 32,Andritz-Ahlstrom: 28,Andritz Technology and Asset Management: 19,Andritz-Ahlstrom Oy: 17,Andritz-Patentverwaltungs-GmbH: 7,Andritz Kusters: 5,Andritz Hydro: 4,ANDRITZ PERFOJET SAS: 3
8,Asahi Kasei Kabushiki Kaisha,Asahi,Asahi Kogakukogyo Kabushiki Kaisha: 3340,Asahi Glass Comapny Limited: 2607,Asahi Kasei Chemicals: 498,Asahi Denka Kogyo Kabushiki Kaisha: 207,Asahi Seiko Kabushiki Kaisha: 200,Asahi Kasei Microdevices: 108,Asahi-Dow: 100,Asahi Intecc Co: 92,Asahi Kasei E-Materials: 76,Asahi Kasei Pharma: 67
9,ATI Technologies ULC,ATI,ATI Technology ULC: 511,ATI Technologies: 366,ATI: 333,ATI Properties: 195,ATIEVA: 143,ATICO USA: 63,ATI Industrial Automation: 34,Atitania: 8,Atigeo: 7,ATIR Holding SA: 7
