,firm,lookup_firm,lookup_firm_web,firm_length,name_clnd,name_length,manual_fix,hit_url,hit_url_length,rank,matches,public,acquired_merged,Votes,Group,nano,green,synbio,count_all_ind,max_emps,size_state,sme,pages,num_words,avg_words_per_page,first_year,num_patents_all,num_patents_3,mean_assignees_all,mean_assignees_3,mean_inventors_all,mean_inventors_3,has_emps,has_url,has_web_content,log_num_patents_all,log_max_emps,num_industries
0,22nd Century Limited,22nd Century Limited,22nd Century Limited,20.0,"22nd Century Group, Inc. - Official Site",40,,xxiicentury.com/,27,1,2,0,0,5,0,0,0,1,1,734.0,FirmSize.LARGE_FIRM,0,28.0,183287.0,6545.96428571429,2014.0,14.0,2.0,1.0,1.0,2.0,2.0,1.0,1,1,2.70805020110221,6.5998704992128365,1
1,3M Innovative Properties Company,3M Innovative Properties Company,3M Innovative Properties Company,32.0,3M - Official Site,18,,3m.com/,19,2,1,0,0,3,1,1,1,1,3,60593.0,FirmSize.LARGE_FIRM,0,252.0,4584071.0,18190.7579365079,1999.0,9688.0,58.0,1.01001238645747,1.01754385964912,3.4364161849711,4.754385964912281,1.0,1,1,9.178746500385005,11.011951157254613,3
2,540 Grid Solutions,540 Grid Solutions,540 Grid Solutions,18.0,540 Grid Solutions LLC Company Profile | Key Contacts ...,57,1.0,,106,1,3,0,0,0,2,0,1,0,1,18.0,FirmSize.SMALL_FIRM,1,,,,2008.0,3.0,1.0,1.0,1.0,2.3333333333333304,2.0,1.0,0,0,1.3862943611198906,2.9444389791664403,1
3,646840 Alberta Ltd.,646840 Alberta,646840 Alberta,14.0,"16440 S Alberta Ct, Homer Glen, IL 60491 - realtor.com",54,1.0,,99,1,1,0,0,0,3,0,1,0,1,0.0,FirmSize.UNDEFINED,1,,,,1984.0,140.0,2.0,1.06428571428571,2.0,1.6,2.0,,0,0,4.948759890378168,0.0,1
4,AAC Technologies Pte. Ltd.,AAC Technologies Pte,AAC Technologies Pte,20.0,AAC Technologies Pte. Ltd.: Private Company Information ...,59,1.0,,82,1,3,0,0,0,4,1,0,0,1,2174.0,FirmSize.LARGE_FIRM,0,,,,1984.0,100.0,1.0,1.08,1.0,2.16,1.0,1.0,0,0,4.61512051684126,7.684783943522785,1
5,Aadigen,Aadigen,Aadigen,7.0,"Aadigen, LLC in Pacific Palisades CA - Company Profile",54,1.0,,87,1,1,1,0,0,48,1,0,0,1,0.0,FirmSize.UNDEFINED,1,,,,2016.0,3.0,1.0,1.0,1.0,4.0,4.0,,0,0,1.3862943611198906,0.0,1
6,ABB AB,ABB AB,ABB AB,6.0,ABB Group - Official Site,25,,abb.com/,19,1,2,0,0,5,5,1,0,0,1,100487.0,FirmSize.LARGE_FIRM,0,,,,2000.0,378.0,1.0,1.00529100529101,2.0,2.7830687830687797,4.0,1.0,1,0,5.937536205082426,11.517793596367088,1
7,ABB Research Ltd.,ABB Research,ABB Research,12.0,ABB Corporate Research Center United States,43,1.0,new.abb.com,102,1,2,0,0,0,6,1,0,0,1,134800.0,FirmSize.LARGE_FIRM,0,4.0,55805.0,13951.25,1994.0,948.0,1.0,1.01476793248945,1.0,3.1529535864978904,3.0,1.0,1,1,6.855408798609928,11.811554895830454,1
8,ABB Technology Ltd.,ABB Technology,ABB Technology,14.0,Technology and Innovation - ABB Group,37,,new.abb.com/about/technology,35,1,2,0,0,5,7,0,1,0,1,134800.0,FirmSize.LARGE_FIRM,0,9.0,206172.0,22908.0,1989.0,1098.0,1.0,1.00273224043716,1.0,2.7477231329690297,3.0,1.0,1,1,7.002155954403621,11.811554895830454,1
9,Abbott Cardiovascular Systems Inc.,Abbott Cardiovascular Systems,Abbott Cardiovascular Systems,29.0,Abbott Vascular U.S. | Vascular Disease Treatment,49,,vascular.abbott/us/homepage.html,44,1,1,0,0,1,50,1,0,1,2,706.0,FirmSize.LARGE_FIRM,0,22.0,543215.0,24691.590909090897,2007.0,915.0,5.0,1.01420765027322,1.0,3.2262295081967203,3.2,1.0,1,1,6.82001636467413,6.561030665896573,2
