Name,patent_pattern,rd_pattern,product_pattern,trial_pattern,demo_pattern,manufacturing_pattern,venture_pattern,investment_pattern,university_pattern,partnership_pattern,greenness_pattern,customization_pattern,awards_pattern,membership_pattern,customer_pattern
Chevron USA,0,59,30,15,24,171,30,54,15,141,51,11,20,39,11
Roche Diagnostics,0,1,7,28,29,4,1,0,0,0,0,4,0,2,2
Smart Planet Technologies,1,1,1,0,0,11,0,0,0,0,2,0,0,0,0
SRG Global,0,9,4,11,6,32,0,0,0,7,2,5,1,0,8
PolyOne,1,23,57,14,20,130,15,15,0,43,28,48,6,17,57
Dana,3,2,34,9,5,63,3,6,2,27,5,14,15,0,7
Wenger,0,0,0,0,0,0,0,0,1,0,0,5,0,1,5
BAXALTA,1,24,48,13,11,12,8,11,2,51,12,1,5,6,0
NGK Spark Plug Co,0,0,3,0,0,6,0,0,0,4,0,2,0,0,2
Silicor Materials,0,11,2,4,2,74,3,20,15,13,13,2,0,1,4
IMEC,0,5,2,2,3,16,0,2,5,11,3,4,8,5,14
Ivoclar Vivadent AG,0,0,2,2,3,3,0,0,0,1,0,2,0,1,1
Tersus Environmental,22,14,14,4,7,26,1,0,6,16,2,7,3,2,24
Honeywell,3,3,5,8,2,22,3,5,2,10,6,2,2,0,2
Solar Junction,2,8,1,7,2,20,0,0,4,3,1,1,5,1,1
mVerify,0,1,0,2,11,2,1,1,0,0,0,1,0,0,1
Raytheon Company,1,16,13,5,6,21,6,5,2,17,3,21,4,1,16
Ricoh Company Limited,1,81,70,23,15,125,6,15,9,17,26,30,36,5,36
SUMITOMO WIRING SYSTEMS,0,9,2,0,1,6,0,0,0,4,6,6,0,2,5
Nova Technologies,0,2,1,0,0,2,0,0,0,0,0,4,0,0,0
Winecom,0,0,19,1,1,3,0,0,0,1,2,4,0,2,6
Inphenix,0,0,1,0,0,4,0,0,0,0,0,1,0,0,1
WAFERTECH,0,1,7,3,5,19,0,1,0,34,3,19,1,1,19
Genzyme,0,38,5,6,6,7,3,8,1,7,2,0,4,9,0
OFS Fitel,1,39,9,7,3,48,0,0,21,2,1,10,1,5,10
Dresser-Rand Company,0,8,10,3,4,30,1,2,11,10,1,4,8,2,14
HARMAN INDUSTRIES,0,2,9,1,1,6,0,0,0,6,1,3,4,0,3
Alexion Pharmaceuticals,0,68,17,17,5,17,8,16,34,24,4,3,11,11,1
Rolls-Royce PLC,0,72,23,46,31,202,12,46,56,66,10,48,15,62,52
OBI,1,7,6,11,9,8,0,3,89,6,2,5,4,14,4
Sundrop Fuels,1,24,1,7,6,54,2,9,13,11,15,0,2,5,0
NEWFIELD THERAPEUTICS,1,2,1,0,0,1,0,0,2,3,0,0,0,1,0
J E WHITE,0,8,2,5,4,5,2,4,1,1,0,2,0,3,11
Rapamycin Holdings,8,31,4,9,9,4,2,1,20,2,0,0,0,2,2
Heraeus Precious Metals North America Conshohocken,1,22,7,3,2,26,2,11,0,9,0,12,3,5,12
FastCAP Systems,7,10,4,4,2,16,3,7,10,1,0,0,8,7,0
AVOGY,2,6,3,2,1,17,2,6,4,1,0,0,1,1,2
NLT TECHNOLOGIES,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Yissum,3,19,8,0,0,7,12,7,14,16,2,1,2,3,1
Alcon Research,0,8,15,3,2,4,2,16,1,18,2,10,0,0,11
GangaGen,6,41,0,4,5,10,0,3,21,1,0,0,1,2,0
SolarReserve Technology,5,43,9,4,6,48,2,48,19,39,36,1,4,13,7
Shoals Technologies Group,18,0,1,0,0,1,0,0,0,0,0,1,0,0,0
LATITUDE PHARMACEUTICALS,1,13,0,0,0,0,1,2,4,1,0,0,1,0,5
Kamtec,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
Georgia-Pacific Gypsum,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0
Milliken & Company,3,22,2,9,10,19,0,3,1,5,8,4,4,1,4
Applied Nanostructures,0,3,2,1,1,2,0,0,0,2,0,6,1,0,2
PELLION TECHNOLOGIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLYCEM USA,0,0,0,1,1,4,0,0,0,0,1,1,0,0,1
Easel Biotechnologies,2,4,1,2,0,13,0,0,4,0,6,0,8,0,0
Integrated DNA Technologies,0,11,10,2,2,6,0,0,0,4,2,13,0,0,4
Cisco Technology,1,11,41,10,11,42,4,12,10,107,18,48,15,2,47
DISCOVERYBIOMED,0,27,4,3,4,6,0,7,13,5,0,4,2,3,3
Marine Polymer Technologies,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Invensas,0,0,1,0,0,7,0,3,0,0,0,0,0,2,0
ARBOR THERAPEUTICS,3,31,5,0,0,10,0,0,15,6,1,0,3,3,0
Hollingsworth & Vose Company,5,59,31,47,24,200,1,8,22,32,10,38,7,6,35
JSR,0,19,9,4,14,15,8,2,100,10,1,0,18,20,3
King Electric Vehicles,0,0,8,6,1,7,0,1,0,0,0,3,0,0,3
Atleisure,3,0,3,0,0,3,0,0,0,0,0,1,0,0,1
UChicago Argonne,1,65,0,2,2,25,0,1,33,5,1,0,5,7,2
Paratek Pharmaceuticals,7,68,28,7,10,11,7,19,50,11,0,1,12,19,3
Sanyo Electric Co,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
Industrial Technology Research Institute,0,3,0,1,2,2,1,2,2,5,4,1,12,0,2
Alcotek,0,0,1,5,4,9,0,0,0,0,0,4,2,0,4
Rebellion Photonics,0,1,0,0,0,1,0,4,0,0,0,0,1,1,0
Dow Global Technologies,0,0,1,6,1,4,0,4,0,7,9,1,3,0,8
Cool Planet Energy Systems,0,3,2,6,3,24,2,8,6,6,8,1,1,5,1
RenovaCare Sciences Corp,1,3,2,0,1,0,0,8,1,1,2,0,0,1,0
Uniseal Solutions,3,4,1,0,0,4,0,0,0,7,0,1,0,0,1
Ansun Biopharma,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Kansai Paint Co,0,10,10,3,1,9,0,4,0,13,2,2,0,0,2
Nanomix,1,11,0,5,6,6,2,2,7,5,0,0,1,0,0
Ajinomoto Althea,0,1,0,0,0,4,0,0,0,3,0,2,0,0,5
CyboEnergy,3,3,18,1,0,6,0,0,0,6,4,0,13,0,0
Piksel,0,6,6,2,5,7,3,1,5,16,1,19,0,1,25
Coactive Drive,0,33,2,8,2,12,6,5,9,14,0,1,2,9,2
Kerr,0,12,7,2,3,12,0,7,2,1,2,5,6,3,10
Fuji Xerox Co,0,5,19,7,11,27,1,0,0,1,5,32,4,5,33
Bridgestone,0,2,12,4,2,18,0,3,0,6,3,6,1,5,6
MBC Ventures,0,2,11,19,21,57,7,15,0,10,2,6,4,3,7
Nissan North America,0,14,36,10,12,59,0,11,6,25,20,19,32,13,28
ENI SpA,1,140,144,35,28,184,14,88,16,141,235,5,25,50,9
Terra Caloric,1,0,3,0,0,5,0,1,0,0,2,0,1,1,0
InView Technology,0,1,4,2,1,0,0,2,0,8,0,3,0,0,3
The Boeing Company,2,19,135,23,18,112,7,53,5,47,1,85,1,7,86
Solaire Generation,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
IMDS,0,0,0,1,0,2,0,0,0,0,0,4,1,1,3
Dialight,0,2,4,36,10,14,1,2,0,10,12,9,17,1,8
Antaya Technologies,1,5,3,1,0,10,0,0,0,3,0,8,0,0,5
Nanosys,7,6,7,6,6,19,2,2,2,6,0,1,1,0,5
WestPoint Home,0,0,8,0,0,2,0,0,1,0,0,3,0,0,3
First Solar,3,15,14,16,16,56,8,25,24,33,17,5,7,19,10
PNM,0,4,0,0,0,5,0,2,0,0,2,7,3,0,7
Pentair Thermal Management,1,4,8,4,0,6,1,2,0,2,1,13,0,0,13
Solan,5,46,103,28,66,43,1,38,38,53,35,10,28,37,9
WiSys Technology Foundation,4,38,5,6,5,8,1,19,11,4,6,0,9,2,1
Sharp Laboratories of America,1,11,3,0,0,6,0,0,1,3,1,1,2,4,2
Evri,1,0,0,0,0,1,0,2,0,5,0,2,0,2,2
Electronic Warfare Associates,0,0,0,0,0,2,0,0,0,0,0,5,0,0,5
Pegatron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMOWAVE LABORATORIES,0,8,0,2,1,8,1,1,6,6,0,1,0,0,0
Suncore Photovoltaics,3,23,2,3,2,24,1,0,7,4,10,7,0,0,8
Polaris Products,2,15,65,8,18,42,3,15,1,30,1,21,10,10,24
Wyatt Technology,9,109,38,15,13,44,3,3,56,6,0,40,10,13,40
Empire Technology Development,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
Chevron Phillips Chemical Company LP,4,40,18,23,16,306,3,14,4,21,21,27,3,11,33
Hosiden,0,0,4,0,1,2,0,0,0,0,0,1,0,0,1
Dymax,0,1,2,2,2,19,0,0,0,0,0,4,0,2,2
Allison Transmission,1,16,39,14,12,89,5,12,38,21,8,29,9,6,30
Lextar Electronics Corp,0,2,2,0,1,1,1,3,3,2,1,0,4,1,1
COOK MEDICAL TECHNOLOGIES,1,5,8,3,3,13,1,0,2,18,4,11,1,2,10
Community Power,0,0,3,0,0,0,0,4,0,14,1,2,0,9,3
Globus Medical,3,17,3,9,7,6,6,4,8,1,0,0,0,0,1
Oracle,0,38,114,35,39,173,15,25,15,150,13,167,19,11,165
BG Negev Technologies and Applications,0,22,1,3,3,9,2,8,15,7,3,0,1,1,0
Fluidigm,0,38,2,3,30,9,0,5,5,7,0,2,0,1,3
Innovation Hammer,0,6,0,0,0,0,0,0,0,3,0,1,0,0,1
Siemens Medical Solutions USA,0,8,2,2,5,6,0,5,0,15,2,6,2,0,6
Angstron Materials,6,3,0,1,1,10,0,0,3,0,0,2,0,1,2
Crystalplex,9,12,0,1,1,12,0,0,7,0,0,1,3,0,2
Cornell Research Foundation,1,47,3,11,7,16,0,1,47,10,12,0,16,8,0
Amgen Fremont,1,145,26,65,33,69,8,49,183,26,39,2,79,61,3
Global Eagle Entertainment,0,3,11,7,9,26,1,12,11,12,0,9,1,7,10
Relypsa,1,33,10,7,6,11,0,7,22,5,0,1,4,2,1
Kureha,0,7,2,1,0,11,0,1,0,2,0,0,0,0,0
Medicis Pharmaceutical,1,4,16,6,6,6,7,14,11,9,0,5,2,2,9
SunLink,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0
Angiotech Pharmaceuticals (US),0,1,3,1,1,6,0,0,1,3,0,5,0,0,5
Silicon Storage Technology,0,1,0,1,1,5,1,1,0,2,0,0,0,0,1
Siliconware Precision Industries Co,0,3,7,19,10,32,0,1,13,4,8,3,2,1,3
Da Yu Enterprises,1,29,0,3,5,2,0,0,1,0,0,2,1,0,4
Commonwealth Scientific & Industrial Research Organization,2,25,5,18,18,30,0,27,0,31,13,7,1,20,11
Canon,26,103,201,87,117,177,37,35,25,111,25,76,92,27,126
Matrix Genetics,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
E Ink,1,26,14,0,1,18,5,14,2,14,11,0,9,3,2
Genesco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliance Controls,4,0,8,0,1,7,0,5,0,2,6,3,1,0,3
Singulex,3,11,8,5,6,7,3,8,21,4,0,1,4,4,1
Ethicon Endo-Surgery,0,5,5,0,2,0,3,2,1,0,1,1,1,1,1
KJ BIOSCIENCES,0,6,0,1,0,0,0,0,0,2,0,0,2,0,0
eNow,1,10,7,2,2,17,0,19,19,6,11,4,4,10,3
X DEVELOPMENT,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0
Newdoll Enterprises,0,0,2,1,0,0,1,4,0,5,0,1,0,0,1
INVISTA North America Sarl,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1
Cabot,0,19,12,7,11,30,0,8,21,9,9,31,8,14,38
Cardiva Medical,4,14,17,6,2,13,3,5,9,2,0,3,2,0,3
Propagation Research Associates,0,4,2,0,1,5,0,0,0,0,0,4,1,0,4
BROADCOM,0,11,32,32,35,56,12,10,0,76,5,38,3,16,37
Entegris,5,26,39,21,23,143,11,22,0,43,4,32,12,9,27
Starlight Energy Holdings,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Nippon Chemi-Con,0,14,10,0,0,6,1,0,0,0,0,0,0,0,0
Wikipad,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Ablexis,1,11,2,0,0,3,0,0,5,6,0,0,0,0,2
Genentech,0,51,9,1,6,21,5,27,8,76,2,2,36,13,1
Toshiba America Electronic Components,5,38,57,37,19,76,17,6,6,16,10,32,41,2,43
AGFA-GEVAERT NV,25,40,72,25,29,102,18,71,18,46,17,22,12,28,26
Liquidia Technologies,3,48,9,1,1,22,4,9,26,20,0,0,2,5,0
SolAero Technologies Corp,1,16,4,6,5,26,0,1,6,10,0,7,0,1,6
New Technology Ventures,0,16,4,5,3,8,6,40,26,16,0,3,5,16,6
Global Solar Water Power Systems,4,1,3,0,0,4,0,0,0,4,6,0,0,0,3
Deployable Space Systems,7,12,1,28,32,41,1,1,5,3,1,4,7,3,4
Meyer Tool,0,4,2,9,7,45,1,1,0,12,0,4,2,1,4
Complete Genomics,2,21,1,2,3,2,0,0,15,0,0,0,8,3,1
Turf Group,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
Sion Power,12,34,4,3,5,34,3,3,32,5,1,2,12,3,0
Zeno Semiconductor,3,4,0,0,0,10,0,1,4,0,0,0,4,4,0
ACUCELA,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Chipmos Technologies,0,3,8,38,38,37,0,8,1,12,0,27,7,1,33
Sony Interactive Entertainment America,2,9,18,5,3,13,0,1,0,11,1,0,3,4,4
Freescale Semiconductor,0,5,13,8,6,52,5,11,0,25,9,13,12,13,19
Biocare Medical,0,17,5,8,9,1,0,2,0,3,0,5,3,2,6
