Avalanche Technology, Inc.
Avantor Performance Materials, Inc.
Avello Bioenery, Inc.
Avertech, Inc.
Avon Products, Inc.
AxioMx, Inc.
BHA Technologies, Inc.
BIND Therapeutics, Inc.
BOE Technology Group Co., Ltd.
Babcock Power Services, Inc.
Battelle Energy Alliance, LLC
Bechtel Hydrocarbon Technology Solutions, Inc.
Becton, Dickinson and Company
Beijing BOE Display Technology Co., Ltd.
Bemis Company, Inc.
Bend Research, Inc.
Bestway, Inc.
Big Belly Solar, Inc.
Bio-Rad Laboratories, Inc.
BioNano Genomics, Inc.
Biocare Medical, LLC
Biogenic Reagents Ventures, LLC
Biological Dynamics, Inc.
Biosphere Medical, Inc.
Biotechnology Foundation, Inc.
Biozoom Technologies, Inc.
Bird-B-Gone, Inc.
Bisco, Inc.
Blue Sea Systems, Inc.
Bostik, Inc.
Boston Scientific Scimed, Inc.
Braun Intertec Geothermal, LLC
Bridgelux, Inc.
Brightfield Transportation Solutions, Inc.
Bruin Biometrics, LLC
Buckman Laboratories International, Inc.
Building Envelope Innovations, LLC
CA, Inc.
CAPAT, LLC
CELLTRION, INC.
CI4 Technologies, Inc.
CMC ICOS BIOLOGICS, INC.
CP Kelco U.S., Inc.
CPT IP Holdings, LLC
CUMMINS FILTRATION IP, INC.
CYBERCITY 3D, INC
CYKL Technology, Inc.
Cadence Design Systems, Inc.
Calient Technologies, Inc.
California Industrial Facilities Resources, INC.
Calysta, Inc.
Cambridge Electronics, Inc.
Canon Nanotechnologies, Inc.
Canon U.S. Life Sciences, Inc.
Canon, Inc. 
Carbon3D, Inc.
Cardiac Pacemakers, Inc.
Cardiva Medical, Inc.
Carestream Health, Inc.
Caribou Biosciences, Inc.
Carver Scientific, Inc.
Casio Computer Co., Ltd.
Cavium, Inc.
CellPrint IP Holding, LLC
Cellular Research, Inc.
Ceramatec, Inc.
Cheil Industries, Inc.
Chemtreat, Inc.
Christie Digital Systems, Inc.
Chromalox, Inc.
Cisco Technology, Inc.
Claret Medical, Inc.
Clean Energy Labs, LLC
Clearside Biomedical, Inc.
Codexis, Inc.
Coleman Cable, LLC
Combined Energies, LLC
Complete Genomics, Inc.
Component Re-Engineering Company, Inc.
Conexant Systems, Inc.
Confluence Energy, LLC
Continental Manufacturing, LLC
Cool Planet Energy Systems, Inc.
Copernicus Therapeutics, Inc.
Coriant Advanced Technology, LLC
Cornell Research Foundation, Inc.
Courtagen Life Sciences, Inc.
Cree, Inc.
Crepaco, Inc.
Cross Match Technologies, Inc.
Crossbar, Inc.
Cura Vac, Inc.
Cyberonics, Inc.
CyboEnergy, Inc.
DCG SYSTEMS, INC.
DHPC TECHNOLOGIES, INC.
DNA Twopointo, Inc.
DNA2.0, INC.
DPD, Inc.
DRS Network & Imaging Systems, LLC
