Great American Duck Races, Inc.
Green Box Batteries, LLC.
Green Solar Transportation, LLC
Greyrock Energy, Inc.
Guardian Industries, Inc.
HARMAN INTERNATIONAL INDUSTRIES, INC.
HIQ SOLAR, INC.
HM3 Energy, Inc.
HNO Greenfuels, Inc.
HRL Laboratories, LLC
HTS, Inc.
Haier US Appliance Solutions, Inc.
Halliburton Energy Services, Inc.
Handstand Innovations, LLC
Handylab, Inc.
Headway Technologies, Inc.
Heliae Development, LLC
Hewlett-Packard Development Company, L.P.
Hitachi Metals, Ltd.
Hitachi, Ltd.
Hollywood Trucks, LLC
Hon Hai Precision Industry Co., Ltd.
Honda Motor Co., Ltd.
IBC Pharmaceuticals, Inc.
IDEA TREE, LLC
III HOLDINGS 1, LLC
IMRA America, Inc.
INTEVAC, INC.
ITN Energy Systems, Inc.
Ibis Biosciences, Inc.
Ignis Innovation, Inc.
Illinois Tool Works, Inc.
Immunolight, LLC
Immunopath Profile, Inc.
InVisage Technologies, Inc.
Inaeris Technologies, LLC
Industrial Origami, Inc.
Industrial Science & Technology Network, Inc.
Industrial Solar Heating Systems, LLC
Innovalight, Inc.
Innovation Hammer, LLC
Inphenix, Inc.
Integrated DNA Technologies, Inc.
Integrated Device Technology, Inc.
Integrated Nano-Technologies, LLC
Integrated Solar Technology, LLC
Interez, Inc.
Interface Performance Materials, Inc.
Intermolecular, Inc.
Intrexon CEU, Inc.
Intuitive Surgical Operations, Inc.
Inventus Holdings, LLC
Ion Power Group, LLC
Isis Pharmaceuticals, Inc.
J. E. WHITE, LLC
Janssen Biotech, Inc.
Johnson & Johnson Consumer Companies, Inc.
Johnson & Johnson Vision Care, Inc.
Joule Unlimited Technologies, Inc.
K.S. INTERNATIONAL CO., LTD.
KAI Pharmaceuticals, Inc.
KOLO TECHNOLOGIES, INC.
KOLON INDUSTRIES, INC.
KR Design House, Inc.
Kala Pharmaceuticals, Inc.
Kamtec, LLC
Kansai Paint Co., Ltd.
Kashiv Pharma, LLC
Kinestral Technologies, Inc.
Kiverdi, Inc.
Kobe Steel, Limited
Koch Biological Solutions, LLC
Korea Kumho Petrochemical Co., Ltd.
Kulite Semiconductor Products, Inc
LAVA ENERGY SYSTEMS, INC.
LG Bionano, LLC
LG Display Co., Ltd.
LG NANOH2O, INC.
LIQUID X PRINTED METALS, INC.
LUCERA LABS, INC.
Lake Lite, Inc.
Landauer, Inc.
Laserline Mfg., Inc.
Lawrence Livermore National Security, LLC
Leap Frogg, LLC
Lehigh Technologies, LLC
Lion Copolymer Geismar, LLC
Liquidia Technologies, Inc.
Little Kids, Inc.
Livetv, LLC
Locus Energy, LLC
Longhorn Vaccines and Diagnostics, LLC
Los Alamos National Security, LLC
Lumenco, LLC
Lux Bio Group, Inc.
Lyotropic Therapeutics, Inc.
MANUFACTURING RESOURCES INTERNATIONAL, INC.
MAXLINEAR, INC.
MBC Ventures, Inc.
MCI, Inc.
