MEDport, Inc.
MICROMIDAS, INC.
MICROSOFT TECHNOLOGY LICENSING, LLC
MIETAMARK GENETICS, INC.
MONTEREY RESEARCH, LLC
Ma-West, Inc.
Macronix International Co., Ltd.
Magnachip Semiconductor, Ltd.
Magnolia Optical Technologies, Inc.
Magnolia Solar, Inc.
Magnolia Solar, Inc.University of Miami
Mallinckrodt, Inc.
Manta Instruments, Inc.
Marine Polymer Technologies, Inc.
Masimo Semiconductor, Inc.
Materia, Inc.
Matrix Genetics, LLC
Matrix Odyssey, LLC
Mattson Technology, Inc.
Maxout Renewables, Inc.
McAlister Technologies, LLC
McElroy Manufacturing, Inc.
Medical Diagnostic Laboratories, LLC
Medtronic Vascular, Inc.
Meso Scale Technologies, LLC.
Metabolix, Inc.
Meyer Tool, Inc.
Micro Cooling Concepts, Inc.
MicroContinuum, Inc.
MicroLink Devices, Inc.
Microchips Biotech, Inc.
Micron Technology, Inc.
Microsurge, Inc.
Midori USA, Inc.
Midrex Technologies, Inc.
Minebea Co., Ltd.
MirTech, Inc.
Mission Product Holdings, Inc.
Mitsubishi Polyester Film, LLC
Molecular Imprints, Inc.
Molecular Rebar Design, LLC
MonoSol, LLC
Morpho, Inc.
Moxtek, Inc.
Mumetel, LLC
Murata Manufacturing Co., Ltd.
NANO CELL SYSTEMS, INC.
NANOPHTHALMICS, LLC
NCC Nano, LLC
NGK Spark Plug Co., Ltd.
NLT TECHNOLOGIES, LTD.
NXP USA, INC.
NanoLab, Inc.
NanoMech, Inc.
NanoOncology, Inc.
NanoTech Lubricants, LLC
Nanoco Technologies, Ltd.
Nanocopocia, LLC
Nanoholdings, LLC
Nanomix, Inc.
Nanoquantum Sciences, Inc.
Nanoridge Materials, Inc.
Nanospectra Biosciences, Inc.
Nanosys, Inc.
Nanotech Biomachines, Inc.
Nanotek Instruments, Inc.
Nant Holdings IP, LLC
Nantero, Inc.
Narsys, LLC
Nationwide Children's Hospital, Inc.
NetApp, Inc.
NeuMoDx Molecular, Inc.
Neumedicines, Inc.
Neural Signals, Inc.
Neutronic Perpetual Innovations, LLC
New England Biolabs, Inc.
New Technology Ventures, Inc.
Newlans, Inc.
Nexcom Technology, Inc.
Nippon Shokubai Co., Ltd.
Nissan Motor Co., Ltd.
Nissan North America, Inc.
Nokomis, Inc.
Nordic Technologies, Inc.
Northwest Biotherapeutics, Inc.
Nova Technologies, Inc.
NovaSolix, Inc.
Novellus Systems, Inc.
Novon, Inc.
Novozymes North America, Inc.
Novus Technology, Incorporated
NuOrtho Surgical, Inc.
OAS Design Group, Inc.
OFS Fitel, LLC
OPTERRA ENERGY SERVICES, INC.
OSI Optoelectronics, Inc.
OTSUKA PHARMACEUTICAL CO., LTD.
Oceanit Laboratories, Inc.
Oculus VR, LLC
Ojai Retinal Technology, LLC
