TP Solar, Inc.
TRI ALPHA ENERGY, INC.
TT Technologies, Inc.
Taiwan Semiconductor Manufacturing Company, Ltd.
Taiyo Ink Mfg. Co., Ltd.
Tapwave, Inc.
Tarveda Therapeutics, Inc.
Taxon Biosciences, Inc.
Tekkware, Inc.
Tela Innovations, Inc.
Teledyne Scientific & Imaging, LLC
Tensor, Inc.
Teradata US, Inc.
Terra Caloric, LLC
TerraVia Holdings, Inc.
Tersus Environmental, LLC
Tesla Nanocoatings, Inc.
Tessera Advanced Technologies, Inc.
Tessera, Inc.
TetraSun, Inc.
Texas Research International, Inc.
The Carbon Cable Company, LLC
The Charles Stark Draper Laboratory, Inc.
The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.
The Samuel Roberts Noble Foundation, Inc.
TheGreenCell, Inc.
Theraclone Sciences, Inc.
Therapeutic Proteins International, LLC
Thermo Finnigan, LLC
Thorlabs Quantum Electronics, Inc.
Thorlabs, Inc.
Tigo Energy, Inc.
Tokyo Ohka Kogyo Co., Ltd.
Toray Plastics (America), Inc.
Toshiba America Electronic Components, Inc.
Toyota Motor Engineering & Manufacturing North America, Inc.
Transilwrap Company, Inc.
Transitions Optical, Inc.
Transposagen Biopharmaceuticals, Inc.
Travis Industries, Inc.
Triple Ring Technologies, Inc.
Truckee Applied Genomics, LLC
True-Safe Technologies, Inc.
Tufts Medical Center, Inc.
Twitter, Inc.
U.S. NUTRACEUTICALS, LLC
UChicago Argonne, LLC
UT-Battelle, LLC
UWM Research Foundation, Inc.
Ube Industries, Ltd.
Universal Leaf Tobacco Co., Inc.
V35A Enterprises, LLC
VALTED, LLC
VINYLAST, INC.
VMware, Inc.
Vadient Optics, LLC
Valicor, Inc.
Varian Semiconductor Equipment Associates, Inc.
Vaxiion Therapeutics, Inc.
Ventana Medical Systems, Inc.
Veracode, Inc.
Veracyte, Inc.
Verliant Energy, Inc.
Vindico NanoBioTechnology, LLC
Virent, Inc.
Voxtel, Inc.
W&Wsens Devices, Inc.
WAFERTECH, LLC
WOVN, INC.
Warsaw Orthopedic, Inc.
Wentworth Laboratories, Inc.
WestPoint Home, Inc.
Western Digital (Fremont), LLC
Western Digital Technologies, Inc.
WiSys Technology Foundation, Inc.
Wikipad, Inc.
Wine.com, Inc.
Wireless Environment, LLC
Wizard Labs, LLC
Wostec, Inc. 032138/0242
Xyleco, Inc.
Yeda Research and Development Co., Ltd.
Yissum, Research Development Company of the Hebrew University of Jerusalem
ZENA TECHNOLOGIES, INC.
Ziptronix, Inc.
Zyvex Labs, LLC
aTyr Pharma, Inc.
adaptiveARC, Inc.
bioTheranostics, Inc.
eNow, Inc.
iBio, Inc.
k-Space Associates, Inc.
kSep Systems, LLC
nLIGHT, Inc.
nanoComposix, Inc.
3M Innovative Properties Company
646840 Alberta Ltd.
AAC Technologies Pte. Ltd.
ABB AB
ABB Research Ltd.
