22nd Century Limited, LLC
540 Grid Solutions, LLC
ACell, Inc.
ADMA Products, Inc.
ADVANCED CERAMIC FIBERS, LLC
AFMODEL, LLC.
AG ENERGY SOLUTIONS, INC.
AGC Flat Glass North America, Inc.
AIR PRODUCTS AND CHEMICALS, INC.
ALF OPERATING PARTNERS, LTD.
ALGETERNAL TECHNOLOGIES, LLC
AMO Wavefront Sciences, LLC
AMPT, LLC
API Intellectual Property Holdings, LLC
APPLIED STEMCELL, INC.
APPLIED SUNSHINE, LLC
ARBOR THERAPEUTICS, LLC
AROG PHARMACEUTICALS, INC.
ASCENT SOLAR TECHNOLOGIES, INC.
ASM America, Inc.
ASTUTE MEDICAL, INC.
ATC Technologies, LLC
ATTOSTAT, INC.
AVI BioPharma, Inc.
AVOGY, INC.
Aadigen, LLC
Abengoa Bioenergy New Technologies, LLC.
Ablexis, LLC
Abraxis Bioscience, LLC
Accuri Cytometers, Inc.
Acorn Technologies, Inc.
Adhesives Research, Inc.
Adlens Beacon, Inc.
Adtran, Inc.
Advanced Analogic Technologies, Inc.
Advanced Cardiovascular Systems, Inc.
Advanced Cell Technology, Inc.
Advanced Fusion Technologies, Inc.
Advanced Silicon Group, Inc.
Advanced Technology Materials, Inc.
Advanced Water Technology, Inc.
Adynxx, Inc.
Aerogen, Inc.
Agena Bioscience, Inc.
Agienic, Inc.
Agilent Technologies, Inc.
Agrigenetics, Inc.
Agrivida, Inc.
Ajinomoto Althea, Inc.
Akron Polymer Systems, Inc.
Alcon Research, Ltd.
Alcotek, Inc.
Alencon Acquisition Co., LLC.
Alexion Pharmaceuticals, Inc.
All Power Labs, Inc.
Allertein Therapeutics, LLC
Alliance for Sustainable Energy, LLC
Allison Transmission, Inc.
Alnylam Pharmaceuticals, Inc.
AltaRock Energy, Inc.
Altivera, LLC
Amazon Technologies, Inc.
Ambature, Inc.
American Air Liquide, Inc.
American Piledriving Equipment, Inc.
Amicus Therapeutics, Inc.
Amkor Technology, Inc.
Ampio Pharmaceuticals, Inc.
Amprius, Inc.
Amtech Systems, LLC
Analog Devices, Inc.
Angaza Design, Inc.
Angiotech Pharmaceuticals (US), Inc.
Annam Biosciences, LLC
Ansun Biopharma, Inc.
Anterios, Inc.
Applied Biosystems, LLC
Applied Materials, Inc.
Applied Membrane Technologies, Inc.
Applied NanoStructured Solutions, LLC
Applied Nanostructures, Inc.
Applied Optoelectronics, Inc.
Arch Biosurgery, Inc.
Arcturus Therapeutics, Inc.
Areesys Technologies, Inc.
Arisaph Pharmaceuticals, Inc.
Arpin Renewable Energy, LLC
Arrowhead Center, Inc.
Aseptia, Inc.
Astech, Inc.
AstenJohnson, Inc.
Astex Pharmaceuticals, Inc.
Atom Nanoelectronics, Inc
Atonometrics, Inc.
Aurora Alage, Inc.
Aurrion, Inc.
Aushon Biosystems, Inc.
Auterra, Inc.
Authenex, Inc.
Autonomic Materials, Inc.
