Da Yu Enterprises, L.L.C.
Daikin Industries, Ltd.
Dana-Farber Cancer Institute, Inc.
Daylight Solutions, Inc.
DePuy Synthes Products, LLC
Deep Science, LLC
Deep Well Power, LLC
Delphi Technologies, Inc.
Delta Electronics, Inc.
Dentsply International, Inc.
Dermazone Solutions, Inc.
Diamicron, Inc.
Diamond Innovations, Inc.
Digital Wind Systems, Inc.
Disney Enterprises, Inc.
Dogwood Pharmaceuticals, Inc.
Domtar Paper Company, LLC
Dongbu Hitek Co., Ltd.
Dynamic Solutions Worldwide, LLC
ENERGY ENGINEERING SYSTEMS, LLC
ENI Technology, Inc.
ESCAPE THERAPEUTICS, INC.
Easel Biotechnologies, LLC
Echogen Power Systems, LLC
Ecovative Design, LLC
Egenera, Inc.
Eisai Co., Ltd.
Elcriton, Inc.
ElectraTherm, Inc.
Electrix, Inc.
Electronic Warfare Associates, Inc.
Element One, Inc.
Elenion Technologies, LLC
Energen, Inc.
Energysolutions, LLC
Enginuity Worldwide, LLC
Englewood Lab, LLC
Ensyn Renewables, Inc.
Entech Solar, Inc.
Entegris, Inc.
Envision Solar International, Inc.
Epizyme, Inc.
Esolar, Inc.
Ethicon Endo-Surgery, Inc.
Ethox Chemicals, Inc.
Everspin Technologies, Inc.
Evri, Inc.
Express Imaging Systems, LLC
Extech/Exterior Technologies, Inc.
FHT, Inc.
FLIR Systems, Inc.
FUJIFILM Dimatix, Inc.
FULL CIRCLE BIOCHAR, INC.
Facebook, Inc.
Faurecia Interior Systems, Inc.
Fenwal, Inc.
Fezza Family Properties, LLC
Fina Technology, Inc.
First Solar, Inc.
Flextronics AP, LLC
Ford Global Technologies, Inc.
Forest Concepts, LLC
Foret Plasma Labs, LLC
Formula Plastics, Inc.
Freescale Semiconductor, Inc.
Fuji Electric Co., Ltd.
Fuji Xerox Co., Ltd.
Furukawa Electric Co., Ltd.
FutureWei Technologies, Inc.
GE Healthcare Dharmacon, Inc.
GED Intergrated Solution, Inc.
GEOTHERMAL ENERGY PROJECT, LLC
GM Global Technology Operations, Inc.
GOJO Industries, Inc.
GOSOLARLIFE, LLC
GR Intellectual Reserve, LLC
GROW ENERGY, INC.
GTherm, Inc.
Galectin Therapeutics, Inc.
GangaGen, Inc.
Gardner-Gibson, Inc.
Garland Industries, Inc.
Gemex Systems, Inc.
Genentech, Inc.
Genia Technologies, Inc.
Genisphere, LLC
Genomatica, Inc.
Genomic Health, Inc.
GeoSynFuels, LLC
George Mason Research Foundation, Inc.
Gilead Biologics, Inc.
Gilead Connecticut, Inc.
Gilead Sciences, Inc.
GlassPoint Solar, Inc.
GlaxoSmithKline Biologicals, S.A.
Global Solar Water Power Systems, Inc.
Globus Medical, Inc.
Gracenote, Inc.
Gram Power, Inc.
Graphene Technologies, Inc.
