OmniVision Technologies, Inc.
Opel Solar, Inc.
OrbusNeich Medical, Inc.
Ormet Circuits, Inc.
Ortho-Clinical Diagnostics, Inc.
Ostendo Technologies, Inc.
Ovonic Battery Company, Inc.
PAX Scientific, Inc.
PDF Solutions, Inc.
PELLION TECHNOLOGIES, INC.
PLYCEM USA, INC.
PNM, Inc.
POET Research, Inc
POSiFA MICROSYSTEMS, INC.
PPG Industries Ohio, Inc.
PTC Therapeutics, Inc.
Pacific Biosciences of California, Inc.
Pacific Light Technologies, Corp.
Panasonic Intellectual Property Management Co., Ltd.
Paratek Pharmaceuticals, Inc.
Pardev, LLC
Parion Sciences, Inc.
Pendar Technologies, LLC
Pentron Clinical Technologies, LLC
Performance Plants, Inc.
Perkinelmer Holdings, Inc.
PetraSolar, Inc.
Peytant Solutions, Inc.
Pharmatrophix, Inc.
Phoseon Technology, Inc.
Photon Dynamics, Inc. 
Piksel, Inc.
Pinnacle Technology, Inc.
Pioneer Energy, Inc.
Pioneer Hi-Bred International, Inc.
Pioneer Hi-Bred, Inc.
Pixelligent Technologies, LLC
Planet ATE, Inc.
Plant Sensory Systems, LLC
Plasma Tech Holdings, LLC
Plasma-Therm, Inc.
PluroGen Therapeutics, Inc.
Poly-Med, Inc.
PortaFire, Inc.
Power Integrations, Inc.
Praxair S.T. Technology, Inc.
Praxair Technology, Inc.
Precision Custom Coatings, LLC
Previvo Genetics, LLC
Princeton Optronics, Inc.
ProNAi Therapeutics, Inc.
Production Resource Group, L.L.C.
Professional Compounding Centers of America, Ltd
Propagation Research Associates, Inc.
Prosoft International, Inc.
Proton Power, Inc.
Pulse Therapeutics, Inc.
QD Vision, Inc.
QUALCOMM MEMS Technologies, Inc.
QUSWAMI, INC.
Quantapore, Inc.
Quantum Devices, Inc.
R.A. Miller Industries, Inc.
R.P. Scherer Technologies, Inc.
RADIANCE SOLAR, LLC
RES USA, LLC
RF Micro Devices, Inc.
Rapamycin Holdings, LLC
Rebellion Photonics, Inc.
Red Hat, Inc.
Redwood Systems, Inc.
Regeneron Pharmaceuticals, Inc.
Relypsa, Inc.
Renewable Algal Energy, LLC
Renewable Power Conversion, Inc.
Renmatix, Inc.
Revera, Incorporated
Revivicor, Inc.
Reynolds Technologies, Inc.
Richtek Technology Corporation, R.O.C.
Rillito Rive Solar, LLC
Rio Grande Valley Sugar Growers, Inc.
Riverbed Technology, Inc.
Roche Diabetes Care, Inc.
Rockwell Automation Technologies, Inc.
Rockwell Collins, Inc.
Roho, Inc.
Rolls-Royce North American Technologies, Inc.
Ruse Technologies, LLC
S&S X-Ray Products, Inc.
S. C. Johnson & Son, Inc. 
S.C. Johnson & Son, Inc.
SAMSUNG DISPLAY CO., LTD.
SB ENERGY, LLC
SCHOTTKY LSI, INC.
SD Technologies, LLC
SDCmaterials, Inc.
SEEK THERMAL, INC.
SELMAN AND ASSOCIATES, LTD.
SK Telecom Co., Ltd
