"firm","lookup_firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","pages","num_words","avg_words_per_page","year.min.p..date...","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","about_gen.count","about_exact.count","default_to_home","mean_i2017y","mean_cd2017y"
"22nd Century Limited","22nd Century Limited","22nd Century Limited","xxiicentury.com/",0,0,1,1,734,"FirmSize.LARGE_FIRM",0,28,183287,6545.96428571429,2014,14,2,1,1,2,2,7,41,12,13,9,26,1,6,22,10,0,0,2,3,3,4,3,0,0.142857142857143,-0.00133511428571429
"3M Innovative Properties Company","3M Innovative Properties Company","3M Innovative Properties Company","3m.com/",1,1,1,3,60593,"FirmSize.LARGE_FIRM",0,252,4584071,18190.7579365079,1999,9688,58,1.01001238645747,1.01754385964912,3.4364161849711,4.75438596491228,15,22,55,15,11,167,2,6,0,52,12,35,1,5,52,16,2,0,12.7063011747953,0.00131920280004747
"540 Grid Solutions","540 Grid Solutions","540 Grid Solutions","",0,1,0,1,18,"FirmSize.SMALL_FIRM",1,NA,NA,NA,2008,3,1,1,1,2.33333333333333,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,0
"AAC Technologies Pte. Ltd.","AAC Technologies Pte","AAC Technologies Pte","",1,0,0,1,2174,"FirmSize.LARGE_FIRM",0,NA,NA,NA,1984,100,1,1.08,1,2.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.070239776
"ABB AB","ABB AB","ABB AB","abb.com/",1,0,0,1,100487,"FirmSize.LARGE_FIRM",0,NA,NA,NA,2000,378,1,1.00529100529101,2,2.78306878306878,4,0,12,19,27,14,43,4,22,2,59,12,24,4,8,25,17,2,0,7.44444444444444,0.0600004084358974
"ABB Research Ltd.","ABB Research","ABB Research","new.abb.com",1,0,0,1,134800,"FirmSize.LARGE_FIRM",0,4,55805,13951.25,1994,948,1,1.01476793248945,1,3.15295358649789,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46194503171247,0.0728538387526427
"ABB Technology Ltd.","ABB Technology","ABB Technology","new.abb.com/about/technology",0,1,0,1,134800,"FirmSize.LARGE_FIRM",0,9,206172,22908,1989,1098,1,1.00273224043716,1,2.74772313296903,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51079136690647,0.0396084161562179
"Abbott Cardiovascular Systems Inc.","Abbott Cardiovascular Systems","Abbott Cardiovascular Systems","vascular.abbott/us/homepage.html",1,0,1,2,706,"FirmSize.LARGE_FIRM",0,22,543215,24691.5909090909,2007,915,5,1.01420765027322,1,3.22622950819672,3.2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,2.88461538461538,0.0195990046565934
"Abbott Molecular Inc.","Abbott Molecular","Abbott Molecular","molecular.abbott/",1,0,0,1,99000,"FirmSize.LARGE_FIRM",0,22,253065,11502.9545454545,2014,24,2,1.16666666666667,1.5,3.41666666666667,5,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0.166666666666667,-0.00285691875
"AbbVie Inc.","AbbVie","AbbVie","abbvie.com/",0,0,1,1,29000,"FirmSize.LARGE_FIRM",0,92,1165311,12666.4239130435,1981,554,14,1.14620938628159,1,7.50361010830325,6.71428571428571,0,71,13,10,15,22,9,29,9,122,11,5,6,18,31,28,9,0,3.63207547169811,0.00297169398301887
