firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
firm,hit_url,,,,
22nd Century Limited,xxiicentury.com/,707,https://www.linkedin.com/company/22nd-century-technologies,22nd Century Technologies Inc.,17
ACell,acell.com/,368,https://www.linkedin.com/company/acell-inc.,"ACell, Inc.",6
ADMA Products,admaproducts.com/#!,4,https://www.linkedin.com/company/adma-products-inc.,"ADMA Products, Inc.",6
ADVANCED CERAMIC FIBERS,acfibers.com/index.html,6,https://www.linkedin.com/company/advanced-ceramic-fibers-llc,"Advanced Ceramic Fibers, LLC",23
AFMODEL,afmodels.com/,,https://www.linkedin.com/pub/kristian-sørensen/3b/a47/871?trk=pub...,Kristian Sørensen - Network Coordinator - Iveco North Europe ...,64
AG ENERGY SOLUTIONS,ag.energy/,491,https://www.linkedin.com/company/koch-fertilizer,"Koch Ag & Energy Solutions, LLC",30
AGC Flat Glass North America,agcglass.com/,574,https://www.linkedin.com/company/agc-flat-glass-north-america-inc-,AGC Glass Company North America,25
AIR PRODUCTS AND CHEMICALS,airproducts.com/,11192,https://www.linkedin.com/company/air-products,Air Products,23
ALGETERNAL TECHNOLOGIES,algeternal.com/,5,https://www.linkedin.com/company/algeternal-technologies-llc,"AlgEternal Technologies, LLC",24
