22nd Century Limited	xxiicentury.com/
ACell	acell.com/
ADMA Products	admaproducts.com/#!
ADVANCED CERAMIC FIBERS	acfibers.com/index.html
AFMODEL	afmodels.com/
AG ENERGY SOLUTIONS	ag.energy/
AGC Flat Glass North America	agcglass.com/
AIR PRODUCTS AND CHEMICALS	airproducts.com/
ALGETERNAL TECHNOLOGIES	algeternal.com/
APPLIED STEMCELL	appliedstemcell.com/
ARBOR THERAPEUTICS	arborpharma.com/
AROG PHARMACEUTICALS	arogpharmaceuticals.com/
ASCENT SOLAR TECHNOLOGIES	ascentsolar.com/
ASM America	asm.com/
ASTUTE MEDICAL	astutemedical.com/
ATC Technologies	atctechnologiesinc.com/
ATTOSTAT	attostat.com/
AVI BioPharma	sarepta.com/
Abengoa Bioenergy New Technologies	abengoa.com/
Ablexis	ablexis.com/
Acorn Technologies	acorntech.com/
Adhesives Research	adhesivesresearch.com/
Adlens Beacon	adlens.com/
Adtran	adtran.com/
Advanced Silicon Group	advancedsilicongroup.com/
Adynxx	adynxx.com/
Aerogen	aerogen.com/
Agena Bioscience	agenabio.com/
Agienic	agienic.com/
Agilent Technologies	agilent.com/
Agrivida	agrivida.com/
Ajinomoto Althea	ajibio-pharma.com/
Akron Polymer Systems	akronpolysys.com/
Alcon Research	alcon.com/
Alcotek	alcotek.com/
Alencon Acquisition Co.	alenconsystems.com/
Alexion Pharmaceuticals	alexion.com/
All Power Labs	allpowerlabs.com/
Allertein Therapeutics	allergytherapeutics.com/
Allison Transmission	allisontransmission.com/
Alnylam Pharmaceuticals	alnylam.com/
AltaRock Energy	altarockenergy.com/
Ambature	ambature.com/
American Air Liquide	industry.airliquide.us/
American Piledriving Equipment	apevibro.com/
Amicus Therapeutics	amicusrx.com/
Amkor Technology	amkor.com/
Ampio Pharmaceuticals	ampiopharma.com/
Amprius	amprius.com/
Amtech Systems	amtechsystems.com/
Analog Devices	analog.com/en/index.html
Angiotech Pharmaceuticals (US)	angiotech.com/
Annam Biosciences	annambiosciences.com/
Ansun Biopharma	ansunbiopharma.com/
Applied Materials	appliedmaterials.com/
Applied Nanostructures	appnano.com/
Applied Optoelectronics	ao-inc.com/
Arcturus Therapeutics	arcturusrx.com/
Areesys Technologies	areesys.com/
Arpin Renewable Energy	arpingroup.com/
Arrowhead Center	arrowheadcenter.nmsu.edu/
Astech	astech.com/
AstenJohnson	astenjohnson.com/
Astex Pharmaceuticals	astx.com/
Atom Nanoelectronics	atomoe.com/
Atonometrics	atonometrics.com/
Aurrion	asurion.com/
Aushon Biosystems	aushon.com/
Auterra	auterrainc.com/
Autonomic Materials	autonomicmaterials.com/
Avalanche Technology	avalanche-technology.com/
Avertech	avertech.com.sg/
Avon Products	avon.com/
Babcock Power Services	babcockpower.com/
Becton	bd.com/
Bemis Company	bemis.com/
Bestway	bestwaycorp.us/
Big Belly Solar	bigbelly.com/
Bio-Rad Laboratories	bio-rad.com/
BioNano Genomics	bionanogenomics.com/
Biocare Medical	biocare.net/
Biogenic Reagents Ventures	biogenicreagents.com/
Biological Dynamics	biologicaldynamics.com/
Biotechnology Foundation	cabiotech.org/
Bird-B-Gone	birdbgone.com/
Bisco	biscoind.com/
Blue Sea Systems	bluesea.com/
Bostik	bostik.com/us/
Braun Intertec Geothermal	braunintertec.com/
Bridgelux	bridgelux.com/
Bruin Biometrics	bruinbiometrics.com/us/
Buckman Laboratories International	buckman.com/
Building Envelope Innovations	wet-flash.com/
CAPAT	
CMC ICOS BIOLOGICS	agcbio.com/
CP Kelco U.S.	cpkelco.com/
CUMMINS FILTRATION IP	cumminsfiltration.com/
CYBERCITY 3D	cybercity3d.com/
Cadence Design Systems	cadence.com/
Calient Technologies	calient.net/
Calysta	calysta.com/
Cambridge Electronics	cambridgeelectronics.com/
Canon Nanotechnologies	cnt.canon.com/
Carbon3D	carbon3d.com/
Cardiva Medical	cardivamedical.com/
Carestream Health	carestream.com/en/us
Caribou Biosciences	cariboubio.com/
Carver Scientific	carversci.com/
Casio Computer Co.	world.casio.com/
Cavium	cavium.com/
CellPrint IP Holding	cellprintbiotechnology.com/
Ceramatec	ceramtec.com/
Chemtreat	chemtreat.com/
Christie Digital Systems	christiedigital.com/en-us/
Chromalox	chromalox.com/
Cisco Technology	cisco.com/
Claret Medical	claretmedical.com/
Clean Energy Labs	cleanenergylabs.com/
Clearside Biomedical	clearsidebio.com/
Codexis	codexis.com/
Coleman Cable	colemancables.com/
Combined Energies	combined-energies.com/
Complete Genomics	completegenomics.com/
Conexant Systems	synaptics.com/
Confluence Energy	confluenceenergy.com/
Continental Manufacturing	continentalcommercialproducts.com/
Cool Planet Energy Systems	coolplanet.com/
Copernicus Therapeutics	cgsys.com/
Coriant Advanced Technology	coriant.com/
Cornell Research Foundation	cornell.edu/research/
Courtagen Life Sciences	courtagen.com/
Cree	cree.com/
Cross Match Technologies	crossmatch.com/
Crossbar	crossbar-inc.com/en/
Cura Vac	curavac.com/
Cyberonics	livanova.cyberonics.com/
CyboEnergy	cyboenergy.com/
DHPC TECHNOLOGIES	dhpctech.com/
DNA Twopointo	atum.bio/
DNA2.0	atum.bio/
DRS Network & Imaging Systems	leonardodrs.com/
Da Yu Enterprises	dayuenterprises.com/
Daikin Industries	daikin.com/
Daylight Solutions	daylightsolutions.com/
DePuy Synthes Products	depuysynthes.com/
Deep Science	deepscience.ai/
Delta Electronics	deltaww.com/
Dermazone Solutions	dermazone.com/
Diamond Innovations	hyperionmt.com/
Disney Enterprises	thewaltdisneycompany.com/
Domtar Paper Company	domtar.com/en
Dynamic Solutions Worldwide	dynatrap.com/
ESCAPE THERAPEUTICS	escapetherapeutics.com/
Easel Biotechnologies	easelbio.com/
Echogen Power Systems	echogen.com/
Ecovative Design	ecovativedesign.com/
Egenera	egenera.com/
Eisai Co.	eisai.com/index.html
ElectraTherm	electratherm.com/
Electronic Warfare Associates	ewa.com/
Element One	elementonescreens.com/
Elenion Technologies	elenion.com/
Energen	energen.com/
Energysolutions	energysolutions.com/
Enginuity Worldwide	enginuityww.webstarts.com/
Englewood Lab	englewoodlab.com/
Ensyn Renewables	ensyn.com/
Entegris	entegris.com/
Envision Solar International	envisionsolar.com/
Epizyme	epizyme.com/
Ethicon Endo-Surgery	ethicon.com/
Ethox Chemicals	blog.ethox.com/
Everspin Technologies	everspin.com/
Express Imaging Systems	eiscallcenter.com/
Extech/Exterior Technologies	extechinc.com/
FLIR Systems	flir.com/
FULL CIRCLE BIOCHAR	fullcirclebiochar.com/
Faurecia Interior Systems	faurecia.com/en
Fina Technology	finatg.com/
First Solar	firstsolar.com/
Ford Global Technologies	corporate.ford.com/innovation.html
Forest Concepts	forestconcepts.com/
Foret Plasma Labs	plasmawhirl.com/
Formula Plastics	formulaplastics.com/
Freescale Semiconductor	nxp.com/
Fuji Electric Co.	fujielectric.com/
Fuji Xerox Co.	fujixerox.com/eng
Furukawa Electric Co.	furukawa.co.jp/en/
FutureWei Technologies	huawei.com/us/
GED Intergrated Solution	gedusa.com/
GOJO Industries	gojo.com/
GOSOLARLIFE	gosolarlife.com/
GROW ENERGY	growenergy.org/
GTherm	gtherm.net/
Galectin Therapeutics	galectintherapeutics.com/
GangaGen	gangagen.com/
Gardner-Gibson	gardner-gibson.com/
Garland Industries	garlandco.com/
Gemex Systems	gemex.com/
Genentech	gene.com/
Genisphere	genisphere.com/
Genomatica	genomatica.com/
Genomic Health	genomichealth.com/
Gilead Connecticut	gileadcs.org/
Gilead Sciences	gilead.com/
GlassPoint Solar	glasspoint.com/
GlaxoSmithKline Biologicals	gsk.com/
Global Solar Water Power Systems	gswps.com/
Globus Medical	globusmedical.com/
Gracenote	gracenote.com/
Gram Power	grampower.com/about-us/
Graphene Technologies	graphenetechnologies.com/
Great American Duck Races	demingduckrace.com/
Green Box Batteries	biggreenbox.com/
Green Solar Transportation	greensolartransport.com/
Greyrock Energy	greyrock.com/
HARMAN INTERNATIONAL INDUSTRIES	harman.com/
HIQ SOLAR	hiqsolar.com/
HM3 Energy	hm3energy.com/
HNO Greenfuels	hnogreenfuels.com/
HRL Laboratories	hrl.com/
Handstand Innovations	messagewrap.com/
Headway Technologies	headway.com/
Heliae Development	heliae.com/
Hitachi Metals	hitachimetals.com/
Hitachi	hitachi.com/
Hollywood Trucks	hollywoodtrucksllc.com/
Honda Motor Co.	honda.com/
IDEA TREE	ideatreepromos.com/
IMRA America	imra.com/
INTEVAC	intevac.com/
ITN Energy Systems	itnes.com/
Ignis Innovation	ignisinnovation.com/
Illinois Tool Works	itw.com/
Immunolight	immunolight.com/
Inaeris Technologies	inaeristech.com/
Innovation Hammer	ihammerllc.com/
Inphenix	inphenix.com/
Integrated DNA Technologies	idtdna.com/
Integrated Device Technology	idt.com/
Integrated Solar Technology	suntegrasolar.com/
Interez	interez.sk/
Intermolecular	intermolecular.com/
Intuitive Surgical Operations	intuitive.com/
Inventus Holdings	inventusholdings.com/
Ion Power Group	ionpowergroup.com/
Isis Pharmaceuticals	ionispharma.com/
J. E. WHITE	jewhites.com.au/
Janssen Biotech	janssen.com/
Johnson & Johnson Vision Care	jjvision.com/
K.S. INTERNATIONAL CO.	ksandco.com/
KOLO TECHNOLOGIES	kolomedical.com/
KR Design House	krdesignhouse.com/
Kala Pharmaceuticals	kalarx.com/
Kamtec	kamtec.co.uk/
Kansai Paint Co.	kansai.com/
Kashiv Pharma	kashivpharma.com/
Kinestral Technologies	kinestral.com/
Kiverdi	kiverdi.com/
Kobe Steel	kobelco.co.jp/english/
Kulite Semiconductor Products	kulite.com/
LG Display Co.	lgdisplay.com/eng/main
LIQUID X PRINTED METALS	liquid-x.com/
LUCERA LABS	luceralabs.com/
Lake Lite	lakelite.com/
Landauer	landauer.com/
Laserline Mfg.	laserlinemfg.com/
Leap Frogg	leapfrog.com/en-us/home
Lehigh Technologies	lehightechnologies.com/
Lion Copolymer Geismar	lionelastomers.com/
Liquidia Technologies	liquidia.com/
Little Kids	littlekidsinc.com/
Livetv	livetv.sx/enx/
Locus Energy	locusenergy.com/
Los Alamos National Security	lansllc.com/
Lumenco	en.lumenco.ca/
Lux Bio Group	luxbiogroup.com/
MANUFACTURING RESOURCES INTERNATIONAL	resourcemfg.com/
MAXLINEAR	maxlinear.com/
MEDport	medport.com/
MIETAMARK GENETICS	metamarkgenetics.com/
MONTEREY RESEARCH	mbari.org/
Magnachip Semiconductor	magnachip.com/
Magnolia Solar	magnoliasolar.com/
Magnolia Solar	magnoliasolar.com/
Manta Instruments	mantainc.com/
Marine Polymer Technologies	marinepolymer.com/
Materia	materia-inc.com/
Matrix Genetics	lumenbioscience.com/
Mattson Technology	mattson.com/
Maxout Renewables	maxoutrenewables.com/
McAlister Technologies	mcallister.com/
McElroy Manufacturing	mcelroy.com/
Medical Diagnostic Laboratories	mdlab.com/
Meso Scale Technologies	mesoscale.com/
Metabolix	yield10bio.com/
Meyer Tool	meyertool.com/
Micro Cooling Concepts	microcoolingconcepts.com/
MicroContinuum	microcontinuum.com/
MicroLink Devices	mldevices.com/
Microchips Biotech	microchipsbiotech.com/
Micron Technology	micron.com/
Microsurge	talcusa.com/microsurge/
Midori USA	midorihealth.com/
Midrex Technologies	midrex.com/
MirTech	mirtechusa.com/
Mitsubishi Polyester Film	m-petfilm.com/
Molecular Rebar Design	molecularrebar.com/
MonoSol	monosol.com/
Morpho	morpho.com/en
Moxtek	moxtek.com/
Mumetel	mumetel.com/index.html
Murata Manufacturing Co.	murata.com/
NANOPHTHALMICS	nanophthalmics.com/
NCC Nano	novacentrix.com/
NGK Spark Plug Co.	ngksparkplugs.com/
NLT TECHNOLOGIES	tianma.co.jp/en/
NXP USA	nxp.com/
NanoLab	nano-lab.com/
NanoMech	nanomech.com/
NanoOncology	iinano.org/nanooncology
Nanoco Technologies	nanocotechnologies.com/
Nanocopocia	nanocopoeia.com/
Nanoholdings	nh2.com/
Nanomix	nano.com/
Nanoquantum Sciences	nanoquantum.com/
Nanoridge Materials	nanoridge.com/
Nanospectra Biosciences	nanospectra.com/
Nanosys	nanosysinc.com/
Nanotech Biomachines	nanotechbio.com/
Nanotek Instruments	nanotekinstruments.com/
Nantero	nantero.com/
NeuMoDx Molecular	neumodx.com/
Neumedicines	neumedicines.com/
Neural Signals	neuralsignals.com/
New England Biolabs	neb.com/
New Technology Ventures	newtechvc.com/
Newlans	newlans.com/
Nippon Shokubai Co.	shokubai.co.jp/en/
Nissan Motor Co.	nissan-global.com/EN/
Nokomis	nokomisinc.com/
Nordic Technologies	nordic-technologies.com/
Northwest Biotherapeutics	nwbio.com/
Nova Technologies	novatechnologies.com/
NovaSolix	novasolix.com/
Novellus Systems	lamresearch.com/
Novon	novon.com/
Novus Technology	novustek.net/
NuOrtho Surgical	nuortho.com/
OAS Design Group	oasdesigngroup.com/
OFS Fitel	ofsoptics.com/
OPTERRA ENERGY SERVICES	engieservices.us/
OSI Optoelectronics	osioptoelectronics.com/
OTSUKA PHARMACEUTICAL CO.	otsuka.co.jp/en/
Oceanit Laboratories	oceanit.com/
Oculus VR	oculus.com/
OmniVision Technologies	ovt.com/
OrbusNeich Medical	orbusneich.com/
PAX Scientific	paxscientific.com/
PELLION TECHNOLOGIES	pelliontech.com/
PLYCEM USA	allurausa.com/
PNM	pnm.com/
POET Research	poet.com/scotland
POSiFA MICROSYSTEMS	posifamicrosystems.com/
PPG Industries Ohio	corporate.ppg.com/Home.aspx
PTC Therapeutics	ptcbio.com/
Pacific Biosciences of California	pacb.com/
Paratek Pharmaceuticals	paratekpharma.com/
Pardev	pardev.com/
Parion Sciences	parion.com/
Pendar Technologies	pendar.com/
Pentron Clinical Technologies	pentron.com/
Performance Plants	performanceplants.com/
Perkinelmer Holdings	perkinelmer.com/
PetraSolar	petrasystems.com/
Peytant Solutions	peytant.com/
Pharmatrophix	pharmatrophix.com/
Phoseon Technology	phoseon.com/
Photon Dynamics	orbotech.com/
Piksel	piksel.com/
Pinnacle Technology	pinnacle-technology.com/
Pioneer Energy	mypioneerenergy.com/
Pixelligent Technologies	pixelligent.com/
Plant Sensory Systems	plantsensorysystems.com/
Plasma-Therm	plasmatherm.com/
PluroGen Therapeutics	plurogen.com/
Poly-Med	poly-med.com/
PortaFire	port-a-fire.ca/
Power Integrations	power.com/
Praxair S.T. Technology	praxair.com/
Praxair Technology	praxair.com/
Previvo Genetics	previvo.com/
Princeton Optronics	ams.com/
ProNAi Therapeutics	sierraoncology.com/
Production Resource Group	prg.com/
Propagation Research Associates	pra-corp.com/
Prosoft International	prosoft-technology.com/
Proton Power	protonpower.com/
Pulse Therapeutics	pulsetherapeutics.com/
QUALCOMM MEMS Technologies	qualcomm.com/
Quantapore	quantapore.com/
Quantum Devices	quantumdev.com/
R.A. Miller Industries	rami.com/
RADIANCE SOLAR	radiancesolar.com/
RES USA	res-usa.com/
RF Micro Devices	qorvo.com/
Rapamycin Holdings	rapamycinholdings.com/
Rebellion Photonics	rebellionphotonics.com/
Red Hat	redhat.com/en
Redwood Systems	redwoodsystemsgroup.com/
Regeneron Pharmaceuticals	regeneron.com/
Relypsa	relypsa.com/
Renewable Algal Energy	rae-energy.com/
Renewable Power Conversion	rpcincorporated.com/
Renmatix	renmatix.com/
Revivicor	revivicor.com/
Reynolds Technologies	reynoldstechnology.biz/
Richtek Technology Corporation	richtek.com/
Riverbed Technology	riverbed.com/
Rockwell Collins	rockwellcollins.com/
S&S X-Ray Products	ssxray.com/
S. C. Johnson & Son	scjohnson.com/
S.C. Johnson & Son	scjohnson.com/
SAMSUNG DISPLAY CO.	displaysolutions.samsung.com/
SB ENERGY	softbank.jp/en/energy/
SD Technologies	sd-techs.com/
SEEK THERMAL	thermal.com/
SELMAN AND ASSOCIATES	selmanlog.com/
SNS NANO FIBER TECHNOLOGY	snsnano.com/
SOL-ELECTRICA	sol-electrica.com/
SOLARTONIC	solartonic.com/
SOLAZYME	solazyme.com/
SPICE SOLAR	spicesolar.com/
SRG Global	srgglobal.com/
STATS ChipPAC	statschippac.com/
SUMITOMO WIRING SYSTEMS	sws.co.jp/en/
Samsung Electronics Co.	samsung.com/us/
Samsung Electronics	samsung.com/us/
Samsung SDI Co.	samsungsdi.com/
Sangamo BioSciences	sangamo.com/
Sarepta Therapeutics	sarepta.com/
Schneider Electric USA	schneider-electric.us/en/
Scientific Design Company	scidesign.com/
Selecta Biosciences	selectabio.com/
Selkermetrics	selkermetrics.com/
Semiconductor Energy Laboratory Co.	sel.co.jp/en/
Senga Advisors	coengadvisors.com/
Sensor Electronic Technology	s-et.com/
Sequenom	sequenom.com/
ServiceNow	servicenow.com/
Sharp Laboratories of America	sharplabs.com/
Shin-Etsu Chemical Co.	shinetsu.co.jp/en/
Shoals Technologies Group	shoals.com/
Sienna Biopharmaceuticals	siennabio.com/
Sienna Labs	siennabio.com/
Sila Nanotechnologies	silanano.com/
Silicon Storage Technology	sst.com/
Siliconware Precision Industries Co.	spil.com.tw/
Siluria Technologies	siluria.com/
Sima Therapeutics	semma-tx.com/
Sinewatts	sinewatts.com/
Singular Bio	singularbio.com/
Singulex	singulexclarity.eu/
Sinton Consulting	sintoninstruments.com/
Sirnaomics	new.sirnaomics.com/
SixPoint Materials	spmaterials.com/
Skidmore	skidmore.edu/
Smart Planet Technologies	smartplanettech.com/
Smith & Nephew	smith-nephew.com/
SolarReserve Technology	solarreserve.com/en/technology
Solarmer Energy	solarmer.com/
Solight Solar	solight.com/
Soraa Laser Diode	soraalaser.com/
Soraa	soraa.com/
St. Jude Medical	sjm.com/
Stablcor Technology	stablcor.com/
Stanley Electric Co.	stanley.co.jp/e/
Stratasys	stratasys.com/
Strategic Solar Energy	powerparasol.com/
Suganit Systems	suganit.com/
Sumitomo Electric Industries	global-sei.com/
SunEdison	sunedison.com/
SunRun	sunrun.com/
Suncore Photovoltaics	suncoreus.com/
Sundrop Fuels	sundropfuels.com/
Sweetwater Energy	sweetwater.us/
Swift Engineering	swiftengineering.com/
Synaptic Research	research.synaptic.co.uk/
Synopsys	synopsys.com/
Synthetic Genomics	syntheticgenomics.com/
System Biosciences	systembio.com/
TECHNOLOGY RESEARCH	trci.net/
TECNIUM	tecnium.es/
THE BOARD INSTITUTE	theboardinstitute.com/
TOMOWAVE LABORATORIES	tomowave.com/
TP Solar	tpsolar.nl/?lang=en
TRI ALPHA ENERGY	tae.com/
TT Technologies	tttechnologies.com/
Tarveda Therapeutics	tarveda.com/
Tela Innovations	tela-inc.com/
Teradata US	teradata.com/About-Us
Terra Caloric	wellconnectgeo.com/
TerraVia Holdings	terravia.com/
Tersus Environmental	tersusenv.com/
Tesla Nanocoatings	teslanano.com/
Tessera Advanced Technologies	tessera.com/
Tessera	tessera.com/
Texas Research International	tri-intl.com/
The Carbon Cable Company	thecableco.com/
The Charles Stark Draper Laboratory	draper.com/
The Samuel Roberts Noble Foundation	noble.org/
TheGreenCell	thegreencell.com/
Thermo Finnigan	thermofisher.com/us/en/home.html
Thorlabs Quantum Electronics	thorlabs.com/
Thorlabs	thorlabs.com/
Tigo Energy	tigoenergy.com/
Tokyo Ohka Kogyo Co.	tok.co.jp/eng/
Toray Plastics (America)	toraytpa.com/
Transilwrap Company	transcendia.com/
Transitions Optical	transitions.com/en-us/
Travis Industries	travisindustries.com/
Triple Ring Technologies	tripleringtech.com/
True-Safe Technologies	true-safe.com/
Tufts Medical Center	tuftsmedicalcenter.org/
U.S. NUTRACEUTICALS	nutraceutical.com/
UChicago Argonne	uchicagoargonnellc.org/
UT-Battelle	ut-battelle.org/
UWM Research Foundation	uwmrf.org/
Universal Leaf Tobacco Co.	universalcorp.com/
VINYLAST	palisaderail.com/
VMware	vmware.com/
Vadient Optics	vadient.com/
Valicor	trucent.com/
Vaxiion Therapeutics	vaxiion.com/
Veracode	veracode.com/
Veracyte	veracyte.com/
Verliant Energy	verliantenergy.com/
Virent	virent.com/
Voxtel	voxtel-inc.com/
WAFERTECH	wafertech.com/en/careers/
Wentworth Laboratories	wentworthlabs.com/
WestPoint Home	westpointhome.com/
WiSys Technology Foundation	wisys.org/
Wine.com	wine.com/
Wireless Environment	wirelessenv.com/
Wizard Labs	wizardlabs.us/
Wostec	westec.org/
Xyleco	xyleco.com/
Yissum	yissum.co.il/
ZENA TECHNOLOGIES	xena-technologies.com/
Zyvex Labs	zyvexlabs.com/
aTyr Pharma	investors.atyrpharma.com/
bioTheranostics	biotheranostics.com/
iBio	ibioinc.com/
k-Space Associates	k-space.com/
nLIGHT	nlight.net/
nanoComposix	nanocomposix.com/
ABB AB	abb.com/
ABB Technology Ltd.	new.abb.com/about/technology
AC International Inc.	acinter.com/
ACACIA RESEARCH GROUP LLC	acaciaresearch.com/
ACUCELA INC.	acucela.com/
ADASA INC.	adasa.com/
ADVANCED INNOVATION CENTER LLC	aicchile.com/en/
AGFA-GEVAERT N.V.	agfa.com/corporate/
ALSTOM Technology Ltd	alstom.com/
APPLIED MATERIALS ISRAEL LTD.	appliedmaterials.com/
ASM IP HOLDING B.V.	asm.com/
ASML Netherlands B.V.	asml.com/asml/en/s427
AT&T Corporation	att.com/
ATOMERA INCORPORATED	atomera.com/
AbbVie Inc.	abbvie.com/
Abbott Molecular Inc.	molecular.abbott/
Access Business Group International LLC	accessbusinessgroup.com/
AccuRay Corporation	accuray.com/
Adobe Systems Incorporated	adobe.com/
Advanced Aqua Group	aadvancedaqua.com/
AgroFresh Inc.	agrofresh.com/
Alcatel Lucent	al-enterprise.com/
Algenol Biotech LLC	algenol.com/
Alpha and Omega Semiconductor Incorporated	aosmd.com/
Altex Technologies Corporation	altextech.com/
Amberwave Inc.	amberwave.com/
American Science and Technology Corporation	amsnt.com/
Amgen Fremont Inc.	amgen.com/
Amgen Inc.	amgen.com/
Andritz Inc.	andritz.com/group-en
Angstron Materials	theglobalgraphenegroup.com/
Antaya Technologies Corporation	antaya.com/
Applied Genetic Technologies Corporation	agtc.com/
Archer Daniels Midland Company	adm.com/
Arkema Inc.	arkema.com/en/
Arkival Technology Corp.	arkival.com/
Armageddon Energy Inc.	armageddonenergy.com/
Atleisure LLC	atleisure.com/
Atotech Deutschland GmbH	atotech.com/
Atrium Medical Corporation	atriummed.com/
Avery Dennison Corporation	averydennison.com/
Avtaec Limited	avtec.in/
BASF	basf.com/
