index,length,sample_text,of_interest,bridge,is_forgeign,keep_text
1,14,Our Management,0,,,0
2,21,Latest Press Releases,0,,,0
3,72,On-Going Clinical Studies on Very Low Nicotine Content (VLNC) Cigarettes,1,,,1
4,32,Links to the “Miracle Plant”,0,,,0
5,301,This advisory note presents the conclusions and recommendations of the members of the Study Group on Tobacco Product Regulation (TobReg) on a policy for limiting the sale of cigarettes to brands with a nicotine content that is not sufficient to lead to the development and/or maintenance of addiction.,1,,,1
6,13,Hand Hygiene ,1,1,,0
7,633,"may share your personal information with third parties when we have a good faith belief that disclosure is necessary: (i) to comply with a law, regulation, court order, or other legal process; (ii) to detect, prevent, and respond to fraud, intellectual property infringement, violation of our contracts or agreements, violation of law, or other misuse of Internet Sites, Apps, products or services; (iii) to protect rights or property or yours or others’ health, safety, welfare, rights, or property; or (iv) under similar circumstances. If such an event occurs, we will take appropriate steps to protect your personal information.",0,,,0
8,9,View All ,0,,,0
9,10,Speedglas ,0,,,0
10,9,Latvia - ,0,,,0
11,7,Ukraine,0,,,0
12,9,Slovakian,0,,,0
13,12,Saudi Arabia,0,,,0
14,8,Estonian,0,,,0
15,318,"Web        Site Developed by Systeam                     International, We represent and Universal Fasteners for the South                      American market. Our Company has supplied top apparel manufacturers zippers , buttons,                      snaps, SnapetÂ©, burrs & rivets and EliteÂ© hook & eyes s1978.",1,,,1
16,83,All                      pictures and descriptions are for reference purposes only.,1,,,1
17,389,"Providing                      our customers with top quality products at competitive prices,                      combined with excellent customer service is our #1 commitment.                      In addition, we also provide expedient and reliable freight                      forwarding services for those customers who require it. Contact                      us for more information.",1,,,1
18,36,Web        Site Developed by Systeam,0,,,0
19,13,News & Events,0,,,0
20,6,Time: ,0,,,0
21,16,Codes of Conduct,0,,,0
22,113,"© 2008-2018 Corporation120 Newport Center Drive, Suite 100, Newport Beach, 92660 09:00 - 17:00 +1 (949) 480-8300",0,,,0
23,16,"October 25, 2018",0,,,0
24,7,COMPANY,0,,,0
25,7,COMPANY,0,,,0
26,1, ,0,,,0
27,7,email: ,0,,,0
28,14,Privacy Policy,0,,,0
29,12,Publications,0,,,0
30,12,Chris Branch,1,1,,0
31,18,Board of Directors,1,1,,0
32,25,MatriStem UBM™ Overview,0,,,0
33,4,MORE,0,,,0
34,17,Plus size dresses,1,1,,0
35,9,Pinterest,0,,,0
36,8,View all,0,,,0
37,5,Email,0,,,0
38,4,Bows,0,,,0
39,3,​,0,,,0
40,12,Porous Media,0,,,0
41,199,"We believe these parts are the wave of the future and are pleased to produce them under license from Please ask us about our PM/Series 200, 300, 400 and how they can meet your high temperature needs.",1,,,1
42,122,"If you have any questions about our powders, please contact us today.  We are happy to discuss your specific requirements.",1,,,1
43,40,TiAl component for aircraft applications,1,,,1
