firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome
honeywell international inc.,9,https://www.honeywell.com/,Honeywell - Official Site,25,https://www.honeywell.com/,26,1,1,0,0,1
honeywell international inc.,9,https://www.honeywell.com/,Honeywell International Inc. Company Profile | Key ...,54,http://www.hoovers.com/company-information/cs/company-profile.honeywell_international_inc.4c6fe62c9de2d2a5.html,111,3,1,0,0,0
honeywell international inc.,9,https://www.honeywell.com/,HON:New York Stock Quote - Honeywell International Inc ...,58,https://www.bloomberg.com/quote/HON:US,38,4,1,1,0,0
honeywell international inc.,9,https://www.honeywell.com/,HON Stock Price - Honeywell International Inc. Stock Quote ...,62,https://www.marketwatch.com/investing/stock/hon,47,5,1,2,0,0
honeywell international inc.,9,https://www.honeywell.com/,HON Stock Price & News - Honeywell International Inc ...,56,https://quotes.wsj.com/HON,26,6,1,3,0,0
honeywell international inc.,9,https://www.honeywell.com/,Is Honeywell International Inc. a Buy? -- The Motley Fool,57,https://www.fool.com/investing/2018/10/06/is-honeywell-international-inc-a-buy.aspx,83,7,1,4,0,0
imds corporation,4,http://www.imds-ohio.com/,IMDS Corporation,16,http://www.imds-ohio.com/,25,1,1,0,0,1
imds corporation,4,http://www.imds-ohio.com/,Integrated Marketing & Distribution Services Corp.,50,http://imds.com.ph/,19,3,0,0,0,0
imds corporation,4,http://www.imds-ohio.com/,IMDS Information Pages - New to IMDS,36,https://public.mdsystem.com/web/imds-public-pages/new2imds,58,4,1,0,0,0
imds corporation,4,http://www.imds-ohio.com/,IMDS Information Pages - News 2016,34,https://public.mdsystem.com/web/imds-public-pages/news-2016,59,5,1,0,0,0
imds corporation,4,http://www.imds-ohio.com/,IMDS DATA  We Solve Your IMDS Requirements,42,https://imdsdata.org/,21,6,1,0,0,0
imds corporation,4,http://www.imds-ohio.com/,Immune Design Corp. - IMDZ - Stock Price Today - Zacks,54,https://www.zacks.com/amp/stock/quote/IMDZ,42,8,0,1,0,0
honeywell international inc.,9,https://www.honeywell.com/,Honeywell - Official Site,25,https://www.honeywell.com/,26,1,1,0,0,1
honeywell international inc.,9,https://www.honeywell.com/,Honeywell International Inc. Company Profile | Key ...,54,http://www.hoovers.com/company-information/cs/company-profile.honeywell_international_inc.4c6fe62c9de2d2a5.html,111,3,1,0,0,0
honeywell international inc.,9,https://www.honeywell.com/,HON:New York Stock Quote - Honeywell International Inc ...,58,https://www.bloomberg.com/quote/HON:US,38,4,1,1,0,0
honeywell international inc.,9,https://www.honeywell.com/,HON Stock Price - Honeywell International Inc. Stock Quote ...,62,https://www.marketwatch.com/investing/stock/hon,47,5,1,2,0,0
honeywell international inc.,9,https://www.honeywell.com/,HON Stock Price & News - Honeywell International Inc ...,56,https://quotes.wsj.com/HON,26,6,1,3,0,0
honeywell international inc.,9,https://www.honeywell.com/,Is Honeywell International Inc. a Buy? -- The Motley Fool,57,https://www.fool.com/investing/2018/10/06/is-honeywell-international-inc-a-buy.aspx,83,7,1,4,0,0
"ziptronix, inc.",9,https://www.xperi.com/,"Tessera to Acquire Ziptronix, Inc. for $39 Million ...",54,https://www.businesswire.com/news/home/20150827005879/en/Tessera-Acquire-Ziptronix-39-Million,93,1,1,0,1,0
"ziptronix, inc.",9,https://www.xperi.com/,Invensas,8,https://www.invensas.com/,25,2,0,0,1,0
"ziptronix, inc.",9,https://www.xperi.com/,"With the Acquisition of Ziptronix, Tessera Takes the 3D IC ...",62,https://www.3dincites.com/2015/09/with-the-acquisition-of-ziptronix-tessera-takes-the-3d-ic-plunge/,99,5,1,0,2,0
"ziptronix, inc.",9,https://www.xperi.com/,Working at Ziptronix | Glassdoor,32,"https://www.glassdoor.com/Overview/Working-at-Ziptronix-EI_IE14565.11,20.htm",76,6,1,0,2,0
"ziptronix, inc.",9,https://www.xperi.com/,Ziptronix Inc: Company Profile - Bloomberg,42,https://www.bloomberg.com/profiles/companies/4627290Z:US-ziptronix-inc,70,7,1,0,2,0
"ziptronix, inc.",9,https://www.xperi.com/,OmniVision Signs License Agreement with Ziptronix ...,53,https://www.businesswire.com/news/home/20170221005202/en/OmniVision-Signs-License-Agreement-Ziptronix,101,8,1,0,2,0
"ziptronix, inc.",9,https://www.xperi.com/,Ziptronix | Crunchbase,22,https://www.crunchbase.com/organization/ziptronix,49,9,1,0,2,0
"ziptronix, inc.",9,https://www.xperi.com/,"Invensas Bonding Technologies, Inc.: Private Company ...",56,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=528433,79,10,0,0,2,0
"dcg systems, inc.",11,https://www.fei.com/,Electrical Failure Analysis | Thermo Fisher Scientific,54,https://www.fei.com/products/electrical-failure-analysis/,57,1,0,0,0,0
"dcg systems, inc.",11,https://www.fei.com/,FEI Announces Agreement to Acquire DCG Systems Nasdaq:FEIC,58,https://globenewswire.com/news-release/2015/10/27/780561/0/en/FEI-Announces-Agreement-to-Acquire-DCG-Systems.html,113,3,2,1,1,0
"dcg systems, inc.",11,https://www.fei.com/,"DCG Systems, Inc.: Private Company Information - Bloomberg",58,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=49976485,81,4,2,1,1,0
"dcg systems, inc.",11,https://www.fei.com/,Portland Frameless Shower Doors | Frameless ... - DCG Systems,61,https://www.dcgframelesssystems.com/home.html,45,5,2,1,1,0
"dcg systems, inc.",11,https://www.fei.com/,Working at Dcg Systems | Glassdoor,34,"https://www.glassdoor.com/Overview/Working-at-Dcg-Systems-EI_IE279511.11,22.htm",79,6,2,1,1,0
"dcg systems, inc.",11,https://www.fei.com/,DCG Systems - 10 Reviews - Glass & Mirrors - 9000 NE M L ...,60,https://www.yelp.com/biz/dcg-systems-portland,45,7,2,1,1,0
"dcg systems, inc.",11,https://www.fei.com/,DCG Systems in Portland - Yahoo Local,37,https://local.yahoo.com/info-196172048-dcg-systems-portland,59,9,2,1,1,0
"dcg systems, inc.",11,https://www.fei.com/,Dcg Systems LLC - buildzoom.com,31,https://www.buildzoom.com/contractor/dcg-systems-llc,52,10,2,1,1,0
"dcg systems, inc.",11,http://www.fei.com,Electrical Failure Analysis | Thermo Fisher Scientific,54,https://www.fei.com/products/electrical-failure-analysis/,57,1,0,0,0,0
"dcg systems, inc.",11,http://www.fei.com,FEI Announces Agreement to Acquire DCG Systems Nasdaq:FEIC,58,https://globenewswire.com/news-release/2015/10/27/780561/0/en/FEI-Announces-Agreement-to-Acquire-DCG-Systems.html,113,3,2,1,1,0
"dcg systems, inc.",11,http://www.fei.com,"DCG Systems, Inc.: Private Company Information - Bloomberg",58,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=49976485,81,4,2,1,1,0
