firm_name,url,type
Xintec Inc.,http://www.xintec.com.tw/eng/AX_Introduction.aspx,about
Xintec Inc.,http://www.xintec.com.tw/eng/AX_Management-Team.aspx,about
Xintec Inc.,http://www.xintec.com.tw/eng/IR_Company_Profile.aspx,about
Xintec Inc.,http://www.xintec.com.tw/eng/AX_Core-Value_Vision.aspx,about
Xintec Inc.,http://www.xintec.com.tw/eng/CSR_Corporate_Governance.aspx,about
Xintec Inc.,http://www.xintec.com.tw/eng/CSR_WESC_Employee_Profiles.aspx,about
W&Wsens Devices,https://www.wwsensdevices.com/#comp-iocl6fjb,about
22nd Century Limited,http://www.xxiicentury.com/#,about
22nd Century Limited,http://www.xxiicentury.com/profile/,about
22nd Century Limited,http://www.xxiicentury.com/history/,about
22nd Century Limited,http://www.xxiicentury.com/our-management/,about
Yamaha Corporation,http://yamaha-motor.com/corporate/home.aspx,about
Yamaha Corporation,http://yamaha-motor.com/corporate/contactus.aspx,about
Yamaha Corporation,http://yamaha-motor.com/corporate/gen_terms.aspx,about
Yamaha Corporation,http://yamaha-motor.com/corporate/gen_privacy.aspx,about
Yamaha Corporation,http://yamaha-motor.com/corporate/yamaha_careers_dr.aspx,about
Yamaha Corporation,http://yamaha-motor.com/corporate/dealers/corporate_locator_search.aspx?ls=corporate,about
ZENA TECHNOLOGIES,http://xena-technologies.com/#,about
ZENA TECHNOLOGIES,http://xena-technologies.com/about-us/,about
ZENA TECHNOLOGIES,http://xena-technologies.com/program-management/,about
Wine.com,https://www.wine.com/content/about-us/home,about
Wine.com,https://www.wine.com/content/about-us/careers,about
Wine.com,https://www.wine.com/content/landing/corporate-gifting,about
Vizio Inc.,https://www.vizio.com/about,about
WHATSAPP INC.,https://www.whatsapp.com/about/,about
VMware,https://www.vmware.com/company.html,about
VMware,https://www.vmware.com/company/news.html,about
VMware,https://www.vmware.com/company/events.html,about
VMware,https://www.vmware.com/support/vsphere.html,about
VMware,https://www.vmware.com/company/contact.html,about
VMware,https://www.vmware.com/company/research.html,about
VMware,https://www.vmware.com/company/diversity.html,about
VMware,https://www.vmware.com/company/customers.html,about
VMware,https://www.vmware.com/company/leadership.html,about
VMware,https://www.vmware.com/company/innovation.html,about
VMware,https://www.vmware.com/company/foundation.html,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/news,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/events,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/careers,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/history,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/quality-policy,about
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/leadership-team,about
WestPoint Home,https://www.westpointhome.com/about-us.html,about
WestPoint Home,https://www.westpointhome.com/home-decor/decorative-pillows/ncaa-pillows-by-the-northwest-company.html,about
VIASAT INC.,https://www.viasat.com/about,about
DuPont Teijin Films U.S. Limited Partnership,https://usa.dupontteijinfilms.com/about/,about
DuPont Teijin Films U.S. Limited Partnership,https://usa.dupontteijinfilms.com/about/values/,about
DuPont Teijin Films U.S. Limited Partnership,https://usa.dupontteijinfilms.com/about/contact/,about
DuPont Teijin Films U.S. Limited Partnership,https://usa.dupontteijinfilms.com/about/history/,about
DuPont Teijin Films U.S. Limited Partnership,https://usa.dupontteijinfilms.com/about/employment/,about
Vaxiion Therapeutics,http://www.vaxiion.com/the-company.html,about
Vaxiion Therapeutics,http://www.vaxiion.com/executive-management.html,about
Silicon Space Technology Corp.,https://www.voragotech.com/executive-team,about
