firm_name,url,about_lbl,mgmt_lbl,partners_lbl,ip_lbl,about_agg_lbl,gid
3M Innovative Properties Company,https://www.3m.com/,,,,,0,1
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/3m-science-applied-to-life/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/about-3m/,1,,,,1,1
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/about-3m/state-of-science-index-survey/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/about-3m/technologies/,1,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/dmca-copyright-policy/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/help-center/,,,,,0,1
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/legal-information/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/partners-suppliers/,,,1,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/patent/,,,,1,0,1
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/privacy-policy/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/regulatory-information/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/SDS-search/,,,,,0,1
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/site-map/,,,,,0,1
3M Innovative Properties Company,https://www.3m.com/3M/en_US/company-us/transport-information-search/,,,,,,
3M Innovative Properties Company,https://www.3m.com/3M/en_US/home-improvement-us/,,,,,0,1
Abbott Molecular Inc.,https://www.molecular.abbott/us/en/about-us/contact,,,,,0,28
Abbott Molecular Inc.,https://www.molecular.abbott/us/en/about-us/who-we-are,1,,,,1,28
Abbott Molecular Inc.,https://www.molecular.abbott/us/en/home,,,,,,
Abbott Point of Care Inc.,https://www.pointofcare.abbott/us/en/about-us/benefits-of-point-of-care-testing,1,,,,0,29
Abbott Point of Care Inc.,https://www.pointofcare.abbott/us/en/about-us/careers,,,,,0,29
Abbott Point of Care Inc.,https://www.pointofcare.abbott/us/en/about-us/contact-us,,,,,0,29
Abbott Point of Care Inc.,https://www.pointofcare.abbott/us/en/about-us/locations,,,,,0,29
Abbott Point of Care Inc.,https://www.pointofcare.abbott/us/en/about-us/phone-numbers,,,,,0,29
Abbott Point of Care Inc.,https://www.pointofcare.abbott/us/en/home,,,,,,
ACACIA RESEARCH GROUP LLC,http://acaciaresearch.com/corporate-governance/,,1,,,1,4
ACACIA RESEARCH GROUP LLC,http://acaciaresearch.com/corporate-profile/,1,,,,1,4
ACACIA RESEARCH GROUP LLC,http://acaciaresearch.com/history/,1,,,,0,4
ACACIA RESEARCH GROUP LLC,https://acaciaresearch.com/,,,,,,
Adlens Beacon,https://adlens.com/,1,,,,1,38
Advanced Analogic Technologies,http://analogictech.com/,,,,,,
Advanced Analogic Technologies,http://analogictech.com/About.aspx,1,,,,1,41
Advanced Analogic Technologies,http://analogictech.com/AboutContact.aspx,,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/,,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/about-us/agfa-in-the-world/,,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/about-us/history/,1,,,,1,11
AGFA-GEVAERT N.V.,http://agfa.com/corporate/about-us/our-company/,1,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/about-us/our-company/company-film-meet-the-world-of-agfa/,,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/about-us/technology/,1,,,,1,11
AGFA-GEVAERT N.V.,http://agfa.com/corporate/contact/,,,,,0,11
AGFA-GEVAERT N.V.,http://agfa.com/corporate/investor-relations/faq-investors-contact/,,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/press/,,,,,0,11
AGFA-GEVAERT N.V.,http://agfa.com/corporate/privacy-and-legal-notice/,,,,,,
AGFA-GEVAERT N.V.,http://agfa.com/corporate/privacy-cookie-settings/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/,,,,,0,11
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/agfa-in-the-world/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/history/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/business-groups/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/company-film-meet-the-world-of-agfa/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/company-structure/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/manufacturing/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/mission/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/purchasing/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/safety-health-and-environment-she/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/safety-health-and-environment-she/cmr/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/safety-health-and-environment-she/environmental-policy/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/safety-health-and-environment-she/green-marketing/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/safety-health-and-environment-she/roles-responsibilities/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/our-company/safety-health-and-environment-she/sustainability-reports/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/technology/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/about-us/technology/ideas-and-proposals/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/contact/,,,,,0,11
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/faq/,,,,,0,11
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/agfa-share/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/analyst-consensus/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/analyst-coverage/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/bonds-exchange-offer/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/,1,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/audit-committee/,,1,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/board-of-directors/,,1,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/bylaws/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/corporate-governance-charter/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/executive-management/,,1,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/corporate-governance/nomination-and-remuneration-committee/,,1,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/faq-investors-contact/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/financial-calendar/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/investor-events/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/key-figures/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/mailing-lists-e-mail-alerts/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/reports-and-presentations/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/reports-and-presentations/annual-reports/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/reports-and-presentations/presentations-for-analysts-and-press/,,,,,,
AGFA-GEVAERT N.V.,https://www.agfa.com/corporate/investor-relations/reports-and-presentations/quarterly-results/,,,,,,
