firm_name,url,gid
ZENA TECHNOLOGIES,http://xena-technologies.com/about-us/,1129
Hitachi Metals,https://www.hitachimetals.com/corporate-information/news-releases.php,469
Nordic Technologies,http://nordic-technologies.com/about/,717
ZENA TECHNOLOGIES,http://xena-technologies.com/,1129
ZENA TECHNOLOGIES,http://xena-technologies.com/program-management/,1129
Hitachi Metals,https://www.hitachimetals.com/corporate-information/community-relations.php,469
Nordic Technologies,http://nordic-technologies.com/drinking-water/about-drinking-water/,717
iBio,https://ibioinc.com/index.php/client-collaboration-and-partnership,1140
iBio,https://ibioinc.com/index.php/company-background/management-team,1140
Hitachi Metals,https://www.hitachimetals.com/corporate-information/corporate-statement.php,469
Hitachi Metals,https://www.hitachimetals.com/corporate-information/hma-plants-subsidiaries.php,469
Hitachi Metals,https://www.hitachimetals.com/corporate-information/careers.php,469
Hitachi Metals,https://www.hitachimetals.com/corporate-information/payment-center.php,469
iBio,https://ibioinc.com/index.php/company-background/events,1140
iBio,https://ibioinc.com/index.php/company-background/disclaimer,1140
Adynxx,http://www.adynxx.com/news/alliqua-biomedical-inc-and-adynxx-inc-announce-merger-agreement-to-create-nasdaq-listed-clinical-stage-pharmaceutical-company-with-a-focus-on-pain-and-inflammation/,54
Adynxx,http://www.adynxx.com/company/,54
Nordic Technologies,http://nordic-technologies.com/partners/,717
iBio,https://ibioinc.com/index.php/company-background/privacy-statement,1140
iBio,https://ibioinc.com/index.php/company-background/company-background-2,1140
UWM Research Foundation,https://uwmrf.org/about/team/,1073
UWM Research Foundation,https://uwmrf.org/strategic-partnerships/,1073
UWM Research Foundation,https://uwmrf.org/about/,1073
iBio,https://ibioinc.com/index.php/company-background/lab2launch-newsletters,1140
ATTOSTAT,http://www.attostat.com/,29
iBio,https://ibioinc.com/index.php/company-background/board-of-directors,1140
UWM Research Foundation,https://uwmrf.org/category/partnerships/,1073
ATTOSTAT,http://www.attostat.com/about-us/,29
ATTOSTAT,http://www.attostat.com/about-us,29
ATTOSTAT,http://www.attostat.com/partnership/,29
ATTOSTAT,http://www.attostat.com/the-team/,29
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/about.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/servers/management.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/networking/management.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/solutions/partners.html,466
Unifrax I LLC,http://www.unifrax.com/about-us/,1076
Unifrax I LLC,http://www.unifrax.com/about-us/luyang-partnership/,1076
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/storage/management-automation.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/integrated-systems/software.html,466
JX Nippon Mining & Metals Corporation,http://www.nmm.jx-group.co.jp/english/company/chart.html,534
Commonwealth Scientific & Industrial Research Organization,https://www.csiro.au/en/About,245
JX Nippon Mining & Metals Corporation,http://www.nmm.jx-group.co.jp/english/company/data.html,534
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/about/jobs.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/about/diversity.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/about/legal/terms-of-use.html,466
Unifrax I LLC,http://www.unifrax.com/about-us/career-opportunities/,1076
Unifrax I LLC,http://www.unifrax.com/about-us/locations/,1076
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/about/accessibility-aging.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/solutions/cloud/hybrid-it-management.html,466
Hewlett Packard Enterprise Development LP,https://www.hpe.com/us/en/about/executive-briefing-centers.html,466
JX Nippon Mining & Metals Corporation,http://www.nmm.jx-group.co.jp/english/company/,534
Commonwealth Scientific & Industrial Research Organization,https://www.csiro.au/en/About/Access-to-information/Privacy,245
JX Nippon Mining & Metals Corporation,http://www.nmm.jx-group.co.jp/english/company/investor.html,534
Commonwealth Scientific & Industrial Research Organization,https://www.csiro.au/en/About/Footer/Accessibility,245
