id,organization,thes_types,hand_edited
0,"22nd Century Limited, LLC",Corporate,
1,"540 Grid Solutions, LLC",Corporate,
2,"ACell, Inc.",Corporate,
3,"ADMA Products, Inc.",Corporate,
4,"ADVANCED CERAMIC FIBERS, LLC",Corporate,
5,"AFMODEL, LLC.",Corporate,
6,"AG ENERGY SOLUTIONS, INC.",Corporate,
7,"AGC Flat Glass North America, Inc.",Corporate,
8,"AIR PRODUCTS AND CHEMICALS, INC.",Corporate,
9,"ALF OPERATING PARTNERS, LTD.",Corporate,
10,"ALGETERNAL TECHNOLOGIES, LLC",Corporate,
11,"AMO Wavefront Sciences, LLC",Corporate,
12,"AMPT, LLC",Corporate,
13,"API Intellectual Property Holdings, LLC",Corporate,
14,"APPLIED STEMCELL, INC.",Corporate,
15,"APPLIED SUNSHINE, LLC",Corporate,
16,"ARBOR THERAPEUTICS, LLC",Corporate,
17,"AROG PHARMACEUTICALS, INC.",Corporate,
18,"ASCENT SOLAR TECHNOLOGIES, INC.",Corporate,
19,"ASM America, Inc.",Corporate,
20,"ASTUTE MEDICAL, INC.",Corporate,
21,"ATC Technologies, LLC",Corporate,
22,"ATTOSTAT, INC.",Corporate,
23,"AVI BioPharma, Inc.",Corporate,
24,"AVOGY, INC.",Corporate,
25,"Aadigen, LLC",Corporate,
26,"Abengoa Bioenergy New Technologies, LLC.",Corporate,
27,"Ablexis, LLC",Corporate,
28,"Abraxis Bioscience, LLC",Corporate,
29,"Accuri Cytometers, Inc.",Corporate,
30,"Acorn Technologies, Inc.",Corporate,
31,"Adhesives Research, Inc.",Corporate,
32,"Adlens Beacon, Inc.",Corporate,
33,"Adtran, Inc.",Corporate,
34,"Advanced Analogic Technologies, Inc.",Corporate,
35,"Advanced Cardiovascular Systems, Inc.",Corporate,
36,"Advanced Cell Technology, Inc.",Corporate,
37,"Advanced Fusion Technologies, Inc.",Corporate,
38,"Advanced Silicon Group, Inc.",Corporate,
39,"Advanced Technology Materials, Inc.",Corporate,
40,"Advanced Water Technology, Inc.",Corporate,
