SNS NANO FIBER TECHNOLOGY, LLC
SOL-ELECTRICA, LLC
SOLARTONIC, LLC
SOLAZYME, INC.
SPC International, LLC
SPICE SOLAR, INC.
SRG Global, Inc.
STANDARD ALCOHOL COMPANY OF AMERICA, INC.
STATS ChipPAC, Ltd.
SUMITOMO WIRING SYSTEMS, LTD.
Saint-Gobain Adfors Canada, Ltd
Saint-Gobain Ceramics & Plastics, Inc.
Samsung Corning Precision Materials Co., Ltd
Samsung Electro-Mechanics Co., Ltd.
Samsung Electronics Co., Ltd.
Samsung Electronics, Cp. Ltd.
Samsung SDI Co., Ltd.
Sangamo BioSciences, Inc.
Sanken Electric Co., Ltd.
Sanyo Electric Co., Ltd.
Sarepta Therapeutics, Inc.
Schneider Electric Solar Inverters USA, Inc.
Schneider Electric USA, Inc.
Scientific Design Company, Inc.
SeQual Technologies, Inc.
Selecta Biosciences, Inc.
Selkermetrics, LLC
Semiconductor Components Industries, L.L.C.
Semiconductor Energy Laboratory Co., Ltd.
Semprius, Inc.
Senaya, Inc.
Senga Advisors, LLC
Sensor Electronic Technology, Inc.
Sequenom, Inc.
ServiceNow, Inc.
Sharp Laboratories of America, Inc.
Shenzhen China Star Optoelectronics Technology Co., Ltd
Shin-Etsu Chemical Co., Ltd.
Shoals Technologies Group, LLC
Shubin, Inc.
Siemens Energy, Inc.
Siemens Industry, Inc.
Siemens Medical Solutions USA, Inc.
Sienna Biopharmaceuticals, Inc.
Sienna Labs, Inc.
Sierra Sciences, LLC
Sigmatel, Inc.
Sila Nanotechnologies, Inc.
Silicon Storage Technology, Inc.
Siliconware Precision Industries Co., Ltd.
Siluria Technologies, Inc.
Sima Therapeutics, Inc.
Simple Approach Systems, Inc.
Sinewatts, Inc.
Singular Bio, Inc.
Singulex, Inc.
Sinton Consulting, Inc.
Sirnaomics, Inc.
SixPoint Materials, Inc.
Skidmore, Owings & Merrill LLP
Smart Planet Technologies, Inc.
Smith & Nephew, Inc.
Solan, LLC
SolarReserve Technology, LLC
Solarmer Energy, Inc.
Solexa, Inc.
Solight Solar, Inc.
Solvay Specialty Polymers USA, LLC
SonoGene, L.L.C.
Sophoro Biotechnologies, LLC
Soraa Laser Diode, Inc.
Soraa, Inc.
St. Jude Medical, Inc.
Stablcor Technology, Inc.
Stanley Electric Co., Ltd.
Star Technology and Research, Inc.
Stratasys, Inc.
Strategic Solar Energy, LLC
Suganit Systems, Inc.
Sumitomo Electric Device Innovations, Inc.
Sumitomo Electric Industries, Ltd.
Sumitomo Rubber Industries, Ltd. 
SunEdison, Inc.
SunRun, Inc.
Suncore Photovoltaics, Incorporated
Sundrop Fuels, Inc.
Sustainable Technologies, LLC
Sweetwater Energy, Inc.
Swift Engineering, Inc.
Synaptic Research, LLC
Synopsys, Inc.
Synthetic Genomics, Inc.
Synthezyme, LLC
System Biosciences, LLC
T.H.E.M., Inc.
TECHNOLOGY RESEARCH, LLC
TECNIUM, LLC
THE BOARD INSTITUTE, INC.
THE SWEET LIVING GROUP, LLC
TOMOWAVE LABORATORIES, INC.
