ACACIA RESEARCH GROUP LLC,acaciaresearch.com/
Ticona LLC,celanese.com/engineered-materials.aspx
Senga Advisors,coengadvisors.com/
CyboEnergy,cyboenergy.com/
EMD Technologies Inc.,emd-technologies.com/
Energen,energen.com/
Ferro Corporation,ferro.com/
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/
Gilead Connecticut,gileadcs.org/
Glucan Biorenewables LLC,glucanbio.com/
GOAL ZERO LLC,goalzero.com/
King Electric Vehicles Inc.,https://king-electric.com/
NanoOncology,iinano.org/nanooncology
Immunolight,immunolight.com/
Iogen Corporation,iogen.ca/
Kinetech Power Company LLC,kinetechpower.com/
KR Design House,krdesignhouse.com/
Livetv,livetv.sx/enx/
Matrix Genetics,lumenbioscience.com/
Lux Bio Group,luxbiogroup.com/
Magnolia Solar,magnoliasolar.com/
Magnolia Solar,magnoliasolar.com/
Mattson Technology,mattson.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
Micro Cooling Concepts,microcoolingconcepts.com/
NanoGram Corporation,nanogram.com
Newdoll Enterprises LLC,newholdllc.com/
U.S. NUTRACEUTICALS,nutraceutical.com/
The Paymaster Corporation,paymaster.com/
Pharmatrophix,pharmatrophix.com/
Plant Sensory Systems,plantsensorysystems.com/
PortaFire,port-a-fire.ca/
Samsung SDI Co.,samsungsdi.com/
Sinton Consulting,sintoninstruments.com/
SOL-ELECTRICA,sol-electrica.com/
SOLENA FUELS CORPORATION,solenafuels.com/
Soliton Lasers,soliton.com/
S&S X-Ray Products,ssxray.com/
Starsource Scientific LLC,starsource.com/about/?41.html
Sun Synchrony,sunsynchrony.com/
Integrated Solar Technology,suntegrasolar.com/
True-Safe Technologies,true-safe.com/
VERLASE TECHNOLOGIES LLC,verlase.com/
Wave Energy Conversion Corporation of America,weccamerica.com/
Terra Caloric,wellconnectgeo.com/
Crystal Solar Inc.,xtalsolar.com/
Crystal Solar Incorporated,xtalsolar.com/
Ablexis,ablexis.com/
SII Semiconductor Corporation,ablic.com/en/semicon/
Alliance for Sustainable Energy,allianceforsustainableenergy.org/
Arkival Technology Corp.,arkival.com/
Astech,astech.com/
Coactive Drive Corporation,coactivehs.com/team/
Ford Global Technologies,corporate.ford.com/innovation.html
ENI Technology,eni.com/en_IT/innovation.page
FRONT EDGE TECHNOLOGY INC.,frontedgetechnology.com/
Bi-Modal Corporation,gartner.com/it-glossary/bimodal
Genesco Inc.,genescopartners.com/
GROW ENERGY,growenergy.org/
HM3 Energy,hm3energy.com/
HTS,htstechnologies.com/
Intel Corporation,intel.com/content/us/en/homepage.html
Linne Industries LLC,linneindustries.com/
Gestion Ultra International Inc.,luminultra.com/
MicroContinuum,microcontinuum.com/
Nanoquantum Sciences,nanoquantum.com/
Neural Signals,neuralsignals.com/
New Technology Ventures,newtechvc.com/
Neutronic Perpetual Innovations,npimobile.com/
OAS Design Group,oasdesigngroup.com/
Sanyo Electric Co.,panasonic.com/global/corporate/profile/group-companies/sanyo.html
Foret Plasma Labs,plasmawhirl.com/
RenovaCare Sciences Corp.,renovacareinc.com/contact/
Surebeam Corporation,smebeam.com/
SOLARTONIC,solartonic.com/
Sumitomo Rubber Industries,sumitomorubber-usa.com/
Simbol Inc.,symbols.com/
T.H.E.M.,them.net/
Disney Enterprises,thewaltdisneycompany.com/
Thorn Bioscience LLC,thornbioscience.com/
Total Marketing Services,total.com/en
TP Solar,tpsolar.nl/?lang=en
UVIC INDUSTRY PARTNERSHIPS INC.,uvic.ca/research/partner/index.php
VINDICO NANOBIO TECHNOLOGY INC.,vindicoat.com/
Silicon Space Technology Corp.,voragotech.com/
Wostec,westec.org/
Building Envelope Innovations,wet-flash.com/
ADMA Products,admaproducts.com/#!
Adynxx,adynxx.com/
Annam Biosciences,annambiosciences.com/
Atleisure LLC,atleisure.com/
Brother International Corporation,brother-usa.com/
Cooper Technologies Company,coopertechnologies.net/
Enginuity Worldwide,enginuityww.webstarts.com/
Gracenote,gracenote.com/
Graphene Technologies,graphenetechnologies.com/
Green Extraction Technologies,greenextractiontechnologiesllc.com/
Hunt Energy Enterprises LLC,huntenergyenterprises.com/
JOLED Inc.,j-oled.com/
J. E. WHITE,jewhites.com.au/
