adidas AG,adidas.com/us/
Amgen Inc.,amgen.com/
APPLIED MATERIALS ISRAEL LTD.,appliedmaterials.com/
BASF SE,basf.com/
BASF,basf.com/
BASF Corporation ,basf.com/
Battelle Energy Alliance,battelle.org/laboratory-management
Baxter International Inc.,baxter.com/
BlackBerry Limited,blackberry.com/
Celanese International Corporation,celanese.com/
Christie Digital Systems,christiedigital.com/en-us/
CP KELCO APS,cpkelco.com/
Cypress Semiconductor Corp.,cypress.com/
Rohm and Haas Company,dow.com/en-us
Dow Technology Investments LLC,dow.com/en-us
Dow Global Technologies Inc.,dow.com/en-us
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
Nalco Company,ecolab.com/nalco-water
Evoqua Water Technologies LLC,evoqua.com/
Texas Instruments Deutschland GmbH,ti.com/
Infineon Technologies AG,infineon.com/
Intel Corporation,intel.com/
Kemira OY,kemira.com/
Novellus Systems,lamresearch.com/
Lam Research Corporation,lamresearch.com/
Los Alamos National Security,lansllc.com/
Lawrence Livermore National Security,llnsllc.com/
Medgenics Medical Israel Ltd.,medgenics.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
Microchip Technology Incorporated,microchip.com/
Momentive Performance Materials GmbH,momentive.com/en-US/
ABB Technology Ltd.,new.abb.com/about/technology
Novozymes Inc.,novozymes.com/
Novozymes North America,novozymes.com/en/north-america
NXP USA,nxp.com/
Oki Data Corporation,oki.com/us/printing/
OTSUKA PHARMACEUTICAL CO.,otsuka.co.jp/en/
PACCAR Inc,paccar.com/
Parker-Hannifin Corporation,parker.com/
The Procter & Gamble Company,pg.com/
Raytheon BBN Technologies Corp.,raytheon.com/ourcompany/bbn
Rolls-Royce North American Technologies,rolls-royce.com/country-sites/northamerica.aspx
SanDisk 3D LLC,sandisk.com/home/ssd/ultra-3d-ssd
S.C. Johnson & Son,scjohnson.com/
Sony Interactive Entertainment America LLC,sie.com/en/index.html
Siemens Aktiengesellschaft ,siemens.com/global/en/home.html
Siemens Energy,siemens.com/global/en/home/products/energy.html
SK Telecom Co.,sktelecom.com/index.html
STMicroelectronics S.A.,st.com/content/st_com/en.html
St. Microelectronics Inc.,st.com/content/st_com/en.html
Sunrun South LLC,sunrun.com/
Thermo Fisher Scientific Inc.,thermofisher.com/us/en/home.html
Thorlabs,thorlabs.com/
Texas Instruments Incorporated,ti.com/
Kao Corporation,us.army.mil/
Carl Zeiss Microscopy GmbH,zeiss.com/microscopy/int/home.html
