adidas AG,adidas.com/us/
BASF,basf.com/
BASF Corporation ,basf.com/
BlackBerry Limited,blackberry.com/
CP KELCO APS,cpkelco.com/
Cypress Semiconductor Corp.,cypress.com/
Dow Technology Investments LLC,dow.com/en-us
Dow Global Technologies Inc.,dow.com/en-us
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
Evoqua Water Technologies LLC,evoqua.com/
Texas Instruments Deutschland GmbH,ti.com/
Infineon Technologies AG,infineon.com/
Kemira OY,kemira.com/
Lam Research Corporation,lamresearch.com/
Los Alamos National Security,lansllc.com/
Lawrence Livermore National Security,llnsllc.com/
Medgenics Medical Israel Ltd.,medgenics.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
ABB Technology Ltd.,new.abb.com/about/technology
Novozymes North America,novozymes.com/en/north-america
Parker-Hannifin Corporation,parker.com/
The Procter & Gamble Company,pg.com/
Sony Interactive Entertainment America LLC,sie.com/en/index.html
Siemens Energy,siemens.com/global/en/home/products/energy.html
SK Telecom Co.,sktelecom.com/index.html
St. Microelectronics Inc.,st.com/content/st_com/en.html
Texas Instruments Incorporated,ti.com/
