Dialight Corporation,dialight.com/
Dolby Laboratories Licensing Corporation,dolby.com/us/en/professional/licensing.html
Domtar Paper Company,domtar.com/en
Rohm and Haas Chemicals LLC,dow.com/en-us
Rohm and Haas Company,dow.com/en-us
Dow Technology Investments LLC,dow.com/en-us
Dow Global Technologies Inc.,dow.com/en-us
Dow Corning Corporation,dow.com/en-us/dow-corning-integration
Dresser-Rand Company,dresser-rand.com/
Dr. Reddy's Laboratories Ltd.,drreddys.com/
DSP Group LTD.,dspg.com/
E. I. du Pont de Nemours and Company duPont Displays Inc,dupont.com/
Eastman Chemical Company,eastman.com/Pages/Home.aspx
Eaton Corporation,eaton.com/us/en-us.html
EchoStar Technologies LLC,echostar.com/
Ecolab Inc.,ecolab.com/
Nalco Company,ecolab.com/nalco-water
E Ink Corporation,eink.com/
Eisai Co.,eisai.com/index.html
Electrix,electrixillumination.com/
EMC Corporation,emcins.com/
Entegris,entegris.com/
Evernote Corporation,evernote.com/
Evoqua Water Technologies LLC,evoqua.com/
Federal Signal Corporation,federalsignal.com/
FEI Company,fei.com/careers/
Finisar Corporation,finisar.com/
First Solar,firstsolar.com/
FLIR Systems,flir.com/
Fluidigm Corporation,fluidigm.com/
Fujitsu Limited,fujitsu.com/global/
Fuji Xerox Co.,fujixerox.com/eng
GCP Applied Technologies Inc.,gcpat.com/en
GENERAL ELECTRIC COMPANY,ge.com/
GE Healthcare Limited,gehealthcare.com/
Genentech,gene.com/
Genomic Health,genomichealth.com/
Gilead Sciences,gilead.com/
Sumitomo Electric Industries,global-sei.com/
Global Eagle Entertainment Inc.,globaleagle.com/
GLOBALFOUNDRIES Inc.,globalfoundries.com/
Globus Medical,globusmedical.com/
GENERAL MOTORS LLC,gm.com/
GOJO Industries,gojo.com/
The Goodyear Tire & Rubber Company,goodyear.com/
GENCO SCIENCES LLC,gpen.com/
Gtech Corporation,gtech.co.uk/
Guardian Industries,guardian.com/en/index.html
SunEdison Semiconductor Limited,gw-semi.com/
HARMAN INTERNATIONAL INDUSTRIES,harman.com/
H R D CORPORATION,haywardrec.org/
Heidelberger Druckmaschinen AG,heidelberg.com/
Henkel AG & Co. KGaA,henkel.com/
Heraeus Precious Metals North America Conshohocken LLC,heraeus.com/us/group/home/home.aspx
HGST NETHERLANDS B.V.,hgst.com/
Hitachi High-Technologies Corporation,hitachi-hightech.com/global/
Hitachi,hitachi.com/
The Henry M. Jackson Foundation for the Advancement of Military Medicine,hjf.org/
GEN-PROBE INCORPORATED,hologic.com/
Honda Motor Co.,honda.com/
Honeywell International Inc.,honeywell.com/
Hoya Corporation,hoyavision.com/
Hewlett Packard Enterprise Development LP,hpe.com/us/en/home.html
Texas Instruments Deutschland GmbH,http://www.ti.com/
International Business Machines Corporation,ibm.com/us-en/
Integrated Device Technology,idt.com/
Integrated DNA Technologies,idtdna.com/
II-VI Incorporated,ii-vi.com/
IMEC,imec.org/
American Air Liquide,industry.airliquide.us/
Infineon Technologies Americas Corp.,infineon.com/
Infineon Technologies AG,infineon.com/
Infinera Corporation,infinera.com/
Innolux Corporation,innolux.com/Pages/EN/Index_EN.html
Instron Corporation ,instron.us/en-us?region=North%20America
Greatbatch Ltd.,integer.net/
Intel Corporation,intel.com/content/us/en/homepage.html
Intuitive Surgical Operations,intuitive.com/
Invensas Corporation,invensas.com/
INVISTA North America S.a.r.l.,invista.com/
Isis Pharmaceuticals,ionispharma.com/
Quest Diagnostics Investments Incorporated,ir.questdiagnostics.com/
Illinois Tool Works,itw.com/
Ivoclar Vivadent AG,ivoclarvivadent.com/
JAC Products Inc.,jacproducts.com/
Janssen Biotech,janssen.com/
Johnson & Johnson Vision Care,jjvision.com/
Johns Manville,jm.com/
Johnson & Johnson Consumer Companies,jnj.com/healthcare-products/consumer
Johnson Controls Technology Company,johnsoncontrols.com/about-us/our-company
Kemira OY,kemira.com/
Kia Motors Corporation ,kia.com/us/en/home
Fenwal,kidde-fenwal.com/
KLA-Tencor Corporation,kla-tencor.com/
Eastman Kodak Company,kodak.com/us/en/corp/default.htm
Kodak Alaris Inc.,kodakalaris.com/
Lake Lite,lakelite.com/
Novellus Systems,lamresearch.com/
Lam Research Corporation,lamresearch.com/
Los Alamos National Security,lansllc.com/
