Lattice Semiconductor Corporation,latticesemi.com/
DRS Network & Imaging Systems,leonardodrs.com/
LG Electronics Inc.,lg.com/us
LG Display Co.,lgdisplay.com/eng/main
LGS Innovations LLC,lgsinnovations.com/
LifeNet Health,lifenethealth.org/
Cyberonics,livanova.cyberonics.com/
Lawrence Livermore National Security,llnsllc.com/
Lockheed Martin Corporation,lockheedmartin.com/en-us/index.html
Lumentum Operations LLC,lumentum.com/en
MATERIALS ANALYSIS TECHNOLOGY (US) CORP.,ma-tek.com/about_us.php?act=rd
Macronix International Co.,macronix.com/en-us/Pages/default.aspx
Magna International Inc.,magna.com/
MAHLE International GmbH,mahle.com/
Markel Corporation,markelcorp.com/
Masimo Semiconductor,masimosemiconductor.com/masimo-semiconductor/
Johnson Matthey PLC,matthey.com/
Maxim Integrated Products,maximintegrated.com/en.html
MAXLINEAR,maxlinear.com/
MONTEREY RESEARCH,mbari.org/
Medgenics Medical Israel Ltd.,medgenics.com/
Mediatek Inc.,mediatek.com/
MERCK SHARP & DOHME CORP.,merck.com/index.html
Meso Scale Technologies,mesoscale.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
Microchip Technology Incorporated,microchip.com/
Micron Technology,micron.com/
Microsemi SoC Corporation,microsemi.com/
Milliken & Company,milliken.com/
Mitsubishi Electric Corporation,mitsubishielectric.com/
Momentive Performance Materials GmbH,momentive.com/en-US/
Momentive Performance Materials Inc.,momentive.com/en-US/
Monsanto Technology LLC,monsanto.com/products/product-stewardship/technology-use-guides/
Murata Manufacturing Co.,murata.com/
Musco Corporation,musco.com/
Nationwide Children's Hospital,nationwidechildrens.org/
NEC Corporation,nec.com/
NeoPhotonics Corporation,neophotonics.com/
NetApp,netapp.com/us/index.aspx
ABB Research Ltd.,new.abb.com
ABB Technology Ltd.,new.abb.com/about/technology
Nikon Corporation,nikon.com/
Nissan Motor Co.,nissan-global.com/EN/
Nissan North America,nissanusa.com/about/corporate-information.html
Nokia Corporation,nokia.com/
Nordson Corporation,nordson.com/
Northrop Grumman Systems Corporation,northropgrumman.com/
NCC Nano,novacentrix.com/
NOVA Chemicals (International) S.A.,novachem.com/pages/home.aspx
Novartis AG,novartis.com/
Novozymes A/S,novozymes.com/
Novozymes Inc.,novozymes.com/
Novozymes North America,novozymes.com/en/north-america
GE-Hitachi Nuclear Energy Americas LLC,nuclear.gepower.com/
Pentair Thermal Management LLC,nventthermal.com/
Nvidia Corporation,nvidia.com/page/home.html
Freescale Semiconductor,nxp.com/
NXP USA,nxp.com/
O.B.I. Inc.,obi.org/
Oculus VR,oculus.com/
OFS Fitel,ofsoptics.com/
Oki Data Corporation,oki.com/us/printing/
Olympus NDT,olympus-ims.com/en/
Omron Corporation,omron.com/
Fairchild Semiconductor Corporation,onsemi.com/
Ormat Technologies Inc.,ormat.com/en/home/a/main/
Ortho-Clinical Diagnostics,orthoclinicaldiagnostics.com/
OTSUKA PHARMACEUTICAL CO.,otsuka.co.jp/en/
OmniVision Technologies,ovt.com/
PACCAR Inc,paccar.com/
Parker-Hannifin Corporation,parker.com/
Pegatron Corporation,pegatroncorp.com/
Pfizer Inc.,pfizer.com/
The Procter & Gamble Company,pg.com/
UOP LLC,phoenix.edu/
Karsten Manufacturing Corporation,ping.com/
Pixar,pixar.com/
Saint-Gobain Performance Plastics Corporation,plastics.saint-gobain.com/
POET Research,poet.com/scotland
PolyOne Corporation,polyone.com/
Power Integrations,power.com/
PQ CORPORATION,pqcorp.com/
PTC Therapeutics,ptcbio.com/
Qiagen GmbH,qiagen.com/us/
RF Micro Devices,qorvo.com/
QUALCOMM Incorporated,qualcomm.com/
Dell Software Inc.,quest.com
Raytheon Company,raytheon.com/
Raytheon BBN Technologies Corp.,raytheon.com/ourcompany/bbn
Red Hat,redhat.com/en
Regeneron Pharmaceuticals,regeneron.com/
Renesas Electronics Corporation,renesas.com/en-us/
RES USA,res-usa.com/
Riverbed Technology,riverbed.com/
R.J. Reynolds Tobacco Company,rjrt.com/
Roche Molecular Systems,roche.com/
Rockwell Collins,rockwellcollins.com/
Rolls-Royce PLC,rolls-royce.com/
Rolls-Royce North American Technologies,rolls-royce.com/country-sites/northamerica.aspx
SABIC GLOBAL TECHNOLOGIES B.V.,sabic.com/en
