Lawrence Livermore National Security,llnsllc.com/
Medgenics Medical Israel Ltd.,medgenics.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
Microchip Technology Incorporated,microchip.com/
Momentive Performance Materials GmbH,momentive.com/en-US/
ABB Technology Ltd.,new.abb.com/about/technology
Novozymes Inc.,novozymes.com/
Novozymes North America,novozymes.com/en/north-america
NXP USA,nxp.com/
Oki Data Corporation,oki.com/us/printing/
OTSUKA PHARMACEUTICAL CO.,otsuka.co.jp/en/
PACCAR Inc,paccar.com/
Parker-Hannifin Corporation,parker.com/
The Procter & Gamble Company,pg.com/
Raytheon BBN Technologies Corp.,raytheon.com/ourcompany/bbn
Rolls-Royce North American Technologies,rolls-royce.com/country-sites/northamerica.aspx
