SAINT-GOBAIN ABRASIFS,saint-gobain-abrasives.com/en-us
Samsung Electronics,samsung.com/us/
Sandia Corporation,sandia.gov
SanDisk Technologies LLC,sandisk.com/
SanDisk 3D LLC,sandisk.com/home/ssd/ultra-3d-ssd
Sanofi,sanofi.com/en/
Genzyme Corporation,sanofigenzyme.com/
S. C. Johnson & Son,scjohnson.com/
S.C. Johnson & Son,scjohnson.com/
Seagate Technology LLC,seagate.com/
Sumitomo Electric Device Innovations,sedi.co.jp/?version=en
ServiceNow,servicenow.com/
Shell Oil Company,shell.us/
BAXALTA INCORPORATED,shire.com/
Pansonic Corporation,shop.panasonic.com/
Sick AG,sick.com/de/en/
SICPA Holding SA,sicpa.com/
Sony Interactive Entertainment America LLC,sie.com/en/index.html
Siemens Corporation,siemens.com/global/en/home.html
Siemens Aktiengesellschaft ,siemens.com/global/en/home.html
Siemens Energy,siemens.com/global/en/home/products/energy.html
Sigma-Aldrich Co. LLC,sigmaaldrich.com/
Bluestar Silicones France,silicones.elkem.com/
St. Jude Medical,sjm.com/
SK Telecom Co.,sktelecom.com/index.html
Smith & Nephew,smith-nephew.com/
Solvay Specialty Polymers USA,solvay.com/en
Sony Corporation,sony.com/
Siliconware Precision Industries Co.,spil.com.tw/
SRG Global,srgglobal.com/
Silicon Storage Technology,sst.com/
STMicroelectronics Limited,st.com/content/st_com/en.html
STMicroelectronics S.A.,st.com/content/st_com/en.html
St. Microelectronics Inc.,st.com/content/st_com/en.html
Star Technology and Research,star-tech-inc.com/
Stora Enso Oyj,storaenso.com/
Stratasys,stratasys.com/
Sun Chemical Corporation,sunchemical.com/
SunEdison,sunedison.com/
SunRun,sunrun.com/
Sunrun South LLC,sunrun.com/
Southwest Research Institute,swri.org/
SUMITOMO WIRING SYSTEMS,sws.co.jp/en/
Osram Sylvania Inc.,sylvania.com/
Symantec Corporation,symantec.com/
Syngenta Participations AG,syngenta.com/
SYNTHOMER USA LLC,synthomer.com/
Takeda Pharmaceutical Company Limited,takeda.com/
TMC Corporation,tcm.com/
Tata Consultancy Services Limited,tcs.com/
Tyco Electronics Corporation,te.com/usa-en/home.html
TEKNOR APEX COMPANY,teknorapex.com/
Tokyo Electron Limited,tel.com/
Teradata US,teradata.com/About-Us
Thermo Finnigan,thermofisher.com/us/en/home.html
Thermo Fisher Scientific Inc.,thermofisher.com/us/en/home.html
Thorlabs Quantum Electronics,thorlabs.com/
Thorlabs,thorlabs.com/
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH,thyssenkrupp.com/en/
Texas Instruments Incorporated,ti.com/
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,tno.nl/en/
Toray Industries Inc. ,toray.com/
Toyota Motor Engineering & Manufacturing North America,toyota.com/usa/careers/index.html
Transitions Optical,transitions.com/en-us/
TRIDONIC GMBH & CO KG,tridonic.com/com/en/
UCB Pharma S.A.,ucb.com/
UChicago Argonne,uchicagoargonnellc.org/
United Microelectronics Corp.,umc.com/
Kao Corporation,us.army.mil/
Siemens Medical Solutions USA,usa.healthcare.siemens.com/
UT-Battelle,ut-battelle.org/
United Technologies Corporation,utc.com/
Hamilton Sundstrand Corporation,utcaerospacesystems.com/
Abbott Cardiovascular Systems Inc.,vascular.abbott/us/homepage.html
Veracode,veracode.com/
VIASAT INC.,viasat.com/
WAFERTECH,wafertech.com/en/careers/
Watlow Electric Manufacturing Company,watlow.com/
Winbond Electronics Corp.,winbond.com/
Hewlett-Packard Development Company,www8.hp.com/us/en/home.html
22nd Century Limited,xxiicentury.com/
Yamaha Corporation,yamaha-motor.com/
Carl Zeiss Meditec AG,zeiss.com/meditec-ag/home.html
Carl Zeiss Microscopy GmbH,zeiss.com/microscopy/int/home.html
Zeno Semiconductor Inc,zenosemi.com/
Zoetis Services LLC,zoetis.com/products-services/
