firm name,link,acquired_merged,public
22nd Century Limited,http://www.xxiicentury.com/,0,0
540 Grid Solutions,http://www.hoovers.com/company-information/cs/company-profile.540_grid_solutions_llc.45f2598e96adc338.html,0,0
ACell,https://acell.com/,0,0
ADMA Products,https://www.admaproducts.com/#!,0,0
ADVANCED CERAMIC FIBERS,http://www.acfibers.com/index.html,0,0
AFMODEL,https://techsupport.osisoft.com/Documentation/PI-AF-SDK/html/T_OSIsoft_AF_Modeling_AFModel.htm,0,0
AG ENERGY SOLUTIONS,https://ag.energy/,0,0
AGC Flat Glass North America,https://www.agcglass.com/,0,0
AIR PRODUCTS AND CHEMICALS,http://www.airproducts.com/,0,0
ALF OPERATING PARTNERS,https://www.corporationwiki.com/Texas/Keller/alf-operating-partners-ltd/35106093.aspx,0,0
ALGETERNAL TECHNOLOGIES,https://algeternal.com/,0,0
AMO Wavefront Sciences,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=31160981,0,0
AMPT,http://www.ampt.com/,0,0
API Intellectual Property Holdings,https://www.georgia-register.com/14114007-api-intellectual-property-holdings-llc,0,0
APPLIED STEMCELL,https://www.appliedstemcell.com/,0,0
APPLIED SUNSHINE,https://www.enfsolar.com/directory/installer/29779/applied-sunshine,0,0
ARBOR THERAPEUTICS,http://arborpharma.com/,0,0
AROG PHARMACEUTICALS,https://www.arogpharmaceuticals.com/,0,0
ASCENT SOLAR TECHNOLOGIES,http://www.ascentsolar.com/,0,0
ASM America,http://www.asm.com/,0,0
ASTUTE MEDICAL,http://www.astutemedical.com/,0,0
ATC Technologies,http://atctechnologiesinc.com/,0,0
ATTOSTAT,http://www.attostat.com/,0,0
AVI BioPharma,https://www.sarepta.com/,0,0
AVOGY,https://nexgenpowersystems.com/,0,0
Aadigen,https://www.corporationwiki.com/California/Pacific-Palisades/aadigen-llc/108006842.aspx,0,0
Abengoa Bioenergy New Technologies,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=27441328,0,0
Ablexis,http://www.ablexis.com/,0,0
Abraxis Bioscience,https://www.celgene.com/,0,0
Accuri Cytometers,http://www.bdbiosciences.com/us/instruments/research/cell-analyzers/bd-accuri-c6/m/1294932,0,0
Acorn Technologies,http://acorntech.com/,0,0
Adhesives Research,http://www.adhesivesresearch.com/,0,0
Adlens Beacon,https://adlens.com/,0,0
Adtran,http://www.adtran.com/,0,0
Advanced Analogic Technologies,http://www.analogictech.com/,0,0
Advanced Cardiovascular Systems,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=24347,0,0
Advanced Cell Technology,https://www.astellas.us/therapeutic/rnd/airm.aspx,0,0
Advanced Fusion Technologies,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=311619845,0,0
Advanced Silicon Group,http://www.advancedsilicongroup.com/,0,0
Advanced Technology Materials,https://www.advanced-materials-tech.com/,0,0
Advanced Water Technology,https://www.advancedwatertechnology.com/,0,0
Adynxx,http://www.adynxx.com/,0,0
Aerogen,https://www.aerogen.com/,0,0
Agena Bioscience,http://agenabio.com/,0,0
Agienic,http://www.agienic.com/,0,0
Agilent Technologies,https://www.agilent.com/,0,0
Agrigenetics,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=6479307,0,0
Agrivida,http://agrivida.com/,0,0
Ajinomoto Althea,https://ajibio-pharma.com/,0,0
Akron Polymer Systems,http://akronpolysys.com/,0,0
Alcon Research,https://www.alcon.com/,0,0
Alcotek,https://alcotek.com/,0,0
Alencon Acquisition Co.,http://alenconsystems.com/,0,0
Alexion Pharmaceuticals,http://alexion.com/,0,0
All Power Labs,http://www.allpowerlabs.com/,0,0
Allertein Therapeutics,https://www.allergytherapeutics.com/,0,0
Alliance for Sustainable Energy,http://www.allianceforsustainableenergy.org/,0,0
Allison Transmission,https://allisontransmission.com/,0,0
Alnylam Pharmaceuticals,http://www.alnylam.com/,0,0
AltaRock Energy,http://altarockenergy.com/,0,0
Altivera,https://altabira.com/,0,0
Amazon Technologies,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=25997991,0,0
Ambature,http://ambature.com/,0,0
American Air Liquide,https://industry.airliquide.us/,0,0
American Piledriving Equipment,http://www.apevibro.com/,0,0
Amicus Therapeutics,https://www.amicusrx.com/,0,0
Amkor Technology,https://amkor.com/,0,0
Ampio Pharmaceuticals,https://ampiopharma.com/,0,0
Amprius,http://amprius.com/,0,0
Amtech Systems,http://www.amtechsystems.com/,0,0
Analog Devices,http://www.analog.com/en/index.html,0,0
Angaza Design,https://www.angaza.com/,0,0
Angiotech Pharmaceuticals (US),http://angiotech.com/,0,0
Annam Biosciences,http://annambiosciences.com/,0,0
Ansun Biopharma,http://www.ansunbiopharma.com/,0,0
Anterios,https://www.allergan.com/news/news/thomson-reuters/allergan-acquires-medical-dermatology-and-aestheti,0,0
Applied Biosystems,https://www.thermofisher.com/us/en/home/brands/applied-biosystems.html,0,0
Applied Materials,http://www.appliedmaterials.com/,0,0
Applied Membrane Technologies,http://appliedmembranetech.com/,0,0
Applied NanoStructured Solutions,https://www.linkedin.com/company/applied-nanostructured-solutions-llc,0,0
Applied Nanostructures,http://www.appnano.com/,0,0
Applied Optoelectronics,http://ao-inc.com/,0,0
Arch Biosurgery,http://ir.archtherapeutics.com/faq,0,0
Arcturus Therapeutics,https://arcturusrx.com/,0,0
Areesys Technologies,http://arvensystech.com/,0,0
Arisaph Pharmaceuticals,https://www.massbio.org/member/arisaph-pharmaceuticals-inc-44348,0,0
Arpin Renewable Energy,https://www.arpingroup.com/,0,0
Arrowhead Center,http://arrowheadcenter.nmsu.edu/,0,0
Aseptia,https://www.inc.com/profile/aseptia,0,0
