firm name,link,acquired_merged,public
Avalanche Technology,http://www.avalanche-technology.com/,0,0
Avantor Performance Materials,https://www.avantorinc.com/,0,0
Avello Bioenery,http://www.avellobioenergy.com/en/news_press/,0,0
Avertech,http://www.avertech.com.sg/,0,0
Avon Products,https://www.avon.com/,0,0
AxioMx,https://www.youtube.com/channel/UCj_OY9ifDDW0oOvoorpsB8Q,0,0
BHA Technologies,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4663034,0,0
BIND Therapeutics,https://www.pfizer.com/sites/default/files/partnering/recent_partnership/BIND-winning-bid-release-072616-FINAL.pdf,0,0
BOE Technology Group Co.,https://www.bloomberg.com/quote/000725:CH,0,0
Babcock Power Services,https://www.babcockpower.com/,0,0
Battelle Energy Alliance,https://www.battelle.org/laboratory-management,0,0
Bechtel Hydrocarbon Technology Solutions,https://www.bechtel.com/services/oil-gas-chemicals/bhts/,0,0
Becton,http://www.bd.com/,0,0
Beijing BOE Display Technology Co.,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=109221912,0,0
Bemis Company,http://www.bemis.com/,0,0
Bend Research,https://www.capsugel.com/locations/bend-oregon-usa,0,0
Bestway,http://www.bestwaycorp.us/,0,0
Big Belly Solar,http://bigbelly.com/,0,0
Bio-Rad Laboratories,http://www.bio-rad.com/,0,0
BioNano Genomics,https://bionanogenomics.com/,0,0
Biocare Medical,https://biocare.net/,0,0
Biogenic Reagents Ventures,https://www.biogenicreagents.com/,0,0
Biological Dynamics,https://biologicaldynamics.com/,0,0
Biosphere Medical,https://www.merit.com/interventional-oncology-spine/embolotherapy/,0,0
Biotechnology Foundation,https://biotechfoundation.org/,0,0
Biozoom Technologies,https://www.bloomberg.com/research/stocks/private/people.asp?privcapId=244158618,0,0
Bird-B-Gone,https://www.birdbgone.com/,0,0
Bisco,https://www.biscoind.com/,0,0
Blue Sea Systems,https://www.bluesea.com/,0,0
Bostik,https://www.bostik.com/,0,0
Boston Scientific Scimed,https://www.bostonscientific.com/en-US/Home.html,0,0
Braun Intertec Geothermal,https://braunintertec.com/,0,0
Bridgelux,https://www.bridgelux.com/,0,0
Brightfield Transportation Solutions,http://brightfieldts.com/,0,0
Bruin Biometrics,http://bruinbiometrics.com/us/about-us,0,0
Buckman Laboratories International,https://www.buckman.com/,0,0
Building Envelope Innovations,http://wet-flash.com/,0,0
CA,http://www.calottery.com/,0,0
CAPAT,https://www.cpp.ne.jp/,0,0
CELLTRION,http://www.celltrion.com/en/main.do,0,0
CI4 Technologies,http://www.ci4.us/,0,0
CMC ICOS BIOLOGICS,http://www.agcbio.com/,0,0
CP Kelco U.S.,https://www.cpkelco.com/,0,0
CPT IP Holdings,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=257097,0,0
CUMMINS FILTRATION IP,https://www.cumminsfiltration.com/,0,0
CYBERCITY 3D,http://www.cybercity3d.com/#!,0,0
CYKL Technology,https://www.bizapedia.com/fl/cykl-technology-inc.html,0,0
Cadence Design Systems,https://www.cadence.com/,0,0
Calient Technologies,https://www.calient.net/,0,0
California Industrial Facilities Resources,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=52209147,0,0
Calysta,http://calysta.com/,0,0
Cambridge Electronics,https://www.cambridgeelectronics.com/,0,0
Canon Nanotechnologies,http://cnt.canon.com/,0,0
Canon U.S. Life Sciences,https://www.canon-biomedical.com/online/portal/vp7,0,0
Canon,http://www.usa.canon.com/,0,0
Carbon3D,https://www.carbon3d.com/,0,0
Cardiac Pacemakers,http://www.heart.org/HEARTORG/Conditions/Arrhythmia/PreventionTreatmentofArrhythmia/Pacemaker_UCM_448480_Article.jsp,0,0
Cardiva Medical,https://www.cardivamedical.com/,0,0
Carestream Health,https://www.carestream.com/en/us,0,0
Caribou Biosciences,https://cariboubio.com/,0,0
Carver Scientific,http://www.carversci.com/,0,0
Casio Computer Co.,https://world.casio.com/,0,0
Cavium,https://cavium.com/,0,0
CellPrint IP Holding,https://cellprintbiotechnology.com/,0,0
Cellular Research,https://www.cellularresearchinstitute.com/,0,0
Ceramatec,https://www.ceramtec.com/,0,0
Cheil Industries,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=879759,0,0
Chemtreat,http://www.chemtreat.com/,0,0
Christie Digital Systems,https://www.christiedigital.com/en-us/,0,0
Chromalox,http://www.chromalox.com/,0,0
Cisco Technology,https://www.cisco.com/,0,0
Claret Medical,https://www.claretmedical.com/,0,0
Clean Energy Labs,http://cleanenergylabs.com/,0,0
Clearside Biomedical,http://www.clearsidebio.com/,0,0
Codexis,https://www.codexis.com/,0,0
Coleman Cable,https://www.coleman.com/,0,0
Combined Energies,http://combined-energies.com/,0,0
Complete Genomics,http://www.completegenomics.com/,0,0
Component Re-Engineering Company,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=266418241,0,0
Conexant Systems,https://www.synaptics.com/,0,0
Confluence Energy,http://www.confluenceenergy.com/,0,0
Continental Manufacturing,http://www.continentalcommercialproducts.com/,0,0
Cool Planet Energy Systems,https://www.coolplanet.com/,0,0
Copernicus Therapeutics,http://cgsys.com/,0,0
Coriant Advanced Technology,https://www.coriant.com/,0,0
Cornell Research Foundation,http://www.cornell.edu/research/,0,0
Courtagen Life Sciences,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=12296928,0,0
Cree,https://www.cree.com/,0,0
Crepaco,http://www.spxflow.com/en/apv/,0,0
Cross Match Technologies,https://www.crossmatch.com/,0,0
Crossbar,https://www.crossbar-inc.com/en/,0,0
Cura Vac,http://www.curavac.com/,0,0
Cyberonics,http://www.cyberonics.com/,0,0
CyboEnergy,http://www.cyboenergy.com/,0,0
DCG SYSTEMS,https://www.fei.com/products/electrical-failure-analysis/,0,0
DHPC TECHNOLOGIES,http://www.dhpctech.com/,0,0
DNA Twopointo,https://www.atum.bio/,0,0
DNA2.0,https://www.atum.bio/,0,0
DPD,https://www.dpd.com/tracking,0,0
DRS Network & Imaging Systems,http://leonardodrs.com/,0,0
Da Yu Enterprises,http://dayuenterprises.com/,0,0
Daikin Industries,http://www.daikin.com/,0,0
Dana-Farber Cancer Institute,https://www.dana-farber.org/,0,0
Daylight Solutions,https://www.daylightsolutions.com/,0,0
