22nd Century Limited, LLC
540 Grid Solutions, LLC
ACell, Inc.
ADMA Products, Inc.
ADVANCED CERAMIC FIBERS, LLC
AFMODEL, LLC.
AG ENERGY SOLUTIONS, INC.
AGC Flat Glass North America, Inc.
AIR PRODUCTS AND CHEMICALS, INC.
ALF OPERATING PARTNERS, LTD.
ALGETERNAL TECHNOLOGIES, LLC
AMO Wavefront Sciences, LLC
AMPT, LLC
API Intellectual Property Holdings, LLC
APPLIED STEMCELL, INC.
APPLIED SUNSHINE, LLC
ARBOR THERAPEUTICS, LLC
AROG PHARMACEUTICALS, INC.
ASCENT SOLAR TECHNOLOGIES, INC.
ASM America, Inc.
ASTUTE MEDICAL, INC.
ATC Technologies, LLC
ATTOSTAT, INC.
AVI BioPharma, Inc.
AVOGY, INC.
Aadigen, LLC
Abengoa Bioenergy New Technologies, LLC.
Ablexis, LLC
Abraxis Bioscience, LLC
Accuri Cytometers, Inc.
Acorn Technologies, Inc.
Adhesives Research, Inc.
Adlens Beacon, Inc.
Adtran, Inc.
Advanced Analogic Technologies, Inc.
Advanced Cardiovascular Systems, Inc.
Advanced Cell Technology, Inc.
Advanced Fusion Technologies, Inc.
Advanced Silicon Group, Inc.
Advanced Technology Materials, Inc.
Advanced Water Technology, Inc.
Adynxx, Inc.
Aerogen, Inc.
Agena Bioscience, Inc.
Agienic, Inc.
Agilent Technologies, Inc.
Agrigenetics, Inc.
Agrivida, Inc.
Ajinomoto Althea, Inc.
Akron Polymer Systems, Inc.
Alcon Research, Ltd.
Alcotek, Inc.
Alencon Acquisition Co., LLC.
Alexion Pharmaceuticals, Inc.
All Power Labs, Inc.
Allertein Therapeutics, LLC
Alliance for Sustainable Energy, LLC
Allison Transmission, Inc.
Alnylam Pharmaceuticals, Inc.
AltaRock Energy, Inc.
Altivera, LLC
Amazon Technologies, Inc.
Ambature, Inc.
American Air Liquide, Inc.
American Piledriving Equipment, Inc.
Amicus Therapeutics, Inc.
Amkor Technology, Inc.
Ampio Pharmaceuticals, Inc.
Amprius, Inc.
Amtech Systems, LLC
Analog Devices, Inc.
Angaza Design, Inc.
Angiotech Pharmaceuticals (US), Inc.
Annam Biosciences, LLC
Ansun Biopharma, Inc.
Anterios, Inc.
Applied Biosystems, LLC
Applied Materials, Inc.
Applied Membrane Technologies, Inc.
Applied NanoStructured Solutions, LLC
Applied Nanostructures, Inc.
Applied Optoelectronics, Inc.
Arch Biosurgery, Inc.
Arcturus Therapeutics, Inc.
Areesys Technologies, Inc.
Arisaph Pharmaceuticals, Inc.
Arpin Renewable Energy, LLC
Arrowhead Center, Inc.
Aseptia, Inc.
Astech, Inc.
AstenJohnson, Inc.
Astex Pharmaceuticals, Inc.
Atom Nanoelectronics, Inc
Atonometrics, Inc.
Aurora Alage, Inc.
Aurrion, Inc.
Aushon Biosystems, Inc.
Auterra, Inc.
Authenex, Inc.
Autonomic Materials, Inc.
Avalanche Technology, Inc.
Avantor Performance Materials, Inc.
Avello Bioenery, Inc.
Avertech, Inc.
Avon Products, Inc.
AxioMx, Inc.
BHA Technologies, Inc.
BIND Therapeutics, Inc.
BOE Technology Group Co., Ltd.
Babcock Power Services, Inc.
Battelle Energy Alliance, LLC
Bechtel Hydrocarbon Technology Solutions, Inc.
Becton, Dickinson and Company
Beijing BOE Display Technology Co., Ltd.
Bemis Company, Inc.
Bend Research, Inc.
Bestway, Inc.
Big Belly Solar, Inc.
Bio-Rad Laboratories, Inc.
BioNano Genomics, Inc.
Biocare Medical, LLC
Biogenic Reagents Ventures, LLC
Biological Dynamics, Inc.
Biosphere Medical, Inc.
Biotechnology Foundation, Inc.
Biozoom Technologies, Inc.
Bird-B-Gone, Inc.
Bisco, Inc.
Blue Sea Systems, Inc.
Bostik, Inc.
Boston Scientific Scimed, Inc.
Braun Intertec Geothermal, LLC
Bridgelux, Inc.
Brightfield Transportation Solutions, Inc.
Bruin Biometrics, LLC
Buckman Laboratories International, Inc.
Building Envelope Innovations, LLC
CA, Inc.
CAPAT, LLC
CELLTRION, INC.
CI4 Technologies, Inc.
CMC ICOS BIOLOGICS, INC.
CP Kelco U.S., Inc.
CPT IP Holdings, LLC
CUMMINS FILTRATION IP, INC.
CYBERCITY 3D, INC
CYKL Technology, Inc.
Cadence Design Systems, Inc.
Calient Technologies, Inc.
California Industrial Facilities Resources, INC.
Calysta, Inc.
Cambridge Electronics, Inc.
Canon Nanotechnologies, Inc.
Canon U.S. Life Sciences, Inc.
Canon, Inc. 
Carbon3D, Inc.
Cardiac Pacemakers, Inc.
Cardiva Medical, Inc.
Carestream Health, Inc.
Caribou Biosciences, Inc.
Carver Scientific, Inc.
Casio Computer Co., Ltd.
Cavium, Inc.
CellPrint IP Holding, LLC
Cellular Research, Inc.
Ceramatec, Inc.
Cheil Industries, Inc.
Chemtreat, Inc.
Christie Digital Systems, Inc.
Chromalox, Inc.
Cisco Technology, Inc.
Claret Medical, Inc.
Clean Energy Labs, LLC
Clearside Biomedical, Inc.
Codexis, Inc.
Coleman Cable, LLC
Combined Energies, LLC
Complete Genomics, Inc.
Component Re-Engineering Company, Inc.
Conexant Systems, Inc.
Confluence Energy, LLC
Continental Manufacturing, LLC
Cool Planet Energy Systems, Inc.
Copernicus Therapeutics, Inc.
Coriant Advanced Technology, LLC
Cornell Research Foundation, Inc.
Courtagen Life Sciences, Inc.
Cree, Inc.
Crepaco, Inc.
Cross Match Technologies, Inc.
Crossbar, Inc.
Cura Vac, Inc.
Cyberonics, Inc.
CyboEnergy, Inc.
DCG SYSTEMS, INC.
DHPC TECHNOLOGIES, INC.
DNA Twopointo, Inc.
DNA2.0, INC.
DPD, Inc.
DRS Network & Imaging Systems, LLC
Da Yu Enterprises, L.L.C.
Daikin Industries, Ltd.
Dana-Farber Cancer Institute, Inc.
Daylight Solutions, Inc.
DePuy Synthes Products, LLC
Deep Science, LLC
Deep Well Power, LLC
Delphi Technologies, Inc.
Delta Electronics, Inc.
Dentsply International, Inc.
Dermazone Solutions, Inc.
Diamicron, Inc.
Diamond Innovations, Inc.
