firm_key,main_topic,num_words,para_order,prob
Big Belly Solar.txt,5,17,1,0.600791931152
Big Belly Solar.txt,2,33,2,0.628842175007
Big Belly Solar.txt,8,35,3,0.50612282753
Big Belly Solar.txt,7,34,4,0.601797759533
Big Belly Solar.txt,0,46,5,0.40352538228
Big Belly Solar.txt,7,26,6,0.966658890247
Big Belly Solar.txt,7,14,7,0.939986348152
Big Belly Solar.txt,1,13,8,0.547348201275
Big Belly Solar.txt,3,12,9,0.930749952793
Big Belly Solar.txt,4,50,10,0.812814831734
Big Belly Solar.txt,4,49,11,0.916150510311
Big Belly Solar.txt,8,41,12,0.844494223595
Big Belly Solar.txt,0,47,13,0.981245040894
Big Belly Solar.txt,4,53,14,0.797440946102
Big Belly Solar.txt,0,51,15,0.982688009739
Big Belly Solar.txt,1,49,16,0.875374078751
Dymax Corporation.txt,7,29,1,0.969991445541
Dymax Corporation.txt,7,60,2,0.795122861862
Dymax Corporation.txt,7,53,3,0.835841834545
Dymax Corporation.txt,3,30,4,0.44764393568
Dymax Corporation.txt,6,38,5,0.740208923817
Dymax Corporation.txt,0,21,6,0.959084451199
Dymax Corporation.txt,9,23,7,0.962491750717
Dymax Corporation.txt,6,15,8,0.943742215633
Dymax Corporation.txt,8,24,9,0.963993668556
Dymax Corporation.txt,8,59,10,0.451038748026
Dymax Corporation.txt,6,17,11,0.4898211658
Dymax Corporation.txt,5,12,12,0.930746436119
Dymax Corporation.txt,8,40,13,0.669640719891
Dymax Corporation.txt,7,23,14,0.766760885715
Rohm and Haas Electronic Materials LLC.txt,0,11,1,0.924985706806
Rohm and Haas Electronic Materials LLC.txt,6,12,2,0.930754601955
Rohm and Haas Electronic Materials LLC.txt,0,13,3,0.935697972775
Rohm and Haas Electronic Materials LLC.txt,5,16,4,0.552970826626
Rohm and Haas Electronic Materials LLC.txt,6,22,5,0.960864841938
Cross Match Technologies.txt,1,15,1,0.59536677599
Cross Match Technologies.txt,1,14,2,0.939985334873
Cross Match Technologies.txt,2,12,3,0.930757880211
Cross Match Technologies.txt,4,16,4,0.947047829628
Cross Match Technologies.txt,0,11,5,0.545366466045
Cross Match Technologies.txt,4,11,6,0.92498666048
Cross Match Technologies.txt,1,16,7,0.947044849396
Cross Match Technologies.txt,3,13,8,0.935696005821
Cross Match Technologies.txt,0,31,9,0.971867024899
Cross Match Technologies.txt,2,64,10,0.986150741577
Cross Match Technologies.txt,2,72,11,0.987668573856
Cross Match Technologies.txt,7,31,12,0.971870064735
Atotech Deutschland GmbH.txt,7,16,1,0.947045505047
Atotech Deutschland GmbH.txt,2,14,2,0.939988911152
Atotech Deutschland GmbH.txt,3,14,3,0.812762260437
Atotech Deutschland GmbH.txt,8,26,4,0.639705121517
Atotech Deutschland GmbH.txt,5,14,5,0.939983546734
