firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
Two Blades Foundation,2blades.org/,6.0,,,6.0,FirmSize.MICRO_FIRM,1,2blades.org,0
3M Innovative Properties Company,3m.com/,60593.0,,,60593.0,FirmSize.LARGE_FIRM,5,3m.com,0
Advanced Aqua Group,aadvancedaqua.com/,3.0,,,3.0,FirmSize.MICRO_FIRM,1,aadvancedaqua.com,0
ABB AB,abb.com/,100487.0,,,100487.0,FirmSize.LARGE_FIRM,5,abb.com,0
AbbVie Inc.,abbvie.com/,26260.0,29000.0,2740.0,29000.0,FirmSize.LARGE_FIRM,0,abbvie.com,0
Google Inc.,abc.xyz/,8.0,85050.0,85042.0,85050.0,FirmSize.LARGE_FIRM,4,abc.xyz,0
Abengoa Bioenergy New Technologies,abengoa.com/,5799.0,154.0,5645.0,5799.0,FirmSize.LARGE_FIRM,2,abengoa.com,0
Ablexis,ablexis.com/,2.0,,,2.0,FirmSize.MICRO_FIRM,1,ablexis.com,0
SII Semiconductor Corporation,ablic.com/en/semicon/,3.0,,,3.0,FirmSize.MICRO_FIRM,1,ablic.com,0
ACACIA RESEARCH GROUP LLC,acaciaresearch.com/,2.0,13.0,11.0,13.0,FirmSize.SMALL_FIRM,1,acaciaresearch.com,0
Access Business Group International LLC,accessbusinessgroup.com/,171.0,1850.0,1679.0,1850.0,FirmSize.LARGE_FIRM,2,accessbusinessgroup.com,0
Roche Diagnostics GmbH,accu-chek.com/,262.0,,,262.0,FirmSize.US_MEDIUM_FIRM,4,accu-chek.com,0
AccuRay Corporation,accuray.com/,988.0,117.0,871.0,988.0,FirmSize.LARGE_FIRM,2,accuray.com,0
ACell,acell.com/,376.0,,,376.0,FirmSize.US_MEDIUM_FIRM,4,acell.com,0
Acer Incorporated,acer.com/ac/en/US/content/home,,,,,FirmSize.UNDEFINED,0,acer.com,0
ADVANCED CERAMIC FIBERS,acfibers.com/index.html,6.0,,,6.0,FirmSize.MICRO_FIRM,1,acfibers.com,0
AC International Inc.,acinter.com/,11.0,,,11.0,FirmSize.SMALL_FIRM,2,acinter.com,0
Acorn Technologies,acorntech.com/,51.0,,,51.0,FirmSize.EU_MEDIUM_FIRM,3,acorntech.com,0
ACUCELA INC.,acucela.com/,52.0,34.0,18.0,52.0,FirmSize.EU_MEDIUM_FIRM,1,acucela.com,0
Achushnet Company,acushnetgolf.com/,,5228.0,,5228.0,FirmSize.LARGE_FIRM,5,acushnetgolf.com,0
Adaptive Biotechnologies Corp.,adaptivebiotech.com/,290.0,,,290.0,FirmSize.US_MEDIUM_FIRM,4,adaptivebiotech.com,0
ADASA INC.,adasa.com/,120.0,,,120.0,FirmSize.EU_MEDIUM_FIRM,3,adasa.com,0
Adeka Corporation,adeka.co.jp/en/,27.0,2661.0,2634.0,2661.0,FirmSize.LARGE_FIRM,3,adeka.co.jp,0
Saint-Gobain Adfors Canada,adfors.com/us/,381.0,,,381.0,FirmSize.US_MEDIUM_FIRM,4,adfors.com,0
Adhesives Research,adhesivesresearch.com/,202.0,342.0,140.0,342.0,FirmSize.US_MEDIUM_FIRM,1,adhesivesresearch.com,0
adidas AG,adidas.com/us/,36453.0,56888.0,20435.0,56888.0,FirmSize.LARGE_FIRM,0,adidas.com,0
Adlens Beacon,adlens.com/,,,,,FirmSize.UNDEFINED,0,adlens.com,0
Archer Daniels Midland Company,adm.com/,12644.0,31800.0,19156.0,31800.0,FirmSize.LARGE_FIRM,0,adm.com,0
ADMA Products,admaproducts.com/#!,4.0,291.0,287.0,291.0,FirmSize.US_MEDIUM_FIRM,3,admaproducts.com,0
Adobe Systems Incorporated,adobe.com/,21046.0,17973.0,3073.0,21046.0,FirmSize.LARGE_FIRM,0,adobe.com,0
Adtran,adtran.com/,9.0,2060.0,2051.0,2060.0,FirmSize.LARGE_FIRM,4,adtran.com,0
Advanced Silicon Group,advancedsilicongroup.com/,35.0,3300.0,3265.0,3300.0,FirmSize.LARGE_FIRM,3,advancedsilicongroup.com,0
