firm,lookup_firm,firm_length,name_clnd,name_length,manual_fix,hit_url,hit_url_length,rank,matches,public,acquired_merged,Votes,Group,nano,green,synbio,count_all_ind,max_emps,size_state
Integrated Solar Technology,Integrated Solar Technology,27,SunTegra Solar Roof Systems | Solar Roof Shingles and ...,57,,suntegrasolar.com/,29,1,1,0,0,5,671,0,1,0,1,71,FirmSize.EU_MEDIUM_FIRM
Graphene Technologies,Graphene Technologies,21,"Graphene Technologies, Inc. | Graphene Technologies, Inc.",57,,graphenetechnologies.com/,32,1,2,0,0,5,575,1,0,0,1,79,FirmSize.EU_MEDIUM_FIRM
Proton Power,Proton Power,12,"Proton Power, Inc. - Official Site",34,,protonpower.com/,27,1,2,0,0,5,1038,0,1,0,1,74,FirmSize.EU_MEDIUM_FIRM
Renewable Algal Energy,Renewable Algal Energy,22,RAE :: Home,11,,rae-energy.com/,26,1,0,0,0,5,1071,0,1,0,1,90,FirmSize.EU_MEDIUM_FIRM
Metabolix,Metabolix,9,Yield10 Bioscience - Official Site,34,,yield10bio.com/,27,1,0,0,0,5,826,1,0,0,1,66,FirmSize.EU_MEDIUM_FIRM
One Earth Designs Inc.,One Earth Designs,17,SolSource by One Earth Designs,30,,oneearthdesigns.com/,32,1,3,0,0,5,954,0,1,0,1,50,FirmSize.EU_MEDIUM_FIRM
Acorn Technologies,Acorn Technologies,18,Acorn Technologies,18,,acorntech.com/,21,1,2,0,1,5,61,1,1,0,2,51,FirmSize.EU_MEDIUM_FIRM
Rima Enterprises,Rima Enterprises,16,Home : Rima Enterprises,23,,rimaenterprises.in/,30,1,2,0,0,5,1084,0,1,0,1,62,FirmSize.EU_MEDIUM_FIRM
Alcotek,Alcotek,7,Home - Alcotek,14,,alcotek.com/,20,1,1,0,0,5,89,0,1,0,1,90,FirmSize.EU_MEDIUM_FIRM
Travis Industries,Travis Industries,17,Travis Industries | House of Fire - Home,40,,travisindustries.com/,28,1,2,0,0,5,1374,0,1,0,1,53,FirmSize.EU_MEDIUM_FIRM
Unistrut International Corp.,Unistrut Corp,13,Unistrut - Official Site,24,,unistrut.us/,23,1,1,0,0,5,1401,0,1,0,1,70,FirmSize.EU_MEDIUM_FIRM
Selecta Biosciences,Selecta Biosciences,19,"Selecta Biosciences, Inc. - Official Site",41,,selectabio.com/,22,1,2,0,0,5,1167,1,0,0,1,64,FirmSize.EU_MEDIUM_FIRM
Ecovative Design,Ecovative Design,16,Ecovative Design - Official Site,32,,ecovativedesign.com/,32,1,2,0,0,5,439,0,0,1,1,70,FirmSize.EU_MEDIUM_FIRM
Lehigh Technologies,Lehigh Technologies,19,Lehigh Technologies - Official Site,35,,lehightechnologies.com/,30,1,2,0,0,5,761,1,0,0,1,50,FirmSize.EU_MEDIUM_FIRM
Galectin Therapeutics,Galectin Therapeutics,21,Galectin Therapeutics (NASDAQ: GALT),36,,galectintherapeutics.com/,32,1,2,1,0,5,540,0,0,1,1,54,FirmSize.EU_MEDIUM_FIRM
NeuMoDx Molecular,NeuMoDx Molecular,17,NeuMoDx - Official Site,23,,neumodx.com/,23,1,1,0,0,5,904,0,0,1,1,59,FirmSize.EU_MEDIUM_FIRM
Michigan Biotechnology Institute,Michigan Biotechnology Institute,32,Home - MBI,10,,mbi.org/,19,1,0,0,0,5,829,0,1,0,1,51,FirmSize.EU_MEDIUM_FIRM
Sion Power Corporation,Sion Power,10,Sion Power - Official Site,26,,sionpower.com/,22,1,2,0,0,5,1214,1,0,0,1,55,FirmSize.EU_MEDIUM_FIRM
SunCulture Solar Inc.,SunCulture Solar,16,SolPad - Official Site,22,,solpad.com/,18,1,0,0,0,5,1263,0,1,0,1,57,FirmSize.EU_MEDIUM_FIRM
Arcturus Therapeutics,Arcturus Therapeutics,21,Arcturus Therapeutics | Building Next Generation RNA Medicines,62,,arcturusrx.com/,23,1,2,0,0,5,137,0,0,1,1,61,FirmSize.EU_MEDIUM_FIRM
Envisionit LLC,Envisionit,10,Envision IT - Official Site,27,,envisionit.com/,27,1,0,0,0,5,461,1,0,0,1,58,FirmSize.EU_MEDIUM_FIRM
Gram Power,Gram Power,10,About Us Gram Power,19,,grampower.com/about-us/,34,1,2,0,0,5,573,0,1,0,1,50,FirmSize.EU_MEDIUM_FIRM
Silicor Materials Inc.,Silicor Materials,17,Silicor Materials - Official Site,33,,silicormaterials.com/,33,1,2,0,0,5,1205,0,1,0,1,54,FirmSize.EU_MEDIUM_FIRM
Clearside Biomedical,Clearside Biomedical,20,Clearside BIO,13,,clearsidebio.com/,28,1,1,0,0,5,322,1,0,0,1,56,FirmSize.EU_MEDIUM_FIRM
Locus Energy,Locus Energy,12,Locus Energy,12,,locusenergy.com/,28,1,2,0,0,5,773,0,1,0,1,53,FirmSize.EU_MEDIUM_FIRM
Floadia Corporation,Floadia,7,Floadia Corporation.,20,,floadia.com/,20,1,1,0,0,5,501,1,0,0,1,61,FirmSize.EU_MEDIUM_FIRM
SEEK THERMAL,SEEK THERMAL,12,Seek Thermal | Affordable Infrared Thermal Imaging Cameras ...,62,,thermal.com/,24,1,2,0,0,5,1114,1,0,0,1,60,FirmSize.EU_MEDIUM_FIRM
Caribou Biosciences,Caribou Biosciences,19,Caribou Biosciences - Official Site,35,,cariboubio.com/,23,1,2,0,0,5,290,0,0,1,1,60,FirmSize.EU_MEDIUM_FIRM
Elenion Technologies,Elenion Technologies,20,Elenion Technologies,20,,elenion.com/,20,1,2,0,0,5,448,1,0,0,1,55,FirmSize.EU_MEDIUM_FIRM
Little Kids,Little Kids,11,Home | Little Kids Inc.,23,,littlekidsinc.com/,29,1,2,0,0,5,770,1,0,0,1,58,FirmSize.EU_MEDIUM_FIRM
Cetac Technologies Inc.,Cetac Technologies,18,Teledyne Cetac,14,,teledynecetac.com/,29,1,1,0,0,5,305,0,1,0,1,60,FirmSize.EU_MEDIUM_FIRM
ACUCELA INC.,ACUCELA,7,Acucela - Official Site,23,,acucela.com/,24,1,1,0,0,5,11,1,0,0,1,52,FirmSize.EU_MEDIUM_FIRM
ASTUTE MEDICAL,ASTUTE MEDICAL,14,Astute Medical - Official Site,30,,astutemedical.com/,29,1,2,0,0,5,39,0,0,1,1,59,FirmSize.EU_MEDIUM_FIRM
GangaGen,GangaGen,8,GangaGen :: Pioneering the battle against drug-resistant ...,60,,gangagen.com/,20,1,1,0,0,5,542,0,0,1,1,57,FirmSize.EU_MEDIUM_FIRM
Ceramatec,Ceramatec,9,CeramTec - Official Site,24,,ceramtec.com/,25,1,0,0,0,5,303,0,1,1,2,61,FirmSize.EU_MEDIUM_FIRM
Sienna Biopharmaceuticals,Sienna Biopharmaceuticals,25,Home  Sienna Biopharmaceuticals,31,,siennabio.com/,22,1,2,0,0,5,1195,1,0,0,1,58,FirmSize.EU_MEDIUM_FIRM
Sienna Labs,Sienna Labs,11,Home  Sienna Biopharmaceuticals,31,,siennabio.com/,22,1,1,0,0,5,1196,1,0,0,1,58,FirmSize.EU_MEDIUM_FIRM
UWM Research Foundation,UWM Research Foundation,23,"UWM Research Foundation I Research, Innovation ...",50,,uwmrf.org/,18,1,3,0,0,5,1396,1,0,1,2,63,FirmSize.EU_MEDIUM_FIRM
Big Belly Solar,Big Belly Solar,15,Bigbelly - Smart Solutions for Cities // World Leader in ...,60,,bigbelly.com/,20,1,2,0,0,5,215,0,1,0,1,63,FirmSize.EU_MEDIUM_FIRM
aTyr Pharma,aTyr Pharma,11,Investor Home | aTyr Pharma,27,,investors.atyrpharma.com/,33,1,2,0,0,5,1476,0,0,1,1,65,FirmSize.EU_MEDIUM_FIRM
Bitrode Corporation,Bitrode,7,Bitrode - Official Site,23,,bitrode.com/,24,1,1,0,0,5,231,0,1,0,1,65,FirmSize.EU_MEDIUM_FIRM
PetraSolar,PetraSolar,10,Petra Systems - Official Site,29,,petrasystems.com/,28,1,0,0,1,5,998,0,1,0,1,61,FirmSize.EU_MEDIUM_FIRM
Phillips 66 Company,Phillips 66 Company,19,Phillips 66 - Official Site,27,,phillips66.com/,26,1,2,0,0,5,1004,0,1,1,2,66,FirmSize.EU_MEDIUM_FIRM
Heliae Development,Heliae Development,18,"Heliae Development, LLC - Official Site",39,,heliae.com/,19,1,2,0,0,5,606,0,1,0,1,72,FirmSize.EU_MEDIUM_FIRM
Shoals Technologies Group,Shoals Technologies Group,25,Shoals - Official Site,22,,shoals.com/,23,1,1,0,0,5,1187,0,1,0,1,70,FirmSize.EU_MEDIUM_FIRM
SOLAZYME,SOLAZYME,8,Solazyme - Official Site,24,,solazyme.com/,20,1,1,0,0,5,1126,0,1,0,1,66,FirmSize.EU_MEDIUM_FIRM
Liquidia Technologies,Liquidia Technologies,21,Liquidia Technologies - Official Site,37,,liquidia.com/,20,1,2,0,0,5,768,1,0,1,2,73,FirmSize.EU_MEDIUM_FIRM
Nantero,Nantero,7,Nantero NRAM - Memory technology that is incredibly fast!,57,,nantero.com/,19,1,1,0,0,5,895,1,0,0,1,67,FirmSize.EU_MEDIUM_FIRM
Ethox Chemicals,Ethox Chemicals,15,Ethox Chemicals- The American Chemical Company,46,,blog.ethox.com/,22,1,2,0,0,5,465,1,0,0,1,73,FirmSize.EU_MEDIUM_FIRM
ProNAi Therapeutics,ProNAi Therapeutics,19,Sierra Oncology - Official Site,31,,sierraoncology.com/,31,1,0,0,0,5,1032,0,0,1,1,75,FirmSize.EU_MEDIUM_FIRM
TheGreenCell,TheGreenCell,12,The Green Cell,14,,thegreencell.com/,28,1,0,0,0,5,1345,0,0,1,1,74,FirmSize.EU_MEDIUM_FIRM
NLT TECHNOLOGIES,NLT TECHNOLOGIES,16,"Tianma Japan, Ltd.",18,,tianma.co.jp/en/,28,1,0,0,0,5,870,1,0,0,1,71,FirmSize.EU_MEDIUM_FIRM
Crossbar,Crossbar,8,ReRAM Memory | Crossbar,23,,crossbar-inc.com/en/,32,1,1,1,0,5,355,1,0,0,1,73,FirmSize.EU_MEDIUM_FIRM
Canon Nanotechnologies,Canon Nanotechnologies,22,"Canon Nanotechnologies, together with Canon, is the market ...",62,,cnt.canon.com/,21,1,2,0,0,5,284,1,0,0,1,80,FirmSize.EU_MEDIUM_FIRM
Sharp Laboratories of America,Sharp Laboratories of America,29,Sharp Laboratories of America,29,,sharplabs.com/,25,1,4,0,0,5,1182,1,0,1,2,73,FirmSize.EU_MEDIUM_FIRM
InView Technology Corporation,InView Technology,17,Inview Technology - Official Site,33,,inview.tv/,21,1,2,0,1,5,651,1,0,0,1,76,FirmSize.EU_MEDIUM_FIRM
Poly-Med,Poly-Med,8,"Poly-Med, inc - Leaders in absorbable polymers",46,,poly-med.com/,20,1,2,0,0,5,1021,1,0,1,2,86,FirmSize.EU_MEDIUM_FIRM
Siluria Technologies,Siluria Technologies,20,Siluria Technologies - Official Site,36,,siluria.com/,19,1,2,0,0,5,1206,1,0,0,1,77,FirmSize.EU_MEDIUM_FIRM
APPLIED STEMCELL,APPLIED STEMCELL,16,"Applied StemCell - CRISPR Service, Knock In Mice, CRISPR ...",60,,appliedstemcell.com/,32,1,2,0,0,5,30,0,0,1,1,81,FirmSize.EU_MEDIUM_FIRM
SolarReserve Technology,SolarReserve Technology,23,Technology  SolarReserve,24,,solarreserve.com/en/technology,42,1,2,0,0,5,1229,0,1,0,1,85,FirmSize.EU_MEDIUM_FIRM
BioNano Genomics,BioNano Genomics,16,Bionano Genomics | Genome Mapping Reveals True Genome ...,57,,bionanogenomics.com/,28,1,2,0,0,5,218,1,0,0,1,88,FirmSize.EU_MEDIUM_FIRM
Applied Genetic Technologies Corporation,Applied Genetic Technologies,28,AGTC - Official Site,20,,agtc.com/,17,1,0,0,0,5,129,0,0,1,1,87,FirmSize.EU_MEDIUM_FIRM
American Piledriving Equipment,American Piledriving Equipment,30,APE - Official Site,19,,apevibro.com/,24,1,0,0,0,5,106,0,1,0,1,85,FirmSize.EU_MEDIUM_FIRM
Calient Technologies,Calient Technologies,20,CALIENT - Official Site,23,,calient.net/,24,1,1,0,0,5,277,1,0,0,1,86,FirmSize.EU_MEDIUM_FIRM
SB ENERGY,SB ENERGY,9,Energy | SoftBank,17,,softbank.jp/en/energy/,34,1,1,0,0,5,1110,0,1,0,1,94,FirmSize.EU_MEDIUM_FIRM
bioTheranostics,bioTheranostics,15,Biotheranostics - Official Site,31,,biotheranostics.com/,31,1,1,0,0,5,1479,0,0,1,1,88,FirmSize.EU_MEDIUM_FIRM
IMRA America,IMRA America,12,"IMRA America, Inc. - Official Site",34,,imra.com/,21,1,2,0,0,5,637,1,0,0,1,90,FirmSize.EU_MEDIUM_FIRM
Gardner-Gibson,Gardner-Gibson,14,"Gardner-Gibson, Inc: Protection from the Elements",49,,gardner-gibson.com/,27,1,2,0,0,5,543,0,0,1,1,89,FirmSize.EU_MEDIUM_FIRM
SunLink Corporation,SunLink,7,SunLink - Official Site,23,,sunlink.com/,20,1,1,0,0,5,1266,0,1,0,1,84,FirmSize.EU_MEDIUM_FIRM
BASF Plant Science GmbH,BASF Plant Science,18,Agriculture,11,,agriculture.basf.com/us/en.html,39,1,0,0,0,5,178,0,0,1,1,95,FirmSize.EU_MEDIUM_FIRM
OPTERRA ENERGY SERVICES,OPTERRA ENERGY SERVICES,23,ENGIE Services U.S. - Customized Sustainable Energy Solutions,61,,engieservices.us/,25,1,2,0,0,5,944,0,1,0,1,97,FirmSize.EU_MEDIUM_FIRM
Helios Focus LLC,Helios Focus,12,Helios Focus - Insight and innovation in energyHelios ...,57,,heliosfocus.com/,28,1,2,0,1,5,607,0,1,0,1,69,FirmSize.EU_MEDIUM_FIRM
Chemtreat,Chemtreat,9,"ChemTreat, Inc. | Industrial Water Treatment and Process ...",60,,chemtreat.com/,25,1,1,0,0,5,308,1,1,0,2,75,FirmSize.EU_MEDIUM_FIRM
Domtar Paper Company,Domtar Paper Company,20,"Domtar | The Sustainable Pulp, Paper and Personal Care Company",62,,domtar.com/en,25,1,3,0,0,5,405,1,0,0,1,61,FirmSize.EU_MEDIUM_FIRM
Sinewatts,Sinewatts,9,"energy storage equipment supplier | SineWatts | Charlotte, USA",62,,sinewatts.com/,26,1,1,0,0,5,1210,0,1,0,1,55,FirmSize.EU_MEDIUM_FIRM
Ferro Corporation,Ferro,5,Ferro - Official Site,21,,ferro.com/,22,1,1,0,0,5,493,0,1,0,1,143,FirmSize.EU_MEDIUM_FIRM
GOAL ZERO LLC,GOAL ZERO,9,Goal Zero - Official Site,25,,goalzero.com/,25,1,2,0,0,5,530,0,1,0,1,120,FirmSize.EU_MEDIUM_FIRM
Surebeam Corporation,Surebeam,8,SureBeam Middle East .:. Home,29,,smebeam.com/,23,1,1,0,0,5,1275,0,1,0,1,130,FirmSize.EU_MEDIUM_FIRM
Renewable Power Conversion,Renewable Power Conversion,26,RPC | Renewable Power Conversion,32,,rpcincorporated.com/,31,1,3,0,0,5,1073,0,1,0,1,212,FirmSize.EU_MEDIUM_FIRM
Express Imaging Systems,Express Imaging Systems,23,Express Imaging Services - Medical Record Retrieval,51,,eiscallcenter.com/,30,1,2,0,0,5,472,0,1,0,1,100,FirmSize.EU_MEDIUM_FIRM
Tessera,Tessera,7,Tessera Home Simple - Tessera,29,,tessera.com/,24,1,1,0,0,5,1326,1,0,0,1,113,FirmSize.EU_MEDIUM_FIRM
Carver Scientific,Carver Scientific,17,Carver Scientific,17,,carversci.com/,25,1,2,0,0,5,293,1,0,0,1,130,FirmSize.EU_MEDIUM_FIRM
Universal Display Corporation,Universal Display,17,Homepage - Universal Display Corporation,40,,oled.com/,17,1,2,0,0,5,1405,1,0,0,1,222,FirmSize.EU_MEDIUM_FIRM
Tessera Advanced Technologies,Tessera Advanced Technologies,29,Tessera Home Simple - Tessera,29,,tessera.com/,24,1,1,0,0,5,1327,1,0,0,1,113,FirmSize.EU_MEDIUM_FIRM
Nova Technologies,Nova Technologies,17,NOVA TECHNOLOGIES - Official Site,33,,novatechnologies.com/,33,1,2,0,0,5,926,1,0,0,1,145,FirmSize.EU_MEDIUM_FIRM
Production Resource Group,Production Resource Group,25,PRG Worldwide Entertainment Technology Solutions,48,,prg.com/,20,1,0,0,0,5,1033,0,0,1,1,100,FirmSize.EU_MEDIUM_FIRM
Bisco,Bisco,5,bisco industries - Official Site,32,,biscoind.com/,25,1,1,1,0,5,230,0,0,1,1,195,FirmSize.EU_MEDIUM_FIRM
Cristal USA Inc.,Cristal USA,11,Cristal - Official Site,23,,cristal.com/,23,1,1,0,0,5,353,1,0,0,1,150,FirmSize.EU_MEDIUM_FIRM
Antaya Technologies Corporation,Antaya Technologies,19,Antaya Technologies - Official Site,35,,antaya.com/,23,1,2,0,0,5,125,0,1,0,1,225,FirmSize.EU_MEDIUM_FIRM
TerraVia Holdings,TerraVia Holdings,17,TerraVia - Official Site,24,,terravia.com/,20,1,1,0,0,5,1323,0,1,1,2,124,FirmSize.EU_MEDIUM_FIRM
Nanoco Technologies,Nanoco Technologies,19,Nanoco - Official Site,22,,nanocotechnologies.com/,34,1,1,0,0,5,883,1,1,0,2,105,FirmSize.EU_MEDIUM_FIRM
ASCENT SOLAR TECHNOLOGIES,ASCENT SOLAR TECHNOLOGIES,25,Ascent Solar - Official Site,28,,ascentsolar.com/,27,1,2,0,0,5,34,0,1,0,1,111,FirmSize.EU_MEDIUM_FIRM
Kala Pharmaceuticals,Kala Pharmaceuticals,20,kalarx.com - Kala Pharmaceuticals,33,,kalarx.com/,19,1,2,0,0,5,718,1,0,0,1,129,FirmSize.EU_MEDIUM_FIRM
Englewood Lab,Englewood Lab,13,Englewood LAB | Innovation and Manufacturing,44,,englewoodlab.com/,24,1,2,0,0,5,456,1,0,0,1,100,FirmSize.EU_MEDIUM_FIRM
Oceanit Laboratories,Oceanit Laboratories,20,Oceanit - Official Site,23,,oceanit.com/,24,1,1,0,1,5,947,1,0,0,1,100,FirmSize.EU_MEDIUM_FIRM
PLEX LLC,PLEX,4,Plex - Official Site,20,,plex.tv/,20,1,1,0,0,5,970,1,0,0,1,102,FirmSize.EU_MEDIUM_FIRM
Kashiv Pharma,Kashiv Pharma,13,Kashiv Pharma - Official Site,29,,kashivpharma.com/,29,1,2,0,0,5,725,1,0,0,1,100,FirmSize.EU_MEDIUM_FIRM
Cool Planet Energy Systems,Cool Planet Energy Systems,26,Cool Planet - Official Site,27,,coolplanet.com/,27,1,2,0,0,5,341,0,1,0,1,103,FirmSize.EU_MEDIUM_FIRM
Intellectual Keystone Technology LLC,Intellectual Keystone Technology,32,"Intellectual Keystone Technology - McLean, VA",45,,ikt.us.com/,18,1,3,0,0,5,673,1,1,0,2,106,FirmSize.EU_MEDIUM_FIRM
SELMAN AND ASSOCIATES,SELMAN AND ASSOCIATES,21,"(Mud Logging Home) - Selman & Associates, Ltd. Geological ...",61,,selmanlog.com/,22,1,2,0,0,5,1116,0,1,0,1,107,FirmSize.EU_MEDIUM_FIRM
Sila Nanotechnologies,Sila Nanotechnologies,21,Sila Nanotechnologies - Official Site,37,,silanano.com/,21,1,2,0,0,5,1200,1,0,0,1,106,FirmSize.EU_MEDIUM_FIRM
Phoseon Technology,Phoseon Technology,18,Phoseon Technology - Official Site,34,,phoseon.com/,24,1,2,0,0,5,1005,1,0,0,1,105,FirmSize.EU_MEDIUM_FIRM
GED Intergrated Solution,GED Intergrated Solution,24,GEDUSA - Official Site,22,,gedusa.com/,22,1,1,0,0,5,519,1,0,0,1,111,FirmSize.EU_MEDIUM_FIRM
Swift Engineering,Swift Engineering,17,Swift Engineering - Official Site,33,,swiftengineering.com/,29,1,2,0,0,5,1279,0,1,0,1,107,FirmSize.EU_MEDIUM_FIRM
Triple Ring Technologies,Triple Ring Technologies,24,Triple Ring Tech - Official Site,32,,tripleringtech.com/,30,1,2,0,0,5,1375,1,0,0,1,109,FirmSize.EU_MEDIUM_FIRM
Kinestral Technologies,Kinestral Technologies,22,Kinestral - Official Site,25,,kinestral.com/,26,1,1,0,0,5,731,1,0,0,1,114,FirmSize.EU_MEDIUM_FIRM
Uniseal Solutions Inc.,Uniseal Solutions,17,"UniSeal Solutions, Intrinsic Material Technology",48,,unisealsolutions.com/,32,1,2,0,0,5,1400,0,0,1,1,111,FirmSize.EU_MEDIUM_FIRM
ADASA INC.,ADASA,5,adasa.com - Buy Long & Short Evening Dresses For Prom ...,57,,adasa.com/,18,1,1,0,0,5,13,1,0,0,1,120,FirmSize.EU_MEDIUM_FIRM
