firm name,frequency
Angiotech Pharmaceuticals (US),0
Toray Plastics (America),0
Western Digital (Fremont),0
AZ Electronic Materials (Luxembourg) S.A.R.L.,0
Avago Technologies General IP (Singapore) Pte. Ltd.,0
Biosense Webster (Israel) Ltd.,0
Butamax(TM) Advanced Biofuels LLC,0
MATERIALS ANALYSIS TECHNOLOGY (US) CORP.,0
NOVA Chemicals (International) S.A.,0
SAE Magnetics (HK) Ltd.,0
Semiconductor Manufacturing International (Shanghai) Corporation,0
VivaLnk Limited (Cayman Islands),0
