firm,para_order,num_words,main_topic,prob
ACACIA RESEARCH GROUP,0,0,-1,1.0
ACACIA RESEARCH GROUP,1,13,3,0.8143569109128634
ACACIA RESEARCH GROUP,2,23,0,0.7159702466632961
ACACIA RESEARCH GROUP,3,5,5,0.7257557931310221
ACACIA RESEARCH GROUP,4,17,3,0.9549037917728542
ACACIA RESEARCH GROUP,5,11,3,0.9503469788081451
ACACIA RESEARCH GROUP,6,11,3,0.9503469788081451
ACACIA RESEARCH GROUP,7,11,3,0.9503469788081451
NanoOncology,0,0,-1,1.0
NanoOncology,1,6,5,0.8680681552970674
NanoOncology,2,10,2,0.629597959203359
NanoOncology,3,9,2,0.9378644942985146
NanoOncology,4,8,2,0.3500362315582139
NanoOncology,5,9,5,0.9439275011315126
NanoOncology,6,8,5,0.8470986511423282
NanoOncology,7,8,1,0.4957755365919275
NanoOncology,8,9,5,0.8976870266134949
NanoOncology,9,8,1,0.6893131789822551
NanoOncology,10,26,0,0.6600603816644074
NanoOncology,11,22,5,0.9614233590674475
NanoOncology,12,5,0,0.8468220340544573
NanoOncology,13,34,0,0.552248209967778
NanoOncology,14,21,0,0.9356528737100951
NanoOncology,15,21,0,0.9416077459558255
NanoOncology,16,21,0,0.49933507577343295
NanoOncology,17,13,4,0.9500684901262468
NanoOncology,18,7,3,0.9307769442069683
Immunolight,0,0,-1,1.0
Immunolight,1,11,0,0.8243369488760899
Immunolight,2,32,1,0.5392703583308406
Immunolight,3,76,1,0.7166351751621525
Immunolight,4,82,0,0.7522613868499611
Immunolight,5,5,0,0.5573140603921373
Immunolight,6,7,5,0.8512626478575606
Immunolight,7,9,5,0.9439275011315126
Immunolight,8,9,5,0.30812097650876874
Lux Bio Group,0,0,-1,1.0
Lux Bio Group,1,23,1,0.4173743472490882
Lux Bio Group,2,22,2,0.7721178963040202
Lux Bio Group,3,38,2,0.7082770261280394
Lux Bio Group,4,17,0,0.5119530297798136
Magnolia Solar,0,0,-1,1.0
Magnolia Solar,1,20,0,0.5344714734893837
Magnolia Solar,2,21,5,0.7642699323508637
Magnolia Solar,3,75,5,0.7988203826680267
Magnolia Solar,4,53,2,0.463137397883455
Magnolia Solar,5,50,5,0.6619625251573606
Magnolia Solar,6,32,0,0.5804719170855742
Magnolia Solar,7,20,5,0.6396282378727637
Magnolia Solar,8,57,0,0.5184342535419637
Magnolia Solar,9,23,2,0.9003878663429349
Magnolia Solar,10,51,2,0.7297405821941163
Magnolia Solar,11,15,2,0.8222492486904315
Magnolia Solar,12,37,2,0.623199462709732
Magnolia Solar,13,15,0,0.7919646421489457
Magnolia Solar,14,22,2,0.5559224786628543
Magnolia Solar,15,28,2,0.9775578620968723
Magnolia Solar,16,21,0,0.5843866491066638
Magnolia Solar,17,14,2,0.9479611046135686
Magnolia Solar,18,19,2,0.9723982976134686
Magnolia Solar,19,11,2,0.713363818775579
Magnolia Solar,20,37,0,0.9605395129471721
Magnolia Solar,21,10,0,0.9611863855420203
Magnolia Solar,22,14,5,0.8642590998403908
Magnolia Solar,23,7,2,0.6879759697341071
Magnolia Solar,24,9,0,0.9380661482830115
Magnolia Solar,25,32,0,0.984183388030921
Magnolia Solar,26,24,0,0.9261839226268666
Magnolia Solar,27,20,0,0.8902583694024432
Magnolia Solar,28,37,0,0.8401426219903722
Magnolia Solar,29,29,0,0.9854339176659088
Magnolia Solar,30,5,0,0.7022587087034139
Magnolia Solar,31,6,2,0.825643052111237
Magnolia Solar,32,22,2,0.5956189875455509
Magnolia Solar,33,67,2,0.8350985959647939
Magnolia Solar,34,66,2,0.6884303091213039
Magnolia Solar,35,49,0,0.823734990858794
Magnolia Solar,36,52,0,0.8536239309012978
Magnolia Solar,37,69,0,0.9172437328134295
Magnolia Solar,38,53,2,0.9485221391789984
Magnolia Solar,39,38,0,0.9770438506117971
Magnolia Solar,40,49,0,0.7464685248965612
Magnolia Solar,41,14,0,0.9060293510870929
Magnolia Solar,42,11,0,0.9334318509528876
Mattson Technology,0,0,-1,1.0
Mattson Technology,1,44,2,0.8608229732348017
Mattson Technology,2,42,0,0.8148017414785567
Mattson Technology,3,60,0,0.47525949577554655
Mattson Technology,4,43,0,0.5870775280040547
Mattson Technology,5,10,0,0.9543733158459425
Mattson Technology,6,18,0,0.8486155623667341
Mattson Technology,7,8,0,0.9437767387884253
Mattson Technology,8,19,0,0.9129905366389062
Mattson Technology,9,13,2,0.7500095772782914
Mattson Technology,10,11,0,0.9487337409388849
Mattson Technology,11,34,0,0.988560492571025
Mattson Technology,12,13,0,0.9644294562918674
Mattson Technology,13,20,0,0.850669109693136
Mattson Technology,14,9,0,0.9380661482830115
Mattson Technology,15,10,0,0.9543733158459425
Mattson Technology,16,18,0,0.9661993740095182
Mattson Technology,17,6,0,0.926769250966265
Mattson Technology,18,8,0,0.9566792482811138
Mattson Technology,19,8,0,0.9566792482811138
Mattson Technology,20,7,0,0.9435747584057718
Mattson Technology,21,8,1,0.482873027099239
Micro Cooling Concepts,0,0,-1,1.0
