,firm,firm_length,url,name_clnd,name_length,hit_url,hit_url_length,rank,matches,public,acquired_merged,outcome,Votes
0,honeywell international inc.,9,honeywell.com/,Honeywell - Official Site,25,honeywell.com/,26,1,1,0,0,1,10
6,imds corporation,4,imds-ohio.com/,IMDS Corporation,16,imds-ohio.com/,25,1,1,0,0,1,10
13,"ziptronix, inc.",9,xperi.com/,Invensas,8,invensas.com/,25,2,0,0,1,0,2
20,"dcg systems, inc.",11,fei.com/,Electrical Failure Analysis | Thermo Fisher Scientific,54,fei.com/products/electrical-failure-analysis/,57,1,0,0,0,0,3
29,quallion llc,8,quallion.com/,EnerSys Advanced Systems: Powering Submarines to Satellites,59,enersys.com/advancedsystems/,40,2,0,0,0,0,2
38,alliant techsystems inc.,19,northropgrumman.com/Pages/default.aspx,Vista Outdoor - Official Site,29,vistaoutdoor.com/,25,10,0,0,1,0,1
39,sensor-kinesis corporation,14,sensor-kinesis.com/,Sensor-Kinesis Corp. | The Leader in Advanced Biosensor ...,59,sensor-kinesis.com/,26,1,2,0,0,1,10
46,epcot crenshaw corporation,14,epcotcrenshaw.com/,Epcot | Crenshaw,16,epcotcrenshaw.com/,29,1,2,1,0,1,8
53,gen-probe incorporated,9,hologic.com/,Hologic - Official Site,23,hologic.com/,24,1,0,0,0,1,10
61,"lexmark international, inc.",7,lexmark.com/en_us.html,"Print, secure and manage your information | Lexmark United ...",62,lexmark.com/en_us.html,34,1,1,0,0,1,6
68,"molecular transfer, inc.",18,vitascientific.com/molecular-transfer-inc,"Molecular Transfer, Inc. - VitaScientific.com",45,vitascientific.com/molecular-transfer-inc,53,1,2,0,1,1,4
76,lifecell corporation,8,acelity.com/home,Allergan Completes LifeCell Acquisition - Allergan,50,allergan.com/news/news/allergan-successfully-completes-lifecell-acquisiti,85,1,1,0,1,0,1
82,"asm america, inc.",11,asm.com/,ASM International - Official Site,33,asm.com/,19,1,1,0,0,1,10
89,"fenwal, inc.",6,fresenius-kabi.com/us/,Kidde Fenwal,12,kidde-fenwal.com/,25,2,1,0,0,0,6
94,"nantero, inc.",7,nantero.com/,Nantero NRAM - Memory technology that is incredibly fast!,57,nantero.com/,19,1,1,0,0,1,9
101,"princeton optronics, inc.",19,princetonoptronics.com/,Applications - ams,18,ams.com/applications,28,1,0,0,0,0,10
110,"ade, inc.",3,ade-usa.com/,ADEKA,5,adeka.co.jp/en/,27,1,1,0,0,0,10
119,"advanced bionics, llc",16,advancedbionics.com/content/advancedbionics/us/en/home.html,Advanced Bionics - Official Site,32,advancedbionics.com/,28,1,2,0,0,0,10
127,"attagene, inc.",8,attagene.com/,Attagene,8,attagene.com/,24,1,1,0,0,1,10
135,avery dennison corporation,14,averydennison.com/,Avery Dennison - Official Site,30,averydennison.com/,29,1,2,0,0,1,10
142,"incube labs, llc",11,incubelabs.com/,InCube Labs - Official Site,27,incubelabs.com/,27,1,2,0,0,1,9
149,"element one, inc.",11,e1lab.com/,ELEMENT ONE - Monitor Factory,29,elementonescreens.com/,29,1,2,0,0,0,10
158,optodot corporation,7,optodot.com/,Optodot | Separators with Superior Functionality and Heat ...,61,optodot.com/,19,1,1,0,0,1,10
164,"integrated dna technologies, inc.",27,idtdna.com/,Integrated DNA Technologies - Official Site,43,idtdna.com/,22,1,3,0,0,1,10
169,"ascent solar technologies, inc.",25,ascentsolar.com/,Ascent Solar - Official Site,28,ascentsolar.com/,27,1,2,0,0,1,10
176,"everspin technologies, inc.",21,everspin.com/,Everspin Technologies - Official Site,37,everspin.com/,24,1,2,1,0,1,8
183,"biodelivery sciences international, inc.",20,bdsi.com/,"BDSI - BioDelivery Sciences International, Inc.",47,bdsi.com/,17,1,2,0,0,1,10
191,"envision solar international, inc.",14,envisionsolar.com/,Envision Solar,14,envisionsolar.com/,29,1,2,0,0,1,10
199,finisar corporation,7,finisar.com/,Finisar - Official Site,23,finisar.com/,24,1,1,0,0,1,10
207,luna innovations incorporated,16,lunainc.com/,Luna - Official Site,20,lunainc.com/,19,1,1,0,0,1,10
214,"selecta biosciences, inc.",19,selectabio.com/,"Selecta Biosciences, Inc. - Official Site",41,selectabio.com/,22,1,2,0,0,1,10
222,"achaogen, inc.",8,achaogen.com/,Achaogen - Official Site,24,achaogen.com/,24,1,1,0,0,1,10
230,"aerovironment, inc.",13,avinc.com/,"AeroVironment, Inc. | Unmanned Aircraft Systems & Tactical ...",62,avinc.com/,21,1,1,0,0,1,10
239,"avinger, inc.",7,avinger.com/,Avinger - Official Site,23,avinger.com/,19,1,1,0,0,1,10
246,"dicerna pharmaceuticals, inc.",23,dicerna.com/,Dicerna Pharmaceuticals | Dicerna Pharmaceuticals,49,dicerna.com/,19,1,2,0,0,1,10
255,"exelixis, inc.",8,exelixis.com/,Exelixis - Official Site,24,exelixis.com/,25,1,1,0,0,1,11
262,"kvh industries, inc.",14,kvh.com/,"KVH Industries, Inc. - Mobile Satellite, Guidance, and ...",58,kvh.com/,20,1,2,0,0,1,10
270,"macrogenics, inc.",11,macrogenics.com/,MacroGenics - Official Site,27,macrogenics.com/,27,1,1,0,0,1,9
276,"novavax, inc.",7,novavax.com/,Novavax - Official Site,23,novavax.com/,19,1,1,0,1,1,8
284,"sarepta therapeutics, inc.",20,sarepta.com/,Sarepta Therapeutics - Official Site,36,sarepta.com/,24,1,2,0,0,1,10
291,becton dickinson and company,28,bd.com/,Becton Dickinson - Official Site,32,bd.com/,19,1,2,1,0,1,7
