ACACIA RESEARCH GROUP LLC,acaciaresearch.com/
Ablexis,ablexis.com/
Alliance for Sustainable Energy,allianceforsustainableenergy.org/
CyboEnergy,cyboenergy.com/
EMD Technologies Inc.,emd-technologies.com/
Energen,energen.com/
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/
Ferro Corporation,ferro.com/
GOAL ZERO LLC,goalzero.com/
Genesco Inc.,genescowindowproducts.com/
Gilead Connecticut,gileadcs.org/
Glucan Biorenewables LLC,glucanbio.com/
Immunolight,immunolight.com/
Intel Corporation,intel.com/content/us/en/homepage.html
Iogen Corporation,iogen.ca/
Kinetech Power Company LLC,kinetechpower.com/
Lux Bio Group,luxbiogroup.com/
Magnolia Solar,magnoliasolar.com/
Matrix Genetics,lumenbioscience.com/
Mattson Technology,mattson.com/
NanoOncology,iinano.org/nanooncology
Nanoquantum Sciences,nanoquantum.com/
Pharmatrophix,pharmatrophix.com/
Plant Sensory Systems,plantsensorysystems.com/
Ticona LLC,celanese.com/engineered-materials.aspx
