organization,organization_clnd,thes_types, employees
"AFMODEL, LLC.",AFMODEL,Corporate,
"Aadigen, LLC",Aadigen,Corporate,
"Adlens Beacon, Inc.",Adlens Beacon,Corporate,
"Agienic, Inc.",Agienic,Corporate,
"Allertein Therapeutics, LLC",Allertein Therapeutics,Corporate,
"Arch Biosurgery, Inc.",Arch Biosurgery,Corporate,
"Areesys Technologies, Inc.",Areesys Technologies,Corporate,
"Avantor Performance Materials, Inc.",Avantor Performance Materials,Corporate,
"Bechtel Hydrocarbon Technology Solutions, Inc.",Bechtel Hydrocarbon Technology Solutions,Corporate,
"Bestway, Inc.",Bestway,Corporate,
"Biogenic Reagents Ventures, LLC",Biogenic Reagents Ventures,Corporate,
"Biotechnology Foundation, Inc.",Biotechnology Foundation,Corporate,
"Biozoom Technologies, Inc.",Biozoom Technologies,Corporate,
"CA, Inc.",CA,Corporate,
"CellPrint IP Holding, LLC",CellPrint IP Holding,Corporate,
"Clean Energy Labs, LLC",Clean Energy Labs,Corporate,
"Fezza Family Properties, LLC",Fezza Family Properties,Corporate,
"Flextronics AP, LLC",Flextronics AP,Corporate,
"GM Global Technology Operations, Inc.",GM Global Technology Operations,Corporate,
"GOSOLARLIFE, LLC",GOSOLARLIFE,Corporate,
"Gilead Biologics, Inc.",Gilead Biologics,Corporate,
"IDEA TREE, LLC",IDEA TREE,Corporate,
"Immunopath Profile, Inc.",Immunopath Profile,Corporate,
"Industrial Science & Technology Network, Inc.",Industrial Science & Technology Network,Corporate,
"Interez, Inc.",Interez,Corporate,
"Kiverdi, Inc.",Kiverdi,Corporate,
"LG Bionano, LLC",LG Bionano,Corporate,
"MCI, Inc.",MCI,Corporate,
"MIETAMARK GENETICS, INC.",MIETAMARK GENETICS,Corporate,
"NANO CELL SYSTEMS, INC.",NANO CELL SYSTEMS,Corporate,
"NANOPHTHALMICS, LLC",NANOPHTHALMICS,Corporate,
"Nanocopocia, LLC",Nanocopocia,Corporate,
"NovaSolix, Inc.",NovaSolix,Corporate,
"Novus Technology, Incorporated",Novus Technology,Corporate,
"POSiFA MICROSYSTEMS, INC.",POSiFA MICROSYSTEMS,Corporate,
"Peytant Solutions, Inc.",Peytant Solutions,Corporate,
"Professional Compounding Centers of America, Ltd",Professional Compounding Centers of America,Corporate,
"QUALCOMM MEMS Technologies, Inc.",QUALCOMM MEMS Technologies,Corporate,
"QUSWAMI, INC.",QUSWAMI,Corporate,
"Rio Grande Valley Sugar Growers, Inc.",Rio Grande Valley Sugar Growers,Corporate,
"Schneider Electric Solar Inverters USA, Inc.",Schneider Electric Solar Inverters USA,Corporate,
"Schneider Electric USA, Inc.",Schneider Electric USA,Corporate,
"Selkermetrics, LLC",Selkermetrics,Corporate,
"Shubin, Inc.",Shubin,Corporate,
"Siemens Industry, Inc.",Siemens Industry,Corporate,
"Sinewatts, Inc.",Sinewatts,Corporate,
"The Charles Stark Draper Laboratory, Inc.",The Charles Stark Draper Laboratory,Corporate,
"Toshiba America Electronic Components, Inc.",Toshiba America Electronic Components,Corporate,
"V35A Enterprises, LLC",V35A Enterprises,Corporate,
"VMware, Inc.",VMware,Corporate,
"Warsaw Orthopedic, Inc.",Warsaw Orthopedic,Corporate,
"Western Digital Technologies, Inc.",Western Digital Technologies,Corporate,
"kSep Systems, LLC",kSep Systems,Corporate,
"nanoComposix, Inc.",nanoComposix,Corporate,
Achushnet Company,Achushnet Company,Corporate,
Advanced Aqua Group,Advanced Aqua Group,Corporate,
Avtaec Limited,Avtaec Limited,Corporate,
Bakersun,Bakersun,Corporate,
Bayer Cropscience AG,Bayer Cropscience AG,Corporate,
Brother Kogyo Kabushiki Kaisha,Brother Kogyo Kabushiki Kaisha,Corporate,
ConocoPhillips Company,ConocoPhillips Company,Corporate,
EPCOS AG,EPCOS AG,Corporate,
GREENFIELD MASTER IPCO LIMITED,GREENFIELD MASTER IPCO LIMITED,Corporate,
Kabushiki Kaisha Eighting,Kabushiki Kaisha Eighting,Corporate,
Nokia Technologies Oy,Nokia Technologies Oy,Corporate,
SHOW ME ENERGY,SHOW ME ENERGY,Corporate,
Solaris Holdings Limited,Solaris Holdings Limited,Corporate,
The Jackson Laboratory,The Jackson Laboratory,Corporate,
Toshiba Tec Kabushiki Kaisha,Toshiba Tec Kabushiki Kaisha,Corporate,
Toyota Jidosha Kabushiki Kaisha,Toyota Jidosha Kabushiki Kaisha,Corporate,
VivaLnk Limited (Cayman Islands),VivaLnk Limited (Cayman Islands),Corporate,
Xenogenic Development Limited Liability Company,Xenogenic Development Limited Liability Company,Corporate,
"Da Yu Enterprises, L.L.C.",Da Yu Enterprises,Corporate,
"SonoGene, L.L.C.",SonoGene,Corporate,
"GR Intellectual Reserve, LLC",GR Intellectual Reserve,Corporate,1
"Advanced Cardiovascular Systems, Inc.",Advanced Cardiovascular Systems,Corporate,2
"Advanced Fusion Technologies, Inc.",Advanced Fusion Technologies,Corporate,2
"Cardiac Pacemakers, Inc.",Cardiac Pacemakers,Corporate,2
"CyboEnergy, Inc.",CyboEnergy,Corporate,2
"Dogwood Pharmaceuticals, Inc.",Dogwood Pharmaceuticals,Corporate,2
"ENERGY ENGINEERING SYSTEMS, LLC",ENERGY ENGINEERING SYSTEMS,Corporate,2
"Energen, Inc.",Energen,Corporate,2
"FULL CIRCLE BIOCHAR, INC.",FULL CIRCLE BIOCHAR,Corporate,2
"Gilead Connecticut, Inc.",Gilead Connecticut,Corporate,2
