year(min(p.`date`)),lookup_firm
2014,"22nd Century Limited"
1999,"3M Innovative Properties Company"
2008,"540 Grid Solutions"
1984,"646840 Alberta"
1984,"AAC Technologies Pte"
2016,Aadigen
2000,"ABB AB"
1994,"ABB Research"
1989,"ABB Technology"
2007,"Abbott Cardiovascular Systems"
2014,"Abbott Molecular"
2009,"Abbott Point of Care"
1981,AbbVie
2013,"Abengoa Bioenergy New Technologies"
2007,"ABL IP Holding"
2016,Ablexis
2008,"Abraxis Bioscience"
1979,AC
2012,"ACACIA RESEARCH GROUP"
2002,"Access Business Group"
1981,AccuRay
2008,"Accuri Cytometers"
2003,ACell
1976,Acer
1976,"Acushnet Company"
1989,"Acorn Technologies"
1989,ACUCELA
2015,"Adaptive Biotechnologies Corp"
2013,adaptiveARC
2002,ADASA
1980,Adeka
1982,"Adhesives Research"
1992,"adidas AG"
2012,"Adlens Beacon"
2003,"ADMA Products"
1991,"Adobe Systems"
1978,Adtran
2000,"Advanced Analogic Technologies"
2016,"Advanced Aqua Group"
1983,"Advanced Cardiovascular Systems"
1998,"Advanced Cell Technology"
2015,"ADVANCED CERAMIC FIBERS"
1995,"Advanced Fusion Technologies"
2016,"ADVANCED INNOVATION CENTER"
2015,"Advanced Silicon Group"
1976,"Advanced Technology Materials"
1990,"Advanced Water Technology"
2011,Adynxx
1998,Aerogen
1976,"Aerosol Dynamics"
2016,AFMODEL
2012,"AG ENERGY SOLUTIONS"
2008,"AGC Flat Glass North America"
2014,"Agena Bioscience"
1976,"AGFA-GEVAERT NV"
2010,Agienic
1990,"Agilent Technologies"
1983,Agrigenetics
2010,Agrivida
2001,AgroFresh
1976,"AIR PRODUCTS AND CHEMICALS"
2015,"Ajinomoto Althea"
2010,"Akron Polymer Systems"
2007,"Alcatel Lucent"
2009,"Alcon Research"
1982,Alcotek
2012,"Alencon Acquisition Co"
1996,"Alexion Pharmaceuticals"
2010,"ALF OPERATING PARTNERS"
2015,"Algenol Biotech"
2017,"ALGETERNAL TECHNOLOGIES"
2014,"All Power Labs"
2012,"Allertein Therapeutics"
2008,"Alliance for Sustainable Energy"
2011,"Allison Transmission"
2008,"Alnylam Pharmaceuticals"
2006,"Alpha and Omega Semiconductor"
1989,"ALSTOM Technology"
2012,"AltaRock Energy"
1998,"Altex Technologies"
2006,Altivera
2002,"Amazon Technologies"
2012,Ambature
2015,Amberwave
1989,"American Air Liquide"
2012,"AMERICAN BIO ENERGY CONVERTING CORP"
1993,"American Piledriving Equipment"
2016,"American Science and Technology"
2006,"Amgen Fremont"
1985,Amgen
2009,"Amicus Therapeutics"
1989,"Amkor Technology"
2008,"AMO Wavefront Sciences"
2013,"Ampio Pharmaceuticals"
2005,Amprius
2003,AMPT
1988,"Amtech Systems"
1976,"Analog Devices"
2000,Andritz
2017,Aneeve
1976,Anelva
2016,"Angaza Design"
1999,"Angiotech Pharmaceuticals (US)"
2016,"Angstron Materials"
2016,Anlinx
