"lookup_firm","mean_cd2017y"
"22nd Century Limited",-0.00133511428571429
"3M Innovative Properties Company",0.00131920280004747
"540 Grid Solutions",0
"646840 Alberta",0.0376510503100775
"AAC Technologies Pte",0.070239776
"Aadigen",0.333333333333333
"ABB AB",0.0600004084358974
"ABB Research",0.0728538387526427
"ABB Technology",0.0396084161562179
"Abbott Cardiovascular Systems",0.0195990046565934
"Abbott Molecular",-0.00285691875
"Abbott Point of Care",-0.00496518599285714
"AbbVie",0.00297169398301887
"Abengoa Bioenergy New Technologies",-0.001150119375
"ABL IP Holding",0.0135378555972222
"Ablexis",0
"Abraxis Bioscience",-0.0125975681034483
"AC",0.0999175887252747
"ACACIA RESEARCH GROUP",-6.9713e-05
"Access Business Group",0.00798178651851852
"AccuRay",0.0382797726542553
"Accuri Cytometers",-0.0176813698064516
"ACell",-0.0130626625625
"Acer",0.0762139195879699
"Acorn Technologies",0.0775571128205128
"ACUCELA",0.00150094090909091
"Acushnet Company",0.00918448060817182
"Adaptive Biotechnologies Corp",-0.00117752133333333
"adaptiveARC",0.00439040571428571
"ADASA",0.00391383375
"Adeka",0.101756650676157
"Adhesives Research",0.03345559925
"adidas AG",-0.0107868719411765
"Adlens Beacon",-0.00217311
"ADMA Products",0.0927856428571429
"Adobe Systems",0.0592549931819359
"Adtran",0.0656163567446352
"Advanced Analogic Technologies",0.0195940452601156
"Advanced Aqua Group",0
"Advanced Cardiovascular Systems",0.00432198159075908
"Advanced Cell Technology",0.154898051
"ADVANCED CERAMIC FIBERS",-0.037365525
"Advanced Fusion Technologies",0.08827279
"ADVANCED INNOVATION CENTER",0
"Advanced Silicon Group",-0.25
"Advanced Technology Materials",0.0460642641070932
"Advanced Water Technology",0.140462985714286
"Adynxx",-0.05618624
"Aerogen",0.0454407884246575
"Aerosol Dynamics",0.147906607142857
"AFMODEL",0
"AG ENERGY SOLUTIONS",-0.00925926666666667
"AGC Flat Glass North America",0.0294228215384615
"Agena Bioscience",0
"AGFA-GEVAERT NV",0.298567864210316
"Agienic",0.0170226533333333
"Agilent Technologies",0.058183797475888
"Agrigenetics",0.0559510106401384
"Agrivida",-0.01002371
"AgroFresh",-0.02118055
"AIR PRODUCTS AND CHEMICALS",0.108940797007744
"Ajinomoto Althea",-0.015625
"Akron Polymer Systems",0.00403965333333333
"Alcatel Lucent",0.0979461589059249
"Alcon Research",0.0214399069305994
"Alcotek",0.0466488052
"Alencon Acquisition Co",0.003549464
"Alexion Pharmaceuticals",0.0776114321960784
"ALF OPERATING PARTNERS",0.004152825
"Algenol Biotech",-0.00582010555555556
"ALGETERNAL TECHNOLOGIES",0
"All Power Labs",-0.02722485
"Allertein Therapeutics",0.00175782
"Alliance for Sustainable Energy",0.0237917471038251
"Allison Transmission",0.00354662105820106
"Alnylam Pharmaceuticals",0.0668442871630901
"Alpha and Omega Semiconductor",0.0851527285679012
"ALSTOM Technology",0.0249191014536158
"AltaRock Energy",0.00223214285714286
"Altex Technologies",0.127387067142857
"Altivera",0.0156357583333333
"Amazon Technologies",0.0801874768041428
"Ambature",0.0215389
"Amberwave",0
"American Air Liquide",0.0317466580368098
"AMERICAN BIO ENERGY CONVERTING CORP",-0.00892855
"American Piledriving Equipment",-0.0874815466666667
"American Science and Technology",0
"Amgen",0.0858805070153722
"Amgen Fremont",0.0116768463802817
"Amicus Therapeutics",0.0325445355555556
"Amkor Technology",0.0202496376093929
"AMO Wavefront Sciences",0.00114528487179487
"Ampio Pharmaceuticals",-0.00350214117647059
"Amprius",0.0436221721212121
"AMPT",-0.0295080669565217
"Amtech Systems",0.00748685153333333
"Analog Devices",0.0779855158277397
"Andritz",0.0223080026315789
"Aneeve",0
"Anelva",0.105537606982949
"Angaza Design",0
"Angiotech Pharmaceuticals (US)",-0.00161417112
"Angstron Materials",0
"Anlinx",0
"Annam Biosciences",0
"Ansun Biopharma",0.01141422
"Antaya Technologies",0.0128481573170732
"Anterios",0.0466386333333333
"API Intellectual Property Holdings",0.0417299187096774
"Apple",0.0332851342803738
"Applied Biosystems",0.0446999783491379
"Applied Genetic Technologies",-0.00635966
"Applied Materials",0.027165976580129
"APPLIED MATERIALS ISRAEL",0.0246865214741036
"Applied Membrane Technologies",0.158643997142857
"Applied NanoStructured Solutions",-0.007442293
"Applied Nanostructures",0.0179486666666667
"Applied Optoelectronics",0.0323332318367347
"APPLIED STEMCELL",0
"APPLIED SUNSHINE",0
"ARBOR THERAPEUTICS",-0.0090909
"Arch Biosurgery",0
"Archer Daniels Midland Company",0.0732571605789474
"Arcturus Therapeutics",0
"Areesys Technologies",0
"Arisaph Pharmaceuticals",0
"Arkema",0.0350855473454545
"Arkival Technology Corp",-0.333333333333333
"Armageddon Energy",-0.1
"Arpin Renewable Energy",0.0666667
"Arrowhead Center",0.0124617216666667
"Asahi Kasei Kabushiki Kaisha",0.114892281847291
"ASCENT SOLAR TECHNOLOGIES",0.00808071176470588
"Aseptia",0.0686240904347826
"ASM America",0.000147875406451613
"ASM IP HOLDING BV",-0.0239236110416667
"ASM IP Holdings",0
"ASML Netherlands BV",0.0371793680067785
"Astech",0.0466118536363636
"AstenJohnson",0.0290739879012346
"Astex Pharmaceuticals",-0.00402062909090909
"ASTUTE MEDICAL",0.0145906920833333
"AT&T",0.145697092407186
"ATC Technologies",0.0922458474477172
"ATI Technologies ULC",0.0571658614021102
"Atleisure",0
"Atom Nanoelectronics",0
"ATOMERA",0
"Atomic Energy Council-Institute of Nuclear Energy Research",0.0489454597986577
"Atonometrics",0.275
"Atotech Deutschland",0.0567107578461538
"Atrium Medical",0.0199030446923077
"ATTOSTAT",0
"aTyr Pharma",-0.054207486440678
"Aurora Alage",-0.013864411
"Aurrion",-0.00976136282051282
"Aushon Biosystems",-0.00334366142857143
"Auterra",-0.0323712941176471
"Autonomic Materials",0
"Avago Technologies General IP (Singapore) Pte",0.0223322290796686
"Avalanche Technology",0.207137412177778
"Avant Garde Therapeutics & Technologies",-0.0045662
"Avantor Performance Materials",0.020615674375
"Avello Bioenery",0.052869425
"Avertech",0.165918017241379
"Avery Dennison",0.0246254036516652
"AVI BioPharma",0.0849904018367347
"AVOGY",0.192270613157895
"Avon Products",0.102319125449102
"Avtaec Limited",0.0982196588235294
"AxioMx",0
"AZ Electronic Materials (Luxembourg) SARL",0.00538238095238095
"Babcock Power Services",-0.00607877173913043
"BAE Systems Information and Electronic Systems Integration",0.0488857872513417
"Baker Hughes",0.014724770726787
"Bakersun",0
"Banpil Photonics",0.0583503714285714
"Basell Polyolefine",0.0446445328850856
"BASF",0.0981884438929552
"BASF Coatings",0.071088437884131
"BASF Enzymes",-0.00175438666666667
"BASF Plant Science",0.0973328061111111
"BASF SE",0.0348708324203822
"Battelle Energy Alliance",0.00876003954381443
"Battelle Memorial Institute",0.128207013866032
"Bausch & Lomb",0.0871457086191038
"BAXALTA",-0.00675052027972028
"Baxter",0.00985501032694248
"Baxter Healthcare SA",0.00633622427260274
"Bayer Cropscience AG",0.0925699462831858
"Bayer Materialscience",0.0196657842510699
"BCE",0.0639207248994083
"Bechtel Hydrocarbon Technology Solutions",0
"Becton",-0.00923788
"Beijing BOE Display Technology Co",0.0388888888888889
"Bell Helicopter Textron",0.0325006568108108
"Bemis Company",0.233269138902439
"Bend Research",0.116864165510204
"BERKEN ENERGY",-0.0714285
"Beryllium Discovery Corp",0
"Bestway",-0.00950788571428572
"BG Negev Technologies and Applications",-0.013391375
"BHA Technologies",0.0782682992424242
"Bi-Modal",0.344940870588235
"Big Belly Solar",0
"Bigelow Aerospace",0.00682490391304348
"BIND Therapeutics",0.0756608423333333
"Bio-Rad Laboratories",0.0688507700547009
"Biocare Medical",-0.00188009222222222
"Biocon Limited",0.241802084761905
"Biogenic Reagents Ventures",0
"Biological Dynamics",-0.0447717714285714
"BioNano Genomics",0.009199935
"Bioneer",0.0537290808163265
"Biosense Webster (Israel)",0.0120632805810056
"Biosphere Medical",0.00926606979310345
"Biotechnology Foundation",0
"bioTheranostics",0.25
"Biotta",0
"Biozoom Technologies",-0.00462963
"Bird-B-Gone",-0.0900006857142857
"Bisco",0.0994847838947368
"Bitrode",0.0847171665789474
"BlackBerry Limited",0.0495247212212565
"BLANC VINEYARDS LLC",0
"Blue Sea Systems",0.0562586666666667
"Bluestar Silicones France",0.0509807848484848
