"lookup_firm","mean_cd_index","imputed"
"22nd Century Limited",-0.276086956521739,0
"3M Innovative Properties Company",0.000599433554711676,0
"540 Grid Solutions",-0.05,0
"646840 Alberta",0,0
"AAC Technologies Pte",0.0588235294117647,0
"Aadigen",1,0
"ABB AB",0,0
"ABB Research",0,0
"ABB Technology",-1,1
"Abbott Cardiovascular Systems",0.00111886767796106,0
"Abbott Molecular",0,0
"Abbott Point of Care",0,0
"AbbVie",-0.00455771435813213,0
"Abengoa Bioenergy New Technologies",0,0
"ABL IP Holding",-0.003,0
"Ablexis",-0.011801730920535,0
"Abraxis Bioscience",-0.032092888656173,0
"AC",-0.0823411371237458,0
"ACACIA RESEARCH GROUP",0,0
"Access Business Group",-0.0113636363636364,0
"AccuRay",0,0
"Accuri Cytometers",0,0
"ACell",-0.0139364382145856,0
"Acer",0,0
"Acorn Technologies",-0.0392782644972883,0
"ACUCELA",0.0588235294117647,0
"Acushnet Company",0.250199178770607,0
"Adaptive Biotechnologies Corp",0,0
"adaptiveARC",0,0
"ADASA",0.0234375,0
"Adeka",0,0
"Adhesives Research",0.0120672268907563,0
"adidas AG",-0.0974224268218879,0
"Adlens Beacon",0,0
"ADMA Products",0.0666666666666667,0
"Adobe Systems",0.166666666666667,0
"Adtran",0,0
"Advanced Analogic Technologies",1,0
"Advanced Aqua Group",0.000595238095238095,0
"Advanced Cardiovascular Systems",0.00775193798449612,0
"Advanced Cell Technology",0,0
"ADVANCED CERAMIC FIBERS",-0.0214285714285714,0
"Advanced Fusion Technologies",0,0
"ADVANCED INNOVATION CENTER",-0.0909090909090909,0
"Advanced Silicon Group",-0.122727272727273,0
"Advanced Technology Materials",0,0
"Advanced Water Technology",0,0
"Adynxx",-0.0684931506849315,0
"Aerogen",0,0
"Aerosol Dynamics",-0.0113636363636364,0
"AFMODEL",0,0
"AG ENERGY SOLUTIONS",0,0
"AGC Flat Glass North America",0,0
"Agena Bioscience",-0.0222222222222222,0
"AGFA-GEVAERT NV",0.511111111111111,0
"Agienic",0.00198807157057654,0
"Agilent Technologies",-0.00455235204855842,0
"Agrigenetics",0,0
"Agrivida",-0.0024390243902439,0
"AgroFresh",0.0377358490566038,0
"AIR PRODUCTS AND CHEMICALS",-0.0238095238095238,0
"Ajinomoto Althea",0,0
"Akron Polymer Systems",0,0
"Alcatel Lucent",0,0
"Alcon Research",0,0
"Alcotek",0,0
"Alencon Acquisition Co",-0.00398406374501992,0
"Alexion Pharmaceuticals",-0.0303030303030303,0
"ALF OPERATING PARTNERS",-0.02,0
"Algenol Biotech",-0.0907100682463001,0
"ALGETERNAL TECHNOLOGIES",0,0
"All Power Labs",-0.0166666666666667,0
"Allertein Therapeutics",0,0
"Alliance for Sustainable Energy",0.0605448284019713,0
"Allison Transmission",0,0
"Alnylam Pharmaceuticals",-0.0029296875,0
"Alpha and Omega Semiconductor",0.0573124002665653,0
"ALSTOM Technology",-0.00641025641025641,0
"AltaRock Energy",0,0
"Altex Technologies",0,0
"Altivera",-0.00169875424688562,0
"Amazon Technologies",-0.010752688172043,0
"Ambature",0.2,0
"Amberwave",0,0
"American Air Liquide",-0.0206185567010309,0
"AMERICAN BIO ENERGY CONVERTING CORP",0,0
"American Piledriving Equipment",0,0
"American Science and Technology",0,0
"Amgen",-0.0344827586206897,0
"Amgen Fremont",0,0
"Amicus Therapeutics",0.5,0
"Amkor Technology",0.333333333333333,0
"AMO Wavefront Sciences",0,0
"Ampio Pharmaceuticals",-0.00673400673400673,0
"Amprius",0,0
"AMPT",-0.0259800494553041,0
"Amtech Systems",0,0
"Analog Devices",-0.0118377911993097,0
"Andritz",0.375,0
"Aneeve",-0.142857142857143,0
"Anelva",-1,1
"Angaza Design",0.0151515151515152,0
"Angiotech Pharmaceuticals (US)",0,0
"Angstron Materials",0,0
"Anlinx",0,0
"Annam Biosciences",-1,1
"Ansun Biopharma",0,0
"Antaya Technologies",0.00210970464135021,0
"Anterios",0,0
"API Intellectual Property Holdings",0.190051020408163,0
"Apple",0.0666117564005853,0
"Applied Biosystems",-0.00273100551663173,0
"Applied Genetic Technologies",1,0
"Applied Materials",0.060320709202307,0
"APPLIED MATERIALS ISRAEL",0,0
"Applied Membrane Technologies",0,0
"Applied NanoStructured Solutions",0,0
"Applied Nanostructures",0,0
"Applied Optoelectronics",0.0115942028985507,0
"APPLIED STEMCELL",-1,1
"APPLIED SUNSHINE",-0.0158730158730159,0
"ARBOR THERAPEUTICS",-0.333333333333333,0
"Arch Biosurgery",-0.0217907142292177,0
"Archer Daniels Midland Company",0.0403409090909091,0
"Arcturus Therapeutics",-0.00087260034904014,0
"Areesys Technologies",-1,1
"Arisaph Pharmaceuticals",0,0
"Arkema",0.0188284050179211,0
"Arkival Technology Corp",0,0
"Armageddon Energy",0,0
"Arpin Renewable Energy",0.0114942528735632,0
"Arrowhead Center",0,0
"Asahi Kasei Kabushiki Kaisha",0,0
"ASCENT SOLAR TECHNOLOGIES",0.0526315789473684,0
"Aseptia",-0.00523560209424084,0
"ASM America",-0.00152091254752852,0
"ASM IP HOLDING BV",-0.140168395912633,0
"ASM IP Holdings",-1,1
"ASML Netherlands BV",0.15703211517165,0
"Astech",0,0
"AstenJohnson",0,0
"Astex Pharmaceuticals",-0.107377049180328,0
