patent_id,year,num_citations,weighted_cites_5yrs
9198874,2015,1,0
9198928,2015,1,0
9199288,2015,1,0
9199438,2015,1,0
9199842,2015,7,1
9199994,2015,3,1
9200056,2015,1,0
9200069,2015,16,57
9200070,2015,16,57
9200090,2015,1,0
9200236,2015,1,0
9200337,2015,6,12
9200621,2015,1,0
9200622,2015,1,0
9200799,2015,1,0
9200821,2015,1,0
9201013,2015,1,1
9201266,2015,3,0
9201280,2015,4,0
9201301,2015,1,0
9201442,2015,13,13
9201726,2015,2,0
9201990,2015,1,0
9202396,2015,1,0
9202556,2015,2,0
9202557,2015,2,0
9202575,2015,2,1
9202579,2015,4,2
9202693,2015,1,0
9202722,2015,2,0
9202762,2015,2,0
9202814,2015,2,0
9202827,2015,11,4
9202842,2015,1,0
9202867,2015,1,0
9202868,2015,1,0
9202891,2015,1,0
9202898,2015,1,0
9202915,2015,2,1
9202922,2015,6,2
9202925,2015,2,0
9202926,2015,3,1
9202927,2015,1,0
9202931,2015,3,0
9202938,2015,2,1
9202965,2015,1,0
9202987,2015,4,1
9202992,2015,1,0
9202996,2015,16,37
9202997,2015,1,0
9203023,2015,1,0
9203038,2015,1,0
9203041,2015,1,0
9203084,2015,1,0
9203215,2015,2,0
9203257,2015,1,0
9204624,2015,1,0
9205040,2015,2,1
9205177,2015,2,1
9206261,2015,2,0
9206262,2015,3,0
9206263,2015,3,0
9206359,2015,1,1
9206360,2015,2,0
9206365,2015,1,0
9206368,2015,1,0
9206377,2015,1,0
9206390,2015,16,57
9206401,2015,1,0
9206443,2015,1,0
9206444,2015,1,0
9206447,2015,5,0
9206448,2015,2,0
9206509,2015,1,0
9206680,2015,3,1
9206952,2015,2,0
9206969,2015,1,0
9206997,2015,1,0
9207053,2015,3,0
9207357,2015,2,0
9207385,2015,1,0
9207399,2015,4,2
9207504,2015,7,1
9207735,2015,2,0
9207993,2015,11,2
9208840,2015,19,11
9208848,2015,1,0
9208887,2015,2,4
9209023,2015,1,0
9209025,2015,1,0
9209026,2015,17,15
9209081,2015,1,0
9209099,2015,1,0
9209140,2015,1,0
9209191,2015,3,3
9209203,2015,2,0
9209256,2015,10,0
9209262,2015,1,0
9209267,2015,1,0
9209282,2015,1,0
9209283,2015,3,4
9209289,2015,2,0
9209306,2015,1,0
9209307,2015,9,1
9209311,2015,1,0
9209314,2015,5,0
9209323,2015,2,1
9209326,2015,1,0
9209332,2015,2,0
9209336,2015,3,0
9209360,2015,2,2
9209374,2015,1,0
9209375,2015,4,5
9209494,2015,1,0
9209596,2015,2,0
9209626,2015,1,0
9209650,2015,3,0
9209766,2015,1,0
9210835,2015,1,0
9211256,2015,1,0
9211419,2015,2,0
9211510,2015,1,0
9211527,2015,2,0
9211678,2015,4,0
9212056,2015,5,0
9212063,2015,1,0
9212104,2015,1,0
9212131,2015,2,1
9212191,2015,6,4
9212285,2015,1,0
9212294,2015,12,10
9212314,2015,1,0
9212374,2015,1,0
9212397,2015,1,0
9212829,2015,1,0
9212895,2015,1,0
9213191,2015,8,12
9213192,2015,8,12
9213206,2015,4,1
9213593,2015,1,0
9213929,2015,1,0
9213945,2015,1,0
9214280,2015,2,0
9214281,2015,1,0
9214333,2015,9,29
9214334,2015,15,47
9214349,2015,1,0
9214350,2015,1,1
9214354,2015,2,2
9214389,2015,1,0
9214429,2015,1,0
9214474,2015,14,4
9214526,2015,1,0
9214563,2015,9,1
9214566,2015,7,2
9214585,2015,1,0
9214594,2015,1,0
9214817,2015,1,0
9214832,2015,1,0
9214891,2015,8,1
9215779,2015,2,2
9216155,2015,1,0
9216211,2015,1,0
9216225,2015,1,0
9216398,2015,16,40
9216434,2015,4,0
9216546,2015,4,0
9216558,2015,1,0
9216908,2015,1,1
9216910,2015,2,0
9216916,2015,1,0
9217114,2015,1,0
9217143,2015,9,7
9217207,2015,1,0
9217210,2015,1,0
9217681,2015,1,0
9217758,2015,1,0
9218013,2015,1,0
9218035,2015,2,0
9218176,2015,2,0
9218245,2015,1,0
9218870,2015,1,0
9218888,2015,1,0
9218917,2015,2,0
9218955,2015,2,0
9218959,2015,1,0
9218966,2015,4,0
9219064,2015,4,0
9219066,2015,1,0
9219100,2015,2,0
9219134,2015,1,0
9219135,2015,2,0
9219145,2015,1,0
9219150,2015,1,0
9219154,2015,6,2
9219158,2015,3,0
9219160,2015,4,0
9219175,2015,1,0
9219349,2015,1,0
9219402,2015,2,1
9219991,2015,4,0
9220455,2015,2,1
9220689,2015,1,0
9220785,2015,1,0
9220788,2015,5,3
9221032,2015,1,0
9221056,2015,1,0
9221064,2015,2,1
9221136,2015,1,0
9221214,2015,1,0
9221707,2015,4,1
9221788,2015,6,0
9221888,2015,3,1
9221894,2015,1,0
9221919,2015,2,1
9221990,2015,1,0
9222028,2015,2,0
9222099,2015,1,0
9222103,2015,1,0
9222342,2015,1,0
9222702,2015,1,0
9222704,2015,2,0
9223167,2015,1,0
9224412,2015,1,0
9224609,2015,3,0
9224622,2015,1,0
9224631,2015,1,0
9224659,2015,1,0
9224667,2015,1,0
9224745,2015,2,2
9224749,2015,1,0
9224757,2015,1,1
9224808,2015,5,1
9224809,2015,1,0
9224810,2015,5,3
9224812,2015,1,0
9224816,2015,1,0
9224825,2015,2,1
9224838,2015,1,0
9224850,2015,1,0
9224851,2015,3,0
9224852,2015,6,4
9224871,2015,2,0
9224875,2015,2,1
9224914,2015,1,0
9224985,2015,1,0
9225003,2015,1,0
9225072,2015,1,0
9225199,2015,4,1
9225261,2015,2,1
9226361,2015,1,0
9226484,2016,3,0
9226890,2016,1,0
9226935,2016,1,0
9227393,2016,15,8
9227456,2016,4,4
9227790,2016,1,0
9227846,2016,1,0
9227941,2016,1,0
9228010,2016,1,0
9228072,2016,2,0
