"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","num_patents_all","pages","num_words","avg_words_per_page","first_year","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"Hon Hai Precision Industry Co.","Hon Hai Precision Industry Co","Hon Hai Precision Industry Co",29,"Foxconn - Official Site",23,NA,"foxconn.com/",23,2,1,0,0,3,618,1,1,0,2,503500,"FirmSize.LARGE_FIRM",0,17936,12,376119,31343.25,1995,122,1.34533898305085,1.95901639344262,2.17138715432649,3.64754098360656
"Tata Consultancy Services Limited","Tata Consultancy Services Limited","Tata Consultancy Services Limited",33,"Tata Consultancy Services | Technology, Digital Solutions ...",61,NA,"tcs.com/",20,1,3,0,0,5,1313,1,0,0,1,394998,"FirmSize.LARGE_FIRM",0,315,54,422808,7829.77777777778,2005,1,1.00634920634921,1,3.04761904761905,2
"Hitachi","Hitachi","Hitachi",7,"Hitachi - Official Site",23,NA,"hitachi.com/",23,1,1,0,0,5,613,1,1,1,3,319566,"FirmSize.LARGE_FIRM",0,38517,18,49138,2729.88888888889,1976,30,1.14884336786354,1.14814814814815,3.91006568528182,3.74074074074074
"GENERAL ELECTRIC COMPANY","GENERAL ELECTRIC COMPANY","GENERAL ELECTRIC COMPANY",24,"GE - Official Site",18,NA,"ge.com/",19,1,0,0,0,5,522,1,1,0,2,313000,"FirmSize.LARGE_FIRM",0,41692,19,325353,17123.8421052632,1976,26,1.00554063129617,1,2.62409748374871,4.15384615384615
"Samsung Electronics","Samsung Electronics","Samsung Electronics",19,"Electronics & Appliances: Tablets ... - Samsung US",50,NA,"samsung.com/us/",27,1,2,0,0,5,1144,1,0,0,1,308745,"FirmSize.LARGE_FIRM",0,2,60,2701683,45028.05,2001,NA,2,NA,2.5,NA
"Samsung Electronics Co.","Samsung Electronics Co","Samsung Electronics Co",22,"Electronics & Appliances: Tablets ... - Samsung US",50,NA,"samsung.com/us/",27,1,2,0,0,5,1145,1,1,1,3,308745,"FirmSize.LARGE_FIRM",0,72139,2,124022,62011,1984,260,1.03655442964277,1.12355212355212,2.91096355646738,4.23166023166023
"AT&T Corporation","AT&T","AT&T",4,"AT&T Official - Entertainment, TV, Wireless & Internet",54,NA,"att.com/",20,1,2,0,0,5,40,1,0,0,1,273210,"FirmSize.LARGE_FIRM",0,848,96,6140267,63961.1145833333,1976,2,1.02948113207547,1,2.30070754716981,3
"Sumitomo Electric Industries","Sumitomo Electric Industries","Sumitomo Electric Industries",28,"Sumitomo Electric Industries - Official Site",44,NA,"global-sei.com/",22,1,3,0,0,5,1258,1,0,1,2,240309,"FirmSize.LARGE_FIRM",0,6735,74,363859,4917.01351351351,1976,40,1.34758723088344,1.125,2.93170007423905,2.7
"WHATSAPP INC.","WHATSAPP","WHATSAPP",8,"WhatsApp - Official Site",24,NA,"whatsapp.com/",25,1,1,0,0,5,1438,0,0,1,1,240000,"FirmSize.LARGE_FIRM",0,18,69,11448986,165927.333333333,2014,1,1,1,2.38888888888889,2
"Siemens Aktiengesellschaft ","Siemens Aktiengesellschaft","Siemens Aktiengesellschaft",26,"Siemens - Official Site",23,NA,"siemens.com/global/en/home.html",43,1,1,0,0,4,1190,1,1,1,3,227750,"FirmSize.LARGE_FIRM",0,25875,21,1393503,66357.2857142857,1976,13,1.02117874396135,1.08333333333333,2.23107846926942,4
"Siemens Corporation","Siemens","Siemens",7,"Siemens - Official Site",23,NA,"siemens.com/global/en/home.html",43,1,1,0,0,2,1191,1,0,0,1,227750,"FirmSize.LARGE_FIRM",0,328,5,305343,61068.6,1977,1,1.1890243902439,1,2.83231707317073,2
"Siemens Energy","Siemens Energy","Siemens Energy",14,"Energy Products & Services - Siemens Global Website",51,NA,"siemens.com/global/en/home/products/energy.html",59,1,2,0,0,2,1192,1,0,0,1,227750,"FirmSize.LARGE_FIRM",0,1027,NA,NA,NA,2008,2,1.05452775073028,1,2.58033106134372,1
"Siemens Industry","Siemens Industry","Siemens Industry",16,"USA - siemens.com",17,NA,"siemens.com/us/en/home/products/automation.html",59,1,1,0,0,1,1193,0,1,0,1,227750,"FirmSize.LARGE_FIRM",0,664,198,4583252,23147.7373737374,2009,1,1.00753012048193,1,2.27710843373494,6
"Hewlett Packard Enterprise Development LP","Hewlett Packard Enterprise Development LP","Hewlett Packard Enterprise Development LP",41,"Hewlett Packard Enterprise (HPE)",32,NA,"hpe.com/us/en/home.html",35,1,3,0,0,1,610,1,0,0,1,212204,"FirmSize.LARGE_FIRM",0,731,115,2097527,18239.3652173913,2015,2,1.00136798905609,1,2.76744186046512,3
