"organization_clnd","mean_citations_3","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"22nd Century Limited",0,2014,21,2,1,1,1.95238095238095,2
"3M Innovative Properties Company",1.66666666666667,1999,10263,58,1.00974373964728,1.01754385964912,3.4654584429504,4.75438596491228
"AAC Technologies Pte",1,2012,206,1,1.03883495145631,1,1.95145631067961,1
"Aadigen",3,2016,5,1,1,1,3.4,4
"ABB AB",0,2000,380,1,1.00526315789474,2,2.78157894736842,4
"ABB Research",0,1994,974,1,1.01437371663244,1,3.15811088295688,3
"Abbott Cardiovascular Systems",1.5,2007,986,5,1.01521298174442,1,3.27079107505071,3.2
"Abbott Molecular",0,2014,36,2,1.13888888888889,1.5,4.02777777777778,5
"Abbott Point of Care",0,2009,170,1,1,1,3.55882352941176,2
"AbbVie",11.7692307692308,2012,612,14,1.15196078431373,1,7.52777777777778,6.71428571428571
"Abengoa Bioenergy New Technologies",0,2013,16,2,1,1,2.5,2
"ABL IP Holding",2,2007,519,1,1.00578034682081,1,2.90751445086705,2
"Ablexis",0,2016,2,1,1,1,2,2
"Abraxis Bioscience",3.5,2008,62,8,1.03225806451613,1,2.75806451612903,2.5
"AC",5.5,1979,520,4,1.06153846153846,1,2.73653846153846,3.25
"ACACIA RESEARCH GROUP",0,2012,3,1,1,1,2.66666666666667,4
"Access Business Group",0,2002,458,1,1.00436681222707,1,3.39301310043668,11
"AccuRay",0,1981,20,1,1.05,2,1.55,4
"Accuri Cytometers",0,2008,31,1,1,1,2.03225806451613,1
"ACell",1,2003,34,2,1,1,2,3
"Acer",0,1977,647,1,1.03400309119011,1,2.12210200927357,1
"Acorn Technologies",1,1988,86,5,1,1.66666666666667,2.48837209302326,6
"ACUCELA",0,1989,36,0,1.11111111111111,0,5.61111111111111,0
"adaptiveARC",0,2013,7,1,1,1,1.14285714285714,1
"ADASA",1,2009,40,1,1,1,3.25,3
"Adeka",0,1980,260,3,1.09615384615385,1.5,3.65384615384615,4
"Adhesives Research",0,1982,42,3,1,1,2.26190476190476,3.66666666666667
"adidas AG",4.66666666666667,1992,211,6,1,1,2.5781990521327,1
"Adlens Beacon",2,2012,27,1,1,1,6.2962962962963,2
"ADMA Products",0,2003,7,1,1,1,3,3
"Adobe Systems",0,2002,4,0,1,0,2.75,0
"Adtran",0,1988,427,0,1,0,2.39110070257611,0
"Advanced Analogic Technologies",1,2000,173,1,1.32369942196532,2,2.28323699421965,2
"Advanced Aqua Group",0,2016,2,3,1,1.5,2,3
"Advanced Cardiovascular Systems",1,1983,1528,1,1,1,2.65706806282722,3
"Advanced Cell Technology",0,1998,21,1,1,1,2.52380952380952,1
"ADVANCED CERAMIC FIBERS",1,2015,5,1,1,1,1.8,2
"Advanced Fusion Technologies",0,2014,1,0,1,0,2,0
"ADVANCED INNOVATION CENTER",0,2016,1,1,1,1,1,1
"Advanced Silicon Group",1,2015,8,2,1,1,5.625,5
"Advanced Technology Materials",0,1976,730,1,1.05342465753425,1,3.32465753424658,3
"Advanced Water Technology",0,1990,8,1,1,1,1.375,1
"Adynxx",1,2011,5,1,1,1,2.2,1
"Aerosol Dynamics",0,1976,15,1,1.26666666666667,1,3.33333333333333,3
"AFMODEL",0,2016,1,1,1,1,2,2
"AGC Flat Glass North America",0,2008,50,1,1.7,1,2.68,2
"Agena Bioscience",1,2014,12,1,1,1,2.5,2
"AGFA-GEVAERT NV",1,1976,2561,3,1.00507614213198,1,2.74189769621242,2.33333333333333
"Agilent Technologies",0,1990,4334,1,1.01776649746193,1,2.2365020766036,3
"Agrigenetics",0,1998,315,13,1.00634920634921,1,1.81269841269841,2.38461538461538
"Agrivida",0,2010,19,3,1.05263157894737,1.5,3.36842105263158,5.5
"AgroFresh",0,2001,15,1,1,1,2.8,1
"AIR PRODUCTS AND CHEMICALS",0,1976,3016,3,1.01624668435013,1,2.86003316749585,4
"Ajinomoto Althea",0,2015,4,1,1,1,5.25,3
"Akron Polymer Systems",0,2010,20,1,1.05,1,7.1,6
"Alcatel Lucent",0,2007,4612,1,1.01084363478638,1,2.59574929516374,2
"Alcon Research",0,2009,334,1,1.01197604790419,1,2.6497005988024,4
"Alcotek",0,1984,23,0,1.1304347826087,0,1.78260869565217,0
"Alexion Pharmaceuticals",0,1992,232,1,1.0301724137931,1,3.20258620689655,3
"Algenol Biotech",2,2015,21,6,1.0952380952381,1,5.28571428571429,5.16666666666667
"ALGETERNAL TECHNOLOGIES",0,2017,1,1,1,1,4,4
"All Power Labs",1,2014,7,1,1,1,2.71428571428571,5
"Allertein Therapeutics",0,2012,5,1,1.4,1,3.8,3
"Alliance for Sustainable Energy",3.33333333333333,2008,198,17,1.15656565656566,1.26666666666667,4.02020202020202,3.86666666666667
"Allison Transmission",0,2011,225,1,1.00444444444444,1,2.35111111111111,3
"Alnylam Pharmaceuticals",0,2008,250,5,1.088,1,4.244,4.8
"Alpha and Omega Semiconductor",2.5,2006,444,10,1,1,3.28378378378378,2.9
"ALSTOM Technology",0,1989,1381,4,1.00868935553946,1,2.73642288196959,2.5
"AltaRock Energy",0,2012,8,1,1,1,2,2
"Altek",0,1995,9,0,1.11111111111111,0,1.55555555555556,0
"Altex Technologies",0,1998,8,1,1,1,2.375,3
