"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"22nd Century Limited","22nd Century Limited","22nd Century Limited",20,"22nd Century Group, Inc. - Official Site",40,NA,"xxiicentury.com/",27,1,2,0,0,5,0,0,0,1,1,734,"FirmSize.LARGE_FIRM",0,2014,14,2,1,1,2,2
"3M Innovative Properties Company","3M Innovative Properties Company","3M Innovative Properties Company",32,"3M - Official Site",18,NA,"3m.com/",19,2,1,0,0,3,1,1,1,1,3,60593,"FirmSize.LARGE_FIRM",0,1999,9688,58,1.01001238645747,1.01754385964912,3.4364161849711,4.75438596491228
"540 Grid Solutions","540 Grid Solutions","540 Grid Solutions",18,"540 Grid Solutions LLC Company Profile | Key Contacts ...",57,1,"",106,1,3,0,0,0,2,0,1,0,1,18,"FirmSize.SMALL_FIRM",1,2008,3,1,1,1,2.33333333333333,2
"646840 Alberta Ltd.","646840 Alberta","646840 Alberta",14,"16440 S Alberta Ct, Homer Glen, IL 60491 - realtor.com",54,1,"",99,1,1,0,0,0,3,0,1,0,1,0,"FirmSize.UNDEFINED",1,1984,140,2,1.06428571428571,2,1.6,2
"AAC Technologies Pte. Ltd.","AAC Technologies Pte","AAC Technologies Pte",20,"AAC Technologies Pte. Ltd.: Private Company Information ...",59,1,"",82,1,3,0,0,0,4,1,0,0,1,2174,"FirmSize.LARGE_FIRM",0,1984,100,1,1.08,1,2.16,1
"Aadigen","Aadigen","Aadigen",7,"Aadigen, LLC in Pacific Palisades CA - Company Profile",54,1,"",87,1,1,1,0,0,48,1,0,0,1,0,"FirmSize.UNDEFINED",1,2016,3,1,1,1,4,4
"ABB AB","ABB AB","ABB AB",6,"ABB Group - Official Site",25,NA,"abb.com/",19,1,2,0,0,5,5,1,0,0,1,100487,"FirmSize.LARGE_FIRM",0,2000,378,1,1.00529100529101,2,2.78306878306878,4
"ABB Research Ltd.","ABB Research","ABB Research",12,"ABB Corporate Research Center United States",43,1,"new.abb.com",102,1,2,0,0,0,6,1,0,0,1,134800,"FirmSize.LARGE_FIRM",0,1994,948,1,1.01476793248945,1,3.15295358649789,3
"ABB Technology Ltd.","ABB Technology","ABB Technology",14,"Technology and Innovation - ABB Group",37,NA,"new.abb.com/about/technology",35,1,2,0,0,5,7,0,1,0,1,134800,"FirmSize.LARGE_FIRM",0,1989,1098,1,1.00273224043716,1,2.74772313296903,3
"Abbott Cardiovascular Systems Inc.","Abbott Cardiovascular Systems","Abbott Cardiovascular Systems",29,"Abbott Vascular U.S. | Vascular Disease Treatment",49,NA,"vascular.abbott/us/homepage.html",44,1,1,0,0,1,50,1,0,1,2,706,"FirmSize.LARGE_FIRM",0,2007,915,5,1.01420765027322,1,3.22622950819672,3.2
"Abbott Molecular Inc.","Abbott Molecular","Abbott Molecular",16,"Abbott Molecular | Diagnostic Assays and Instruments",52,NA,"molecular.abbott/",29,1,2,0,0,5,51,1,0,0,1,99000,"FirmSize.LARGE_FIRM",0,2014,24,2,1.16666666666667,1.5,3.41666666666667,5
"Abbott Point of Care Inc.","Abbott Point of Care","Abbott Point of Care",20,"Abbott Point of Care | i-STAT System & Piccolo Xpress",53,NA,"pointofcare.abbott/us/en/home",41,1,4,0,0,3,52,0,0,1,1,0,"FirmSize.UNDEFINED",1,2009,145,1,1,1,3.48965517241379,2
"AbbVie Inc.","AbbVie","AbbVie",6,"AbbVie Inc. - Official Site",27,NA,"abbvie.com/",23,1,1,0,0,5,49,0,0,1,1,29000,"FirmSize.LARGE_FIRM",0,1981,554,14,1.14620938628159,1,7.50361010830325,6.71428571428571
"Abengoa Bioenergy New Technologies","Abengoa Bioenergy New Technologies","Abengoa Bioenergy New Technologies",34,"Abengoa - Official Site",23,NA,"abengoa.com/",23,1,1,0,0,5,53,0,1,0,1,5799,"FirmSize.LARGE_FIRM",0,2013,16,2,1,1,2.5,2
"ABL IP Holding LLC","ABL IP Holding","ABL IP Holding",14,"ABL IP Holding LLC: Private Company Information - Bloomberg",59,1,"",82,1,3,0,0,0,8,1,0,0,1,0,"FirmSize.UNDEFINED",1,2007,435,1,1.00689655172414,1,2.83448275862069,2
"Ablexis","Ablexis","Ablexis",7,"Ablexis A superior, next generation transgenic mouse ...",56,NA,"ablexis.com/",23,1,1,0,0,5,54,0,0,1,1,2,"FirmSize.MICRO_FIRM",1,2016,2,1,1,1,2,2
"Abraxis Bioscience","Abraxis Bioscience","Abraxis Bioscience",18,"Celgene - Official Site",23,1,"",24,2,0,0,1,2,55,1,0,0,1,2000,"FirmSize.LARGE_FIRM",0,2008,58,8,1.01724137931034,1,2.82758620689655,2.5
"AC International Inc.","AC","AC",21,"AC Inter",8,NA,"acinter.com/",23,1,1,0,0,5,9,1,0,0,1,11,"FirmSize.SMALL_FIRM",1,1979,455,4,1.02417582417582,1,2.56263736263736,3.25
"ACACIA RESEARCH GROUP LLC","ACACIA RESEARCH GROUP","ACACIA RESEARCH GROUP",21,"Acacia Research - Official Site",31,NA,"acaciaresearch.com/",26,1,2,1,0,5,10,1,0,0,1,13,"FirmSize.SMALL_FIRM",1,2012,3,1,1,1,2.66666666666667,4
"Access Business Group International LLC","Access Business Group","Access Business Group",21,"Home Page - Access Business Group",33,NA,"accessbusinessgroup.com/",36,1,3,0,0,5,56,0,0,1,1,1850,"FirmSize.LARGE_FIRM",0,2002,445,1,1.00449438202247,1,3.37752808988764,11
"AccuRay Corporation","AccuRay","AccuRay",7,"Accuray Inc - Official Site",27,NA,"accuray.com/",24,1,1,0,0,5,57,0,1,0,1,988,"FirmSize.LARGE_FIRM",0,1981,190,1,1.02105263157895,2,2.67368421052632,4
"Accuri Cytometers","Accuri Cytometers","Accuri Cytometers",17,"BD ACCURI C6 PLUS - overview | BD Biosciences-US",48,1,"bdbiosciences.com/us/instruments/research/cell-analyzers/bd-accuri/m/1294932/overview",96,1,1,0,0,0,58,1,0,0,1,10,"FirmSize.SMALL_FIRM",1,2008,31,1,1,1,2.03225806451613,1
"ACell","ACell","ACell",5,"ACell - Official Site",21,NA,"acell.com/",18,1,1,0,0,5,12,0,0,1,1,376,"FirmSize.US_MEDIUM_FIRM",1,2003,32,2,1,1,1.9375,3
"Acer Incorporated","Acer","Acer",4,"Acer Inc. - Official Site",25,NA,"acer.com/ac/en/US/content/home",42,1,1,0,0,1,59,0,1,0,1,0,"FirmSize.UNDEFINED",1,1976,749,1,1.11348464619493,1,2.16154873164219,1
"Achushnet Company","Acushnet Company","Achushnet Company",17,"Acushnet Golf",13,NA,"acushnetgolf.com/",29,2,0,0,0,3,60,0,0,0,0,5228,"FirmSize.LARGE_FIRM",0,1976,2386,3,1.00167644593462,1,2.80134115674769,2.33333333333333
"Acorn Technologies","Acorn Technologies","Acorn Technologies",18,"Acorn Technologies",18,NA,"acorntech.com/",21,1,2,0,1,5,61,1,1,0,2,51,"FirmSize.EU_MEDIUM_FIRM",1,1989,78,5,1,1.66666666666667,2.52564102564103,6
"ACUCELA INC.","ACUCELA","ACUCELA",7,"Acucela - Official Site",23,NA,"acucela.com/",24,1,1,0,0,5,11,1,0,0,1,52,"FirmSize.EU_MEDIUM_FIRM",1,1989,44,1,1.09090909090909,1,4.65909090909091,4
"Adaptive Biotechnologies Corp.","Adaptive Biotechnologies Corp","Adaptive Biotechnologies Corp",29,"Adaptive Biotechnologies",24,NA,"adaptivebiotech.com/",32,1,2,0,0,3,62,0,0,1,1,290,"FirmSize.US_MEDIUM_FIRM",1,2015,15,1,1.06666666666667,1,3.6,2
"adaptiveARC","adaptiveARC","adaptiveARC",11,"adaptiveARC, Inc.: Private Company Information - Bloomberg",58,1,"",82,1,1,0,0,0,1477,0,1,0,1,8,"FirmSize.MICRO_FIRM",1,2013,7,1,1,1,1.14285714285714,1
"ADASA INC.","ADASA","ADASA",5,"adasa.com - Buy Long & Short Evening Dresses For Prom ...",57,NA,"adasa.com/",18,1,1,0,0,5,13,1,0,0,1,120,"FirmSize.EU_MEDIUM_FIRM",1,2002,8,1,1,1,1.625,3
"Adeka Corporation","Adeka","Adeka",5,"ADEKA",5,NA,"adeka.co.jp/en/",27,1,1,0,0,3,63,1,1,0,2,2661,"FirmSize.LARGE_FIRM",0,1980,285,3,1.08771929824561,1.5,3.23859649122807,4
"Adhesives Research","Adhesives Research","Adhesives Research",18,"Adhesives Research - Official Site",34,NA,"adhesivesresearch.com/",33,1,2,0,0,5,64,1,0,0,1,342,"FirmSize.US_MEDIUM_FIRM",1,1982,40,3,1,1,2.25,3.66666666666667
"adidas AG","adidas AG","adidas AG",9,"adidas - Official Site",22,NA,"adidas.com/us/",26,1,1,0,0,5,1478,1,0,0,1,56888,"FirmSize.LARGE_FIRM",0,1992,159,6,1,1,2.42767295597484,1
"Adlens Beacon","Adlens Beacon","Adlens Beacon",13,"Adlens US - Official Site",25,NA,"adlens.com/",19,1,1,0,0,5,65,1,0,0,1,0,"FirmSize.UNDEFINED",1,2012,22,1,1,1,6.5,2
"ADMA Products","ADMA Products","ADMA Products",13,"Home [www.admaproducts.com]",27,NA,"admaproducts.com/#!",31,1,2,0,0,5,14,1,0,0,1,291,"FirmSize.US_MEDIUM_FIRM",1,2003,7,1,1,1,3,3
"Adobe Systems Incorporated","Adobe Systems","Adobe Systems",13,"Adobe - Official Site",21,NA,"adobe.com/",22,1,1,0,0,5,66,0,0,1,1,21046,"FirmSize.LARGE_FIRM",0,1991,3216,1,1.00031094527363,1,2.13650497512438,4
"Adtran","Adtran","Adtran",6,"ADTRAN - Official Site",22,NA,"adtran.com/",22,1,1,0,0,5,67,1,0,0,1,2060,"FirmSize.LARGE_FIRM",0,1978,471,1,1,1,2.3927813163482,5
"Advanced Analogic Technologies","Advanced Analogic Technologies","Advanced Analogic Technologies",30,"Analogic Tech - SKYWORKS",24,NA,"analogictech.com/",28,1,1,0,0,4,68,1,0,0,1,697,"FirmSize.LARGE_FIRM",0,2000,173,1,1.32369942196532,2,2.29479768786127,2
"Advanced Aqua Group","Advanced Aqua Group","Advanced Aqua Group",19,"AAdvanced Aqua Marketing Group  Represents Manufacturers ...",60,NA,"aadvancedaqua.com/",25,1,3,0,0,5,69,1,1,0,2,3,"FirmSize.MICRO_FIRM",1,2016,2,3,1,1.5,2,3
"Advanced Cardiovascular Systems","Advanced Cardiovascular Systems","Advanced Cardiovascular Systems",31,"Abbott Cardiovascular Systems, Inc.: Private Company ...",56,1,"",78,1,2,0,1,0,70,1,0,0,1,2,"FirmSize.MICRO_FIRM",1,1983,1527,1,1,1,2.65618860510805,3
"Advanced Cell Technology","Advanced Cell Technology","Advanced Cell Technology",24,"Astellas Institute for Regenerative Medicine - Official Site",60,NA,"astellas.us/therapeutic/rnd/airm.aspx",49,1,0,1,1,3,71,0,0,1,1,7,"FirmSize.MICRO_FIRM",1,1998,21,1,1,1,2.52380952380952,1
"ADVANCED CERAMIC FIBERS","ADVANCED CERAMIC FIBERS","ADVANCED CERAMIC FIBERS",23,"PRODUCT INFORMATION - Home Page",31,NA,"acfibers.com/index.html",34,1,0,0,0,5,15,1,0,0,1,6,"FirmSize.MICRO_FIRM",1,2015,4,1,1,1,2,2
"Advanced Fusion Technologies","Advanced Fusion Technologies","Advanced Fusion Technologies",28,"ATI Decorative Laminates | Design Beyond the Surface",52,1,"",24,10,0,0,0,1,72,1,0,0,1,2,"FirmSize.MICRO_FIRM",1,1995,10,1,1.1,1,3.1,3
"ADVANCED INNOVATION CENTER LLC","ADVANCED INNOVATION CENTER","ADVANCED INNOVATION CENTER",26,"Advanced Innovation Center",26,NA,"aicchile.com/en/",23,1,3,0,0,5,16,0,1,0,1,16,"FirmSize.SMALL_FIRM",1,2016,1,1,1,1,1,1
"Advanced Silicon Group","Advanced Silicon Group","Advanced Silicon Group",22,"Advanced Silicon Group",22,NA,"advancedsilicongroup.com/",36,1,3,0,0,5,73,1,0,0,1,3300,"FirmSize.LARGE_FIRM",0,2015,4,2,1,1,5.25,5
"Advanced Technology Materials","Advanced Technology Materials","Advanced Technology Materials",29,"Advanced Technology Materials, Inc.: Private Company ...",56,1,"",81,1,3,0,0,0,74,1,0,0,1,182,"FirmSize.EU_MEDIUM_FIRM",1,1976,730,1,1.05342465753425,1,3.24246575342466,3
"Advanced Water Technology","Advanced Water Technology","Advanced Water Technology",25,"Advanced Water Technology - Middle Georgia",42,NA,"advancedwatertechnology.com/",40,1,3,0,0,4,75,1,0,0,1,1318,"FirmSize.LARGE_FIRM",0,1990,8,1,1,1,1.375,1
"Adynxx","Adynxx","Adynxx",6,"Adynxx  (A  d  nix), is a clinical-stage biotechnology ...",58,NA,"adynxx.com/",22,1,1,0,0,5,76,0,0,1,1,4,"FirmSize.MICRO_FIRM",1,2011,5,1,1,1,2.2,1
"Aerogen","Aerogen","Aerogen",7,"High performance aerosol drug delivery | Aerogen",48,NA,"aerogen.com/",24,1,1,0,0,5,77,1,0,0,1,198,"FirmSize.EU_MEDIUM_FIRM",1,1998,77,1,1.01298701298701,1,2.8961038961039,2
