"lookup_firm","mean_i2017y"
"22nd Century Limited",0.142857142857143
"3M Innovative Properties Company",12.7063011747953
"540 Grid Solutions",3.66666666666667
"646840 Alberta",5.5968992248062
"AAC Technologies Pte",0.33
"Aadigen",1
"ABB AB",7.44444444444444
"ABB Research",6.46194503171247
"ABB Technology",1.51079136690647
"Abbott Cardiovascular Systems",2.88461538461538
"Abbott Molecular",0.166666666666667
"Abbott Point of Care",3.37142857142857
"AbbVie",3.63207547169811
"Abengoa Bioenergy New Technologies",0.4375
"ABL IP Holding",4.98611111111111
"Ablexis",0
"Abraxis Bioscience",11.1206896551724
"AC",14.2285714285714
"ACACIA RESEARCH GROUP",0.666666666666667
"Access Business Group",22.3549382716049
"AccuRay",19.5744680851064
"Accuri Cytometers",8.41935483870968
"ACell",17.09375
"Acer",6.44210526315789
"Acorn Technologies",27.2307692307692
"ACUCELA",5.88636363636364
"Acushnet Company",17.5856469355684
"Adaptive Biotechnologies Corp",1.06666666666667
"adaptiveARC",0.857142857142857
"ADASA",6.875
"Adeka",4.01423487544484
"Adhesives Research",10.75
"adidas AG",8.49264705882353
"Adlens Beacon",1.14285714285714
"ADMA Products",4
"Adobe Systems",7.52735513111039
"Adtran",6.97210300429185
"Advanced Analogic Technologies",9.30057803468208
"Advanced Aqua Group",0
"Advanced Cardiovascular Systems",69.4930693069307
"Advanced Cell Technology",5.9
"ADVANCED CERAMIC FIBERS",1.75
"Advanced Fusion Technologies",12.8
"ADVANCED INNOVATION CENTER",0
"Advanced Silicon Group",0.25
"Advanced Technology Materials",26.3796940194715
"Advanced Water Technology",19.5714285714286
"Adynxx",3
"Aerogen",34.3972602739726
"Aerosol Dynamics",4.78571428571429
"AFMODEL",0
"AG ENERGY SOLUTIONS",0.333333333333333
"AGC Flat Glass North America",1.97435897435897
"Agena Bioscience",0
"AGFA-GEVAERT NV",7.23350659736106
"Agienic",0.833333333333333
"Agilent Technologies",11.9230769230769
"Agrigenetics",1.91349480968858
"Agrivida",1.875
"AgroFresh",2.5
"AIR PRODUCTS AND CHEMICALS",12.0420875420875
"Ajinomoto Althea",0.25
"Akron Polymer Systems",0.333333333333333
"Alcatel Lucent",2.29398462234283
"Alcon Research",1.99684542586751
"Alcotek",15.44
"Alencon Acquisition Co",9
"Alexion Pharmaceuticals",6.40196078431373
"ALF OPERATING PARTNERS",1.75
"Algenol Biotech",0.166666666666667
"ALGETERNAL TECHNOLOGIES",0
"All Power Labs",1
"Allertein Therapeutics",2.2
"Alliance for Sustainable Energy",3.24590163934426
"Allison Transmission",0.925925925925926
"Alnylam Pharmaceuticals",5.14163090128755
"Alpha and Omega Semiconductor",2.58024691358025
"ALSTOM Technology",3.04674945215486
"AltaRock Energy",0.714285714285714
"Altex Technologies",11.5714285714286
"Altivera",49.6666666666667
"Amazon Technologies",4.63607275176827
"Ambature",1
"Amberwave",0
"American Air Liquide",9.61656441717791
"AMERICAN BIO ENERGY CONVERTING CORP",2.5
"American Piledriving Equipment",10.9777777777778
"American Science and Technology",0
"Amgen",9.55582524271845
"Amgen Fremont",4.94366197183099
"Amicus Therapeutics",0.6
"Amkor Technology",24.0973654066438
"AMO Wavefront Sciences",4.35897435897436
"Ampio Pharmaceuticals",0.941176470588235
"Amprius",3.66666666666667
"AMPT",30.4782608695652
"Amtech Systems",5.26666666666667
"Analog Devices",10.5729452054795
"Andritz",2.22368421052632
"Aneeve",0
"Anelva",33.1088264794383
"Angaza Design",0
"Angiotech Pharmaceuticals (US)",45.92
"Angstron Materials",0
"Anlinx",0
"Annam Biosciences",0
"Ansun Biopharma",1
"Antaya Technologies",4.92682926829268
"Anterios",7.11111111111111
"API Intellectual Property Holdings",1.06451612903226
"Apple",5.47524184292507
"Applied Biosystems",9.77801724137931
"Applied Genetic Technologies",0.4
"Applied Materials",18.6423225806452
"APPLIED MATERIALS ISRAEL",2.72908366533865
"Applied Membrane Technologies",30.4285714285714
"Applied NanoStructured Solutions",1.5
"Applied Nanostructures",1.66666666666667
"Applied Optoelectronics",3.93877551020408
"APPLIED STEMCELL",0
"APPLIED SUNSHINE",0
"ARBOR THERAPEUTICS",0.6
"Arch Biosurgery",0
"Archer Daniels Midland Company",5.23157894736842
"Arcturus Therapeutics",0.777777777777778
"Areesys Technologies",0
"Arisaph Pharmaceuticals",0.333333333333333
"Arkema",2.85454545454545
"Arkival Technology Corp",1.33333333333333
"Armageddon Energy",0.5
"Arpin Renewable Energy",2
"Arrowhead Center",15.047619047619
"Asahi Kasei Kabushiki Kaisha",7.35221674876847
"ASCENT SOLAR TECHNOLOGIES",3.94117647058824
"Aseptia",1.60869565217391
"ASM America",19.5870967741935
"ASM IP HOLDING BV",7.54166666666667
"ASM IP Holdings",0
"ASML Netherlands BV",4.76239743132358
"Astech",29.1818181818182
"AstenJohnson",6.54320987654321
"Astex Pharmaceuticals",2
"ASTUTE MEDICAL",23.875
"AT&T",27.2802395209581
"ATC Technologies",19.1516936671576
"ATI Technologies ULC",9.33528722157093
"Atleisure",0
"Atom Nanoelectronics",0
"ATOMERA",0
"Atomic Energy Council-Institute of Nuclear Energy Research",0.865771812080537
"Atonometrics",1.25
"Atotech Deutschland",4.40512820512821
"Atrium Medical",37.1318681318681
"ATTOSTAT",0
"aTyr Pharma",4.08474576271186
"Aurora Alage",3.7
"Aurrion",1.12820512820513
"Aushon Biosystems",1.28571428571429
"Auterra",4.23529411764706
"Autonomic Materials",0
"Avago Technologies General IP (Singapore) Pte",2.69789674952199
"Avalanche Technology",2.55555555555556
"Avant Garde Therapeutics & Technologies",0.333333333333333
"Avantor Performance Materials",1.1875
"Avello Bioenery",6.5
"Avertech",11
"Avery Dennison",13.3492349234923
"AVI BioPharma",20.8367346938776
"AVOGY",1.05263157894737
"Avon Products",8.23952095808383
"Avtaec Limited",3.5
"AxioMx",0
"AZ Electronic Materials (Luxembourg) SARL",0.833333333333333
"Babcock Power Services",0.565217391304348
"BAE Systems Information and Electronic Systems Integration",5.46779964221825
"Baker Hughes",13.0294767870302
"Bakersun",0
"Banpil Photonics",4
"Basell Polyolefine",4.8239608801956
"BASF",9.97895699908509
"BASF Coatings",4.51889168765743
"BASF Enzymes",0.0666666666666667
"BASF Plant Science",1.44907407407407
"BASF SE",0.669426751592357
"Battelle Energy Alliance",5.29381443298969
"Battelle Memorial Institute",17.2107936507937
"Bausch & Lomb",22.1627358490566
"BAXALTA",0.895104895104895
"Baxter",35.3123107971746
"Baxter Healthcare SA",7.02191780821918
"Bayer Cropscience AG",1.73352999016716
"Bayer Materialscience",1.86875891583452
"BCE",4.53254437869822
"Bechtel Hydrocarbon Technology Solutions",0
"Becton",94
"Beijing BOE Display Technology Co",0.0555555555555556
"Bell Helicopter Textron",4.97567567567568
"Bemis Company",12.4634146341463
"Bend Research",20.1972789115646
"BERKEN ENERGY",0.5
"Beryllium Discovery Corp",0
"Bestway",0.714285714285714
"BG Negev Technologies and Applications",3.875
"BHA Technologies",16.0757575757576
"Bi-Modal",12.4117647058824
"Big Belly Solar",0
"Bigelow Aerospace",2.34782608695652
"BIND Therapeutics",20.7666666666667
"Bio-Rad Laboratories",7.78974358974359
"Biocare Medical",3.66666666666667
"Biocon Limited",7.58730158730159
"Biogenic Reagents Ventures",0
"Biological Dynamics",5.71428571428571
"BioNano Genomics",2.625
"Bioneer",3.93877551020408
"Biosense Webster (Israel)",0.826815642458101
"Biosphere Medical",16.2758620689655
"Biotechnology Foundation",0
"bioTheranostics",8
"Biotta",0
"Biozoom Technologies",0.5
"Bird-B-Gone",4.22448979591837
"Bisco",27.3684210526316
"Bitrode",6.60526315789474
"BlackBerry Limited",1.10032282095853
"BLANC VINEYARDS LLC",0
"Blue Sea Systems",4.66666666666667
"Bluestar Silicones France",0.858585858585859
"BOE Technology Group Co",0.0916824196597354
"Boehringer Ingelheim",7.70982658959538
"Boehringer Ingelheim Vetmedica",4.91891891891892
"BOLTIER R&D",0
"Bosch Energy Storage Solutions",0
"Bostik",7.17073170731707
"Boston Scientific Neuromodulation",7.52733485193622
"Boston Scientific Scimed",11.2133668903803
"BP North America",6.76388888888889
"Braun Intertec Geothermal",0
"Brewer Science",10.722972972973
"Bridgelux",2.71808510638298
"Bridgestone",7.12253829321663
"Brightfield Transportation Solutions",0
"BRIGHTLEAF TECHNOLOGIES",0
"Bristol-Myers Squibb Company",10.1106890938687
"BROADCOM",5.44349796103308
"Brookhaven Science Associates",7.34256055363322
"BROOKLYN QUANTUM WORKS",0
"Brother",7.86666666666667
"Brother Kogyo Kabushiki Kaisha",4.13496677740864
"Bruin Biometrics",1
"BTPATENT",8.25
"BTU",13.1647058823529
"Buckman Laboratories",8.61256544502618
"Building Envelope Innovations",0
"Butamax(TM) Advanced Biofuels",12.0737704918033
"CA",4.80201649862511
"Cabot",19.1104651162791
"Cadence Design Systems",9.57775119617225
"Calient Technologies",1.05714285714286
"California Industrial Facilities Resources",0.4
"Callahan Cellular LLC",0.166666666666667
"Calysta",0
"Cambridge Electronics",1
