,firm_length,first_year,mean_assignees_all,mean_inventors_all,has_emps,has_url,has_web_content,log_num_patents_all,log_max_emps,num_industries
0,29.0,1995,1.34533898305085,2.17138715432649,1,1,1,9.794620897549015,13.129340977236101,2
1,33.0,2005,1.00634920634921,3.0476190476190497,1,1,1,5.755742213586912,12.886638512234486,1
2,7.0,1976,1.1488433678635401,3.9100656852818196,1,1,1,10.558880943484157,12.674722233475604,3
3,24.0,1976,1.00554063129617,2.62409748374871,1,1,1,10.638088527988433,12.653961664405365,2
4,19.0,2001,2.0,2.5,1,1,1,1.0986122886681098,12.640274211374814,1
5,22.0,1984,1.03655442964277,2.91096355646738,1,1,1,11.18636395445753,12.640274211374814,3
6,4.0,1976,1.02948113207547,2.30070754716981,1,1,1,6.744059186311348,12.51799966941141,1
7,28.0,1976,1.34758723088344,2.9317000742390498,1,1,1,8.815221555922163,12.389685035507052,2
8,8.0,2014,1.0,2.38888888888889,1,1,1,2.9444389791664403,12.388398368982115,1
9,26.0,1976,1.02117874396135,2.23107846926942,1,1,1,10.161071177163876,12.336008205891929,3
10,7.0,1977,1.1890243902439,2.8323170731707297,1,1,1,5.796057750765372,12.336008205891929,1
11,14.0,2008,1.05452775073028,2.5803310613437205,1,1,0,6.93537044601511,12.336008205891929,1
12,16.0,2009,1.00753012048193,2.27710843373494,1,1,1,6.499787040655854,12.336008205891929,1
13,41.0,2015,1.00136798905609,2.76744186046512,1,1,1,6.595780513961311,12.265308067561145,1
14,35.0,2003,1.00190322120188,2.59504210876909,1,1,1,9.953134492425542,12.265308067561145,0
15,19.0,1976,1.0052219321148799,2.2862366153042597,1,1,1,8.94389780251682,12.2293056568353,3
16,12.0,1976,1.0327227028855899,2.72311113259535,1,1,1,9.93740577073959,12.207491638283587,3
17,31.0,1976,1.01566353336431,3.2707704129956903,1,1,1,11.625512804119492,12.121200796299663,3
18,5.0,2003,1.0,2.6,1,1,1,4.110873864173311,12.0622773300305,1
19,5.0,1976,1.00275086712116,2.24159789498864,1,1,0,9.03145291191651,12.0576132396357,1
20,21.0,1995,1.00065703022339,2.76018396846255,1,1,0,7.328437352895162,12.0576132396357,2
21,5.0,1978,1.01230769230769,2.6,1,1,1,5.786897381366708,12.031725210748633,2
22,25.0,1986,1.0,1.8,1,1,1,1.791759469228055,11.999282151128734,1
23,22.0,1996,1.01010101010101,2.3510101010101003,1,1,1,5.983936280687191,11.877582467350576,1
24,11.0,1978,1.04916371008616,2.29067410035479,1,1,1,8.280711075662847,11.86828955010886,3
25,15.0,1976,1.0551718030464,2.60462301470154,1,1,1,10.430491597029581,11.849404844423074,2
26,29.0,2001,1.04319136172765,2.01919616076785,1,1,1,7.419380582918692,11.849404844423074,1
27,35.0,1998,1.02730696798493,3.2090395480226,1,1,1,6.968850378341948,11.842236406331555,1
28,6.0,1977,1.0007045974986801,3.0588338911396895,1,1,1,8.644354337032917,11.827743504053695,1
29,19.0,1976,1.02743484224966,2.8707514098460605,1,1,1,8.789050713521046,11.827232428301146,2
30,12.0,1994,1.01476793248945,3.1529535864978904,1,1,1,6.855408798609928,11.811554895830454,1
31,14.0,1989,1.00273224043716,2.7477231329690297,1,1,1,7.002155954403621,11.811554895830454,1
32,36.0,1998,1.02542372881356,3.4406779661017,1,1,1,5.872117789475416,11.80560254159177,1
33,21.0,1988,1.3522142121524199,2.45794713353931,1,1,1,8.670257567143075,11.803600553876269,3
34,18.0,1998,1.03001579778831,3.09952606635071,1,1,1,7.144407180321139,11.798111925972618,1
35,9.0,1976,1.00293444030919,2.4482141578985,1,1,1,9.544882175080447,11.782960235741939,1
36,17.0,1976,1.00236439499305,2.36138544999304,1,1,1,8.880585523102495,11.765837505278043,3
37,11.0,1997,1.06802960874163,4.11772999647515,1,1,1,7.950854857719988,11.736077016252437,3
38,5.0,1987,1.00099580339996,4.1606088626502595,1,1,1,9.551089165364656,11.719947764402807,2
39,6.0,1976,1.04424103737605,2.87719298245614,1,1,1,8.277411998949004,11.670851864929462,2
40,14.0,1976,1.02141001522888,2.11233539371137,1,1,1,9.320449594656212,11.666924704759595,1
41,6.0,1982,1.0599520383693,4.432853717026379,1,1,1,6.727431724850855,11.576529174307367,2
42,18.0,1996,1.02597402597403,3.45454545454545,1,1,1,5.043425116919247,11.571203807011969,1
43,4.0,1976,1.0152996175095599,2.57671058223544,1,1,1,9.14984699154722,11.566513624140157,2
44,7.0,2008,1.04992050874404,4.83847376788553,1,1,0,8.053887083618223,11.566513624140157,3
45,3.0,1977,1.05003891915935,1.66391133516198,1,1,1,10.202851129761747,11.52203385733422,2
46,5.0,1976,1.18823529411765,2.6,1,1,1,4.454347296253507,11.519295135477906,1
47,6.0,2000,1.00529100529101,2.7830687830687797,1,1,0,5.937536205082426,11.517793596367088,1
48,15.0,1996,1.0105625717566,2.32721010332951,1,1,1,8.37930948405285,11.51293546492023,2
49,16.0,2014,1.16666666666667,3.4166666666666696,1,1,1,3.2188758248682006,11.502885230075814,1
50,16.0,2010,1.0,5.13793103448276,1,1,1,4.477336814478207,11.502885230075814,2
51,28.0,1976,1.0049504950495,3.2106946983546605,1,1,0,9.482731125859004,11.500670680903214,2
52,5.0,1976,1.00714221944469,2.7508853376186604,1,1,1,10.422400386484737,11.475753052615845,3
53,5.0,1976,1.0040899795501,2.2246463269132404,1,1,1,8.677439540558334,11.472113887062386,2
54,19.0,2001,1.0051273834321401,1.7314532927415498,1,1,0,8.739055922830724,11.467938559235831,1
55,8.0,2012,1.0212004405286301,1.7910242290748901,1,1,0,8.197814032221203,11.467938559235831,1
56,3.0,1976,1.0742118313850502,2.93358129649309,1,1,1,8.638879709672837,11.442857015256344,2
57,17.0,1976,1.19082301529497,2.88176741927652,1,1,1,9.01663425631559,11.436864818357265,1
58,8.0,1979,1.0597302504817,3.6589595375722497,1,1,1,6.253828811575473,11.427345789878878,2
59,6.0,2003,1.0003478986919,2.84247147230726,1,1,1,9.573106725551233,11.35100635554442,2
60,5.0,1976,1.0818713450292399,2.60087719298246,1,1,1,6.529418838262226,11.268021871873454,1
61,8.0,2006,1.01650199705697,2.04477611940298,1,1,1,9.16062477973025,11.266398131673066,3
62,24.0,2004,1.02671755725191,2.79580152671756,1,1,1,6.263398262591624,11.21159061606466,2
63,11.0,1989,1.08423586040915,2.8020457280385096,1,1,1,7.416378479192928,11.200581779447585,2
64,13.0,1976,1.0,2.61495844875346,1,1,1,5.8916442118257715,11.188869822404088,1
65,3.0,1976,1.00714147847906,3.01254584057132,1,1,1,8.552946361122055,11.184435286790631,2
66,19.0,2015,1.03105590062112,3.29813664596273,1,1,1,5.087596335232384,11.159003869942307,1
67,38.0,2015,1.0,4.81818181818182,1,1,1,2.4849066497880004,11.159003869942307,1
68,23.0,1997,1.04012345679012,3.2037037037037,1,1,1,5.783825182329737,11.159003869942307,1
69,28.0,1984,1.49598393574297,3.3333333333333304,1,1,1,6.212606095751519,11.141876276228,2
70,16.0,2000,1.0404878048780501,2.70780487804878,1,1,1,7.62608275807238,11.141876276228,2
71,19.0,1996,1.33928571428571,2.71428571428571,1,1,0,4.04305126783455,11.141876276228,1
72,15.0,1976,1.14507025339258,2.60569300984867,1,1,1,9.027378610294805,11.138537423432531,1
73,23.0,1977,1.0135059088351202,2.40930407053086,1,1,1,8.5814816812986,11.122146978513689,2
74,11.0,1986,1.0192291183792601,2.07352878052968,1,1,1,10.056165720177834,11.121452015488801,3
75,14.0,1986,1.0,4.35051546391753,1,1,1,4.584967478670572,11.082157933374816,1
76,12.0,1988,1.00696480938416,2.55883431085044,1,1,1,8.604654467186231,11.06665398721974,3
77,30.0,2010,1.3468208092485499,2.47976878612717,1,1,0,5.159055299214529,11.06665398721974,1
78,16.0,1976,1.0096186297671301,2.31488356395545,1,1,1,8.687273461787838,11.06665398721974,2
79,34.0,1976,1.00915032679739,2.48709150326797,1,1,1,8.71948076085107,11.06665398721974,1
80,27.0,1993,1.01073850791258,2.80482290881688,1,1,1,8.57715877258367,11.063210619337342,1
81,17.0,1985,1.06715506715507,3.1212861212861203,1,1,1,7.80710329012598,11.054897836295,1
82,43.0,2000,1.0201192250372602,4.0171385991058095,1,1,1,7.202661196523238,11.040727429775957,3
83,36.0,2000,1.02875,3.305,1,1,1,6.68586094706836,11.040727429775957,1
84,32.0,1999,1.01001238645747,3.4364161849711,1,1,1,9.178746500385005,11.011951157254613,3
85,7.0,1978,1.14925373134328,2.79850746268657,1,1,1,5.998936561946683,11.00909200561469,1
86,5.0,1976,1.00840902958899,2.75815082969825,1,1,1,10.00960278332483,10.988879503033383,2
