count(pi.inventor_id),id
2,9198872
4,9198873
5,9198874
3,9198914
2,9198928
1,9198950
1,9198959
8,9198973
2,9198974
4,9198988
2,9199002
3,9199005
4,9199200
4,9199212
2,9199273
2,9199288
5,9199393
1,9199421
2,9199434
2,9199435
2,9199438
6,9199504
1,9199705
1,9199841
4,9199842
2,9199854
2,9199858
1,9199866
4,9199869
3,9199889
2,9199910
3,9199956
4,9199994
2,9200031
11,9200043
4,9200056
11,9200069
11,9200070
4,9200082
3,9200090
4,9200126
5,9200152
2,9200163
2,9200172
4,9200191
4,9200193
5,9200236
4,9200244
2,9200285
2,9200292
3,9200293
3,9200298
7,9200302
4,9200313
1,9200336
2,9200337
5,9200363
3,9200378
2,9200413
3,9200451
1,9200465
1,9200621
3,9200622
1,9200634
1,9200767
4,9200799
4,9200804
1,9200810
1,9200817
2,9200818
1,9200819
1,9200821
4,9200974
2,9201001
4,9201010
1,9201013
3,9201057
4,9201070
2,9201112
1,9201170
8,9201266
1,9201280
4,9201301
4,9201442
1,9201455
3,9201726
2,9201987
4,9201990
1,9202396
6,9202399
1,9202529
2,9202533
2,9202556
2,9202557
4,9202570
3,9202575
4,9202579
2,9202594
2,9202596
9,9202600
10,9202635
6,9202636
2,9202638
2,9202684
9,9202688
3,9202693
1,9202700
3,9202703
2,9202707
4,9202709
6,9202720
6,9202721
3,9202722
5,9202728
2,9202734
6,9202743
2,9202759
3,9202762
4,9202767
2,9202788
3,9202795
1,9202814
1,9202818
5,9202822
4,9202823
2,9202825
6,9202827
1,9202829
2,9202842
1,9202847
4,9202849
4,9202851
2,9202860
1,9202865
3,9202867
3,9202868
6,9202873
1,9202877
1,9202891
2,9202892
4,9202895
3,9202896
2,9202898
1,9202899
1,9202902
1,9202907
1,9202915
2,9202922
4,9202924
4,9202925
4,9202926
1,9202927
4,9202928
1,9202931
2,9202936
1,9202938
8,9202943
4,9202944
6,9202945
2,9202947
3,9202948
6,9202953
1,9202956
4,9202960
6,9202962
6,9202965
5,9202967
2,9202975
3,9202981
4,9202987
2,9202988
6,9202992
2,9202996
6,9202997
2,9202998
4,9203023
10,9203030
4,9203038
1,9203040
3,9203041
4,9203084
10,9203093
5,9203095
4,9203101
2,9203116
2,9203155
3,9203215
1,9203257
1,9203269
1,9204527
6,9204554
2,9204596
5,9204598
3,9204601
3,9204602
2,9204623
5,9204624
2,9204665
1,9205033
2,9205039
2,9205040
3,9205046
1,9205093
4,9205113
3,9205150
3,9205155
2,9205172
3,9205173
4,9205177
4,9205383
3,9205399
3,9205410
7,9205412
3,9205581
3,9205695
3,9205707
1,9206040
4,9206049
6,9206050
4,9206054
2,9206059
2,9206080
5,9206102
3,9206145
5,9206147
2,9206202
3,9206218
1,9206225
2,9206233
4,9206248
5,9206261
5,9206262
5,9206263
2,9206295
5,9206303
3,9206324
4,9206335
14,9206339
3,9206350
4,9206353
3,9206356
3,9206357
8,9206359
2,9206360
2,9206365
4,9206368
1,9206377
3,9206390
2,9206396
4,9206397
2,9206401
6,9206403
3,9206404
3,9206406
1,9206407
3,9206413
3,9206431
3,9206433
12,9206434
6,9206436
4,9206438
2,9206439
3,9206443
27,9206444
5,9206445
4,9206446
3,9206447
5,9206448
1,9206451
2,9206453
2,9206454
3,9206471
5,9206481
2,9206508
3,9206509
3,9206524
2,9206546
1,9206551
2,9206581
1,9206665
8,9206680
1,9206810
3,9206931
4,9206952
1,9206969
1,9206997
2,9207003
1,9207021
2,9207053
7,9207264
3,9207357
4,9207385
3,9207399
1,9207504
3,9207700
2,9207735
1,9207797
1,9207879
1,9207993
5,9207999
3,9208273
4,9208828
2,9208840
2,9208848
1,9208868
1,9208887
2,9208925
1,9208928
4,9208943
8,9208955
6,9208956
5,9209013
3,9209023
1,9209025
2,9209026
