count(epa.id),lookup_firm
8,"BIND Therapeutics"
1,"Marine Polymer Technologies"
2,"Centre de Recherche Industrielle du Quebec"
44,"Shell Oil Company"
28,"Baker Hughes"
7,NanoGram
2,"DuPont Teijin Films US Limited Partnership"
10,"Eastman Kodak Company"
1,Surebeam
1,"Advanced Water Technology"
1,Nanosys
1,"Altex Technologies"
5,"Rohm and Haas Company"
2,"KAI Pharmaceuticals"
4,BAXALTA
14,AbbVie
1,"Galectin Therapeutics"
15,"Toray Industries"
7,"ExxonMobil Chemical Patents"
2,"Heliae Development"
1,"Roche Molecular Systems"
1,"NOVA PANGAEA TECHNOLOGIES LIMITED"
2,Renmatix
1,"Saint-Gobain Adfors Canada"
2,Certain-teed
5,"The Babcock & Wilcox Company"
6,"Ormat Technologies"
3,"GlassPoint Solar"
4,Bioneer
1,"Coleman Cable"
1,"Newdoll Enterprises"
56,"Fuji Electric Co"
274,"International Business Machines"
35,"Seiko Epson"
260,"Samsung Electronics Co"
431,"Semiconductor Energy Laboratory Co"
26,"Shin-Etsu Chemical Co"
1,Newlans
2,"Silicon Space Technology Corp"
1,SunRun
49,FUJIFILM
1,"Solaire Generation"
152,"SAMSUNG DISPLAY CO"
348,"Kabushikikaisha Toshiba"
149,"SK Hynix"
158,"Taiwan Semiconductor Manufacturing Company"
39,"SanDisk Technologies"
4,Arkema
27,"UChicago Argonne"
3,"Pixelligent Technologies"
64,"Micron Technology"
6,Cree
43,"Tokyo Electron Limited"
5,Plasma-Therm
7,"Varian Semiconductor Equipment Associates"
23,"Fujitsu Semiconductor Limited"
16,"Semiconductor Manufacturing (Shanghai)"
26,"Macronix Co"
50,"Canon Kabushiki Kaisha"
82,Sony
2,"Advanced Silicon Group"
96,"BOE Technology Group Co"
3,"Quantum Devices"
46,"Mitsubishi Electric"
43,"UNISANTIS ELECTRONICS SINGAPORE PTE"
13,"Kobe Steel Limited"
22,JOLED
4,"Conversant Intellectual Property Management"
10,"Alpha and Omega Semiconductor"
122,"Hon Hai Precision Industry Co"
4,"Nokia Technologies Oy"
60,"LG Electronics"
85,SunPower
91,"Panasonic Intellectual Property Management Co"
5,"Stanley Electric Co"
17,"Nanotek Instruments"
25,"Hyundai Motor Company"
3,"Kia Motors"
35,"Toyota Jidosha Kabushiki Kaisha"
4,"Commonwealth Scientific & Industrial Research Organization"
1,Inphenix
1,"Calient Technologies"
3,"Schlumberger Technology"
13,Agrigenetics
33,"Regeneron Pharmaceuticals"
1,"Avon Products"
3,SOLAZYME
3,Incept
26,"GENERAL ELECTRIC COMPANY"
1,"Peytant Solutions"
2,"Michelin Recherche et Technique SA"
16,"Nanoco Technologies"
4,"Rhodia Operations"
17,"Ricoh Company Limited"
1,"Janssen Biotech"
2,"Mitsubishi Polyester Film"
21,"Dow Global Technologies"
58,"3M Innovative Properties Company"
1,Auterra
1,"SOLENA FUELS"
2,"HM&#xb3; ENERGY"
10,"Sangamo BioSciences"
2,"Sigma-Aldrich Co"
1,"Sophoro Biotechnologies"
35,Xyleco
1,"DNA Twopointo"
4,"E Techorporation"
13,UT-Battelle
1,"Easel Biotechnologies"
17,"Alliance for Sustainable Energy"
23,"Butamax(TM) Advanced Biofuels"
1,OBI
3,"The Henry M Jackson Foundation for the Advancement of Military Medicine"
43,"BASF SE"
1,"Taxon Biosciences"
2,"Bechtel Hydrocarbon Technology Solutions"
1,"Great American Duck Races"
1,"Rosemount Aerospace"
23,"QD Vision"
1,Aurrion
30,Hitachi
1,"Gram Power"
8,"MICROSOFT TECHNOLOGY LICENSING"
1,"Cadence Design Systems"
230,"Renesas Electronics"
7,"Zeno Semiconductor"
2,"Tyco Electronics UK"
1,"DSP Group"
59,"Sharp Kabushiki Kaisha"
44,"Shenzhen China Star Optoelectronics Technology Co"
3,"NLT TECHNOLOGIES"
44,"Fujitsu Limited"
4,"SunEdison Semiconductor Limited"
33,"Freescale Semiconductor"
72,Intel
5,"Hitachi Metals"
8,"Ube Industries"
27,"STMicroelectronics SA"
4,"DRS Network &#x26; Imaging Systems"
82,"Applied Materials"
5,"Everspin Technologies"
2,"Avalanche Technology"
1,"E I du Pont de Nemours and Company duPont Displays"
1,Optodot
11,"Palo Alto Research Center"
1,"LAVA ENERGY SYSTEMS"
5,"ASML Netherlands BV"
5,"Soraa Laser Diode"
2,"Renewable Power Conversion"
1,"Envision Solar"
27,SolarCity
26,Sandia
1,"Nanospectra Biosciences"
2,Carbon3D
1,"CUMMINS FILTRATION IP"
3,"Cedar Ridge Research"
13,Virent
1,"Arisaph Pharmaceuticals"
5,"Kala Pharmaceuticals"
4,"Takeda Pharmaceutical Company Limited"
1,"Gilead Connecticut"
6,"Tokyo Ohka Kogyo Co"
6,"Molecular Rebar Design"
