"count.p.id.","lookup_firm","firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","about_gen.count","about_exact.count","default_to_home","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","rd_per_page","mean_i2017y","mean_cd2017y","year.min.p..date..."
14,"22nd Century Limited","22nd Century Limited","22nd Century Limited","xxiicentury.com/",0,0,1,1,734,"FirmSize.LARGE_FIRM",0,4,3,0,7,41,12,13,9,26,1,6,22,10,0,0,2,3,3,13.6666666666667,0.142857142857143,-0.00133511428571429,2014
9688,"3M Innovative Properties Company","3M Innovative Properties Company","3M Innovative Properties Company","3m.com/",1,1,1,3,60593,"FirmSize.LARGE_FIRM",0,16,2,0,15,22,55,15,11,167,2,6,0,52,12,35,1,5,52,11,12.7063011747953,0.00131920280004747,1999
378,"ABB AB","ABB AB","ABB AB","abb.com/",1,0,0,1,100487,"FirmSize.LARGE_FIRM",0,17,2,0,0,12,19,27,14,43,4,22,2,59,12,24,4,8,25,6,7.44444444444444,0.0600004084358974,2000
915,"Abbott Cardiovascular Systems","Abbott Cardiovascular Systems Inc.","Abbott Cardiovascular Systems","vascular.abbott/us/homepage.html",1,0,1,2,706,"FirmSize.LARGE_FIRM",0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2.88461538461538,0.0195990046565934,2007
24,"Abbott Molecular","Abbott Molecular Inc.","Abbott Molecular","molecular.abbott/",1,0,0,1,99000,"FirmSize.LARGE_FIRM",0,3,1,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0.166666666666667,-0.00285691875,2014
554,"AbbVie","AbbVie Inc.","AbbVie","abbvie.com/",0,0,1,1,29000,"FirmSize.LARGE_FIRM",0,28,9,0,0,71,13,10,15,22,9,29,9,122,11,5,6,18,31,7.88888888888889,3.63207547169811,0.00297169398301887,1981
16,"Abengoa Bioenergy New Technologies","Abengoa Bioenergy New Technologies","Abengoa Bioenergy New Technologies","abengoa.com/",0,1,0,1,5799,"FirmSize.LARGE_FIRM",0,3,1,0,0,2,6,0,0,7,0,1,0,2,5,0,3,0,0,2,0.4375,-0.001150119375,2013
2,"Ablexis","Ablexis","Ablexis","ablexis.com/",0,0,1,1,2,"FirmSize.MICRO_FIRM",1,2,1,0,1,11,2,0,0,3,0,0,5,6,0,0,0,0,2,11,0,0,2016
455,"AC","AC International Inc.","AC","acinter.com/",1,0,0,1,11,"FirmSize.SMALL_FIRM",1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,14.2285714285714,0.0999175887252747,1979
3,"ACACIA RESEARCH GROUP","ACACIA RESEARCH GROUP LLC","ACACIA RESEARCH GROUP","acaciaresearch.com/",1,0,0,1,13,"FirmSize.SMALL_FIRM",1,4,2,0,10,2,1,0,0,4,2,10,7,5,0,1,1,11,0,1,0.666666666666667,-6.9713e-05,2012
445,"Access Business Group","Access Business Group International LLC","Access Business Group","accessbusinessgroup.com/",0,0,1,1,1850,"FirmSize.LARGE_FIRM",0,2,1,0,0,1,6,0,0,13,0,0,0,3,2,2,1,0,2,1,22.3549382716049,0.00798178651851852,2002
190,"AccuRay","AccuRay Corporation","AccuRay","accuray.com/",0,1,0,1,988,"FirmSize.LARGE_FIRM",0,10,3,0,0,15,9,0,2,20,6,5,14,7,4,14,2,2,15,5,19.5744680851064,0.0382797726542553,1981
31,"Accuri Cytometers","Accuri Cytometers","Accuri Cytometers","bdbiosciences.com/us/instruments/research/cell-analyzers/bd-accuri/m/1294932/overview",1,0,0,1,10,"FirmSize.SMALL_FIRM",1,1,1,0,0,12,2,3,4,2,0,0,0,0,0,6,1,0,0,12,8.41935483870968,-0.0176813698064516,2008
32,"ACell","ACell","ACell","acell.com/",0,0,1,1,376,"FirmSize.US_MEDIUM_FIRM",1,3,1,0,3,15,10,1,1,17,1,4,18,0,0,1,1,4,1,15,17.09375,-0.0130626625625,2003
78,"Acorn Technologies","Acorn Technologies","Acorn Technologies","acorntech.com/",1,1,0,2,51,"FirmSize.EU_MEDIUM_FIRM",1,6,1,0,14,45,3,4,1,58,3,9,38,7,0,4,8,15,5,45,27.2307692307692,0.0775571128205128,1989
44,"ACUCELA","ACUCELA INC.","ACUCELA","acucela.com/",1,0,0,1,52,"FirmSize.EU_MEDIUM_FIRM",1,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5.88636363636364,0.00150094090909091,1989
15,"Adaptive Biotechnologies Corp","Adaptive Biotechnologies Corp.","Adaptive Biotechnologies Corp","adaptivebiotech.com/",0,0,1,1,290,"FirmSize.US_MEDIUM_FIRM",1,5,2,0,1,21,0,16,14,1,0,3,13,11,0,1,1,7,0,10.5,1.06666666666667,-0.00117752133333333,2015
8,"ADASA","ADASA INC.","ADASA","adasa.com/",1,0,0,1,120,"FirmSize.EU_MEDIUM_FIRM",1,2,1,0,0,0,9,2,2,1,0,0,0,0,2,4,0,0,3,0,6.875,0.00391383375,2002
285,"Adeka","Adeka Corporation","Adeka","adeka.co.jp/en/",1,1,0,2,2661,"FirmSize.LARGE_FIRM",0,9,5,0,0,30,37,6,1,63,2,4,0,7,4,5,1,2,5,6,4.01423487544484,0.101756650676157,1980
40,"Adhesives Research","Adhesives Research","Adhesives Research","adhesivesresearch.com/",1,0,0,1,342,"FirmSize.US_MEDIUM_FIRM",1,4,1,0,0,9,0,7,6,31,0,1,0,6,0,7,0,0,4,9,10.75,0.03345559925,1982
7,"ADMA Products","ADMA Products","ADMA Products","admaproducts.com/#!",1,0,0,1,291,"FirmSize.US_MEDIUM_FIRM",1,1,1,0,1,3,2,0,0,14,0,0,0,0,0,0,0,0,0,3,4,0.0927856428571429,2003
3216,"Adobe Systems","Adobe Systems Incorporated","Adobe Systems","adobe.com/",0,0,1,1,21046,"FirmSize.LARGE_FIRM",0,8,1,0,0,1,17,8,8,5,0,2,0,34,8,14,1,20,12,1,7.52735513111039,0.0592549931819359,1991
471,"Adtran","Adtran","Adtran","adtran.com/",1,0,0,1,2060,"FirmSize.LARGE_FIRM",0,4,1,0,1,1,0,0,2,2,0,1,1,6,2,3,0,0,3,1,6.97210300429185,0.0656163567446352,1978
173,"Advanced Analogic Technologies","Advanced Analogic Technologies","Advanced Analogic Technologies","analogictech.com/",1,0,0,1,697,"FirmSize.LARGE_FIRM",0,3,1,0,0,0,3,1,1,0,1,1,0,2,1,0,1,0,1,0,9.30057803468208,0.0195940452601156,2000
2,"Advanced Aqua Group","Advanced Aqua Group","Advanced Aqua Group","aadvancedaqua.com/",1,1,0,2,3,"FirmSize.MICRO_FIRM",1,2,1,0,1,0,8,0,0,5,1,0,0,6,0,5,0,0,6,0,0,0,2016
4,"ADVANCED CERAMIC FIBERS","ADVANCED CERAMIC FIBERS","ADVANCED CERAMIC FIBERS","acfibers.com/index.html",1,0,0,1,6,"FirmSize.MICRO_FIRM",1,1,1,0,6,1,1,0,0,7,0,0,0,1,0,0,1,0,1,1,1.75,-0.037365525,2015
1,"ADVANCED INNOVATION CENTER","ADVANCED INNOVATION CENTER LLC","ADVANCED INNOVATION CENTER","aicchile.com/en/",0,1,0,1,16,"FirmSize.SMALL_FIRM",1,2,1,0,0,3,9,3,1,3,0,0,0,6,0,0,0,0,0,3,0,0,2016
4,"Advanced Silicon Group","Advanced Silicon Group","Advanced Silicon Group","advancedsilicongroup.com/",1,0,0,1,3300,"FirmSize.LARGE_FIRM",0,2,1,1,3,22,3,3,1,21,2,4,13,5,6,1,4,9,3,22,0.25,-0.25,2015
8,"Advanced Water Technology","Advanced Water Technology","Advanced Water Technology","advancedwatertechnology.com/",1,0,0,1,1318,"FirmSize.LARGE_FIRM",0,1,1,0,0,1,0,3,3,1,0,0,0,0,0,1,0,0,1,1,19.5714285714286,0.140462985714286,1990
5,"Adynxx","Adynxx","Adynxx","adynxx.com/",0,0,1,1,4,"FirmSize.MICRO_FIRM",1,3,1,0,2,19,13,3,3,9,26,5,31,16,0,5,2,9,0,19,3,-0.05618624,2011
77,"Aerogen","Aerogen","Aerogen","aerogen.com/",1,0,0,1,198,"FirmSize.EU_MEDIUM_FIRM",1,4,1,1,2,19,6,6,3,6,8,10,20,9,0,5,18,15,3,19,34.3972602739726,0.0454407884246575,1998
3,"AG ENERGY SOLUTIONS","AG ENERGY SOLUTIONS","AG ENERGY SOLUTIONS","ag.energy/",0,1,0,1,14413,"FirmSize.LARGE_FIRM",0,3,2,0,2,3,1,2,2,11,0,1,0,1,1,3,0,0,1,1.5,0.333333333333333,-0.00925926666666667,2012
45,"AGC Flat Glass North America","AGC Flat Glass North America","AGC Flat Glass North America","agcglass.com/",0,1,0,1,584,"FirmSize.LARGE_FIRM",0,4,1,0,0,0,1,9,3,25,0,3,0,12,1,16,0,0,8,0,1.97435897435897,0.0294228215384615,2008
10,"Agena Bioscience","Agena Bioscience","Agena Bioscience","agenabio.com/",1,0,0,1,177,"FirmSize.EU_MEDIUM_FIRM",1,11,1,1,5,51,14,40,54,12,2,5,7,20,0,6,4,10,6,51,0,0,2014
2553,"AGFA-GEVAERT NV","AGFA-GEVAERT N.V.","AGFA-GEVAERT NV","agfa.com/corporate/",1,0,0,1,153,"FirmSize.EU_MEDIUM_FIRM",1,70,17,0,25,40,72,25,29,102,18,71,18,46,17,22,12,28,26,2.35294117647059,7.23350659736106,0.298567864210316,1976
4274,"Agilent Technologies","Agilent Technologies","Agilent Technologies","agilent.com/",1,0,0,1,13500,"FirmSize.LARGE_FIRM",0,19,2,0,1,102,17,17,12,24,17,16,4,16,4,30,8,1,26,51,11.9230769230769,0.058183797475888,1990
16,"Agrivida","Agrivida","Agrivida","agrivida.com/",0,1,1,2,31,"FirmSize.SMALL_FIRM",1,2,1,0,0,6,1,0,1,20,0,8,1,6,5,1,1,0,3,6,1.875,-0.01002371,2010
8,"AgroFresh","AgroFresh Inc.","AgroFresh","agrofresh.com/",0,0,1,1,284,"FirmSize.US_MEDIUM_FIRM",1,8,3,0,1,9,3,4,3,28,2,6,1,16,5,31,1,0,40,3,2.5,-0.02118055,2001
2986,"AIR PRODUCTS AND CHEMICALS","AIR PRODUCTS AND CHEMICALS","AIR PRODUCTS AND CHEMICALS","airproducts.com/",1,0,0,1,15225,"FirmSize.LARGE_FIRM",0,1,1,0,0,0,2,3,4,10,0,3,0,6,3,4,0,0,5,0,12.0420875420875,0.108940797007744,1976
4,"Ajinomoto Althea","Ajinomoto Althea","Ajinomoto Althea","ajibio-pharma.com/",0,0,1,1,210,"FirmSize.EU_MEDIUM_FIRM",1,2,1,0,0,1,0,0,0,4,0,0,0,3,0,2,0,0,5,1,0.25,-0.015625,2015
15,"Akron Polymer Systems","Akron Polymer Systems","Akron Polymer Systems","akronpolysys.com/",1,0,0,1,16,"FirmSize.SMALL_FIRM",1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0.333333333333333,0.00403965333333333,2010
4429,"Alcatel Lucent","Alcatel Lucent","Alcatel Lucent","al-enterprise.com/",0,1,0,1,2087,"FirmSize.LARGE_FIRM",0,27,10,0,0,28,72,25,54,29,4,12,12,171,3,115,35,13,113,2.8,2.29398462234283,0.0979461589059249,2007
324,"Alcon Research","Alcon Research","Alcon Research","alcon.com/",1,0,0,1,21766,"FirmSize.LARGE_FIRM",0,11,3,0,0,8,15,3,2,4,2,16,1,18,2,10,0,0,11,2.66666666666667,1.99684542586751,0.0214399069305994,2009
57,"Alcotek","Alcotek","Alcotek","alcotek.com/",0,1,0,1,90,"FirmSize.EU_MEDIUM_FIRM",1,2,1,0,0,0,1,5,4,9,0,0,0,0,0,4,2,0,4,0,15.44,0.0466488052,1982
5,"Alencon Acquisition Co","Alencon Acquisition Co.","Alencon Acquisition Co","alenconsystems.com/",0,1,0,1,13,"FirmSize.SMALL_FIRM",1,2,1,1,1,0,3,0,1,2,0,0,0,2,1,0,0,1,0,0,9,0.003549464,2012
105,"Alexion Pharmaceuticals","Alexion Pharmaceuticals","Alexion Pharmaceuticals","alexion.com/",0,0,1,1,2760,"FirmSize.LARGE_FIRM",0,12,4,0,0,68,17,17,5,17,8,16,34,24,4,3,11,11,1,17,6.40196078431373,0.0776114321960784,1996
18,"Algenol Biotech","Algenol Biotech LLC","Algenol Biotech","algenol.com/",0,0,1,1,127,"FirmSize.EU_MEDIUM_FIRM",1,4,1,0,0,10,0,2,2,19,0,1,0,2,11,1,1,0,0,10,0.166666666666667,-0.00582010555555556,2015
1,"ALGETERNAL TECHNOLOGIES","ALGETERNAL TECHNOLOGIES","ALGETERNAL TECHNOLOGIES","algeternal.com/",0,1,0,1,6,"FirmSize.MICRO_FIRM",1,1,1,0,3,8,7,5,5,25,0,2,0,2,14,1,0,0,3,8,0,0,2017
4,"All Power Labs","All Power Labs","All Power Labs","allpowerlabs.com/",0,1,0,1,43,"FirmSize.SMALL_FIRM",1,4,1,0,0,5,4,6,3,26,0,0,1,1,10,1,2,1,1,5,1,-0.02722485,2014
183,"Alliance for Sustainable Energy","Alliance for Sustainable Energy","Alliance for Sustainable Energy","allianceforsustainableenergy.org/",1,1,1,3,3,"FirmSize.MICRO_FIRM",1,2,1,0,0,5,0,0,0,0,0,0,4,1,5,0,0,0,0,5,3.24590163934426,0.0237917471038251,2008
189,"Allison Transmission","Allison Transmission","Allison Transmission","allisontransmission.com/",1,0,0,1,2600,"FirmSize.LARGE_FIRM",0,20,7,0,1,16,39,14,12,89,5,12,38,21,8,29,9,6,30,2.28571428571429,0.925925925925926,0.00354662105820106,2011
233,"Alnylam Pharmaceuticals","Alnylam Pharmaceuticals","Alnylam Pharmaceuticals","alnylam.com/",1,0,1,2,1198,"FirmSize.LARGE_FIRM",0,8,2,0,0,47,2,10,10,6,8,16,39,8,6,1,11,21,4,23.5,5.14163090128755,0.0668442871630901,2008
405,"Alpha and Omega Semiconductor","Alpha and Omega Semiconductor Incorporated","Alpha and Omega Semiconductor","aosmd.com/",1,0,0,1,2670,"FirmSize.LARGE_FIRM",0,3,1,0,0,1,2,2,1,4,0,1,0,0,1,3,0,0,4,1,2.58024691358025,0.0851527285679012,2006
1372,"ALSTOM Technology","ALSTOM Technology Ltd","ALSTOM Technology","alstom.com/",1,1,0,2,34500,"FirmSize.LARGE_FIRM",0,8,1,1,1,8,13,4,4,13,3,10,1,28,16,15,2,6,13,8,3.04674945215486,0.0249191014536158,1989
7,"AltaRock Energy","AltaRock Energy","AltaRock Energy","altarockenergy.com/",0,1,0,1,14,"FirmSize.SMALL_FIRM",1,3,1,0,0,3,0,0,0,2,0,0,4,3,0,0,0,0,0,3,0.714285714285714,0.00223214285714286,2012
7,"Altex Technologies","Altex Technologies Corporation","Altex Technologies","altextech.com/",0,1,0,1,12,"FirmSize.SMALL_FIRM",1,2,1,0,0,13,5,13,19,11,0,0,2,2,1,3,0,0,3,13,11.5714285714286,0.127387067142857,1998
6,"Altivera","Altivera","Altivera","altabira.com/",1,0,0,1,26,"FirmSize.SMALL_FIRM",1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6666666666667,0.0156357583333333,2006
10,"Ambature","Ambature","Ambature","ambature.com/",1,0,0,1,18,"FirmSize.SMALL_FIRM",1,12,1,0,4,17,3,5,5,10,2,10,13,3,6,0,0,4,1,17,1,0.0215389,2012
2,"Amberwave","Amberwave Inc.","Amberwave","amberwave.com/",0,1,0,1,9,"FirmSize.MICRO_FIRM",1,2,1,0,2,4,2,1,1,5,0,1,6,0,1,0,0,2,0,4,0,0,2015
327,"American Air Liquide","American Air Liquide","American Air Liquide","industry.airliquide.us/",1,0,0,1,32900,"FirmSize.LARGE_FIRM",0,8,2,0,0,9,8,23,3,41,2,3,0,27,6,13,2,3,12,4.5,9.61656441717791,0.0317466580368098,1989
45,"American Piledriving Equipment","American Piledriving Equipment","American Piledriving Equipment","apevibro.com/",0,1,0,1,85,"FirmSize.EU_MEDIUM_FIRM",1,3,2,0,6,6,13,9,9,32,2,1,0,2,0,2,0,0,2,3,10.9777777777778,-0.0874815466666667,1993
2,"American Science and Technology","American Science and Technology Corporation","American Science and Technology","amsnt.com/",0,1,0,1,3738,"FirmSize.LARGE_FIRM",0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2016
72,"Amgen Fremont","Amgen Fremont Inc.","Amgen Fremont","amgen.com/",0,0,1,1,27187,"FirmSize.LARGE_FIRM",0,14,8,0,1,145,26,65,33,69,8,49,183,26,39,2,79,61,3,18.125,4.94366197183099,0.0116768463802817,2006
45,"Amicus Therapeutics","Amicus Therapeutics","Amicus Therapeutics","amicusrx.com/",0,0,1,1,512,"FirmSize.LARGE_FIRM",0,9,2,0,1,44,12,8,4,11,2,10,25,8,2,0,5,26,1,22,0.6,0.0325445355555556,2009
880,"Amkor Technology","Amkor Technology","Amkor Technology","amkor.com/",1,1,0,2,25100,"FirmSize.LARGE_FIRM",0,5,1,0,0,4,5,11,11,11,0,2,0,5,0,7,0,2,5,4,24.0973654066438,0.0202496376093929,1989
17,"Ampio Pharmaceuticals","Ampio Pharmaceuticals","Ampio Pharmaceuticals","ampiopharma.com/",0,0,1,1,17,"FirmSize.SMALL_FIRM",1,12,5,0,12,50,3,15,10,16,3,10,17,11,0,0,9,15,1,10,0.941176470588235,-0.00350214117647059,2013
66,"Amprius","Amprius","Amprius","amprius.com/",0,0,1,1,44,"FirmSize.SMALL_FIRM",1,1,1,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,3.66666666666667,0.0436221721212121,2005
23,"AMPT","AMPT","AMPT","ampt.com/",0,1,0,1,33,"FirmSize.SMALL_FIRM",1,6,1,0,6,9,22,5,6,34,3,3,11,28,7,18,5,9,18,9,30.4782608695652,-0.0295080669565217,2003
46,"Amtech Systems","Amtech Systems","Amtech Systems","amtechsystems.com/",0,1,0,1,468,"FirmSize.US_MEDIUM_FIRM",1,2,1,0,2,3,2,0,0,20,3,0,0,5,0,2,0,0,2,3,5.26666666666667,0.00748685153333333,1988
2931,"Analog Devices","Analog Devices","Analog Devices","analog.com/en/index.html",1,0,0,1,15300,"FirmSize.LARGE_FIRM",0,22,1,0,1,10,34,21,13,66,31,24,1,35,4,31,16,4,27,10,10.5729452054795,0.0779855158277397,1976
153,"Andritz","Andritz Inc.","Andritz","andritz.com/group-en",0,1,0,1,15075,"FirmSize.LARGE_FIRM",0,37,8,0,3,39,28,8,37,66,9,15,3,109,24,28,2,23,24,4.875,2.22368421052632,0.0223080026315789,2000
2052,"Anelva","Anelva Corporation","Anelva","canon-anelva.co.jp/english/",1,0,0,1,37,"FirmSize.SMALL_FIRM",1,2,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,33.1088264794383,0.105537606982949,1976
1,"Angaza Design","Angaza Design","Angaza Design","angaza.com/",0,1,0,1,67,"FirmSize.EU_MEDIUM_FIRM",1,3,1,0,0,0,15,0,0,6,0,1,0,24,3,3,4,2,12,0,0,0,2016
25,"Angiotech Pharmaceuticals (US)","Angiotech Pharmaceuticals (US)","Angiotech Pharmaceuticals (US)","angiotech.com/",0,0,1,1,1364,"FirmSize.LARGE_FIRM",0,4,2,0,0,1,3,1,1,6,0,0,1,3,0,5,0,0,5,0.5,45.92,-0.00161417112,1999
1,"Angstron Materials","Angstron Materials","Angstron Materials","theglobalgraphenegroup.com/",1,0,0,1,30,"FirmSize.SMALL_FIRM",1,2,1,0,6,3,0,1,1,10,0,0,3,0,0,2,0,1,2,3,0,0,2016
5,"Ansun Biopharma","Ansun Biopharma","Ansun Biopharma","ansunbiopharma.com/",0,0,1,1,21,"FirmSize.SMALL_FIRM",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.01141422,2013
41,"Antaya Technologies","Antaya Technologies Corporation","Antaya Technologies","antaya.com/",0,1,0,1,225,"FirmSize.EU_MEDIUM_FIRM",1,2,1,0,1,5,3,1,0,10,0,0,0,3,0,8,0,0,5,5,4.92682926829268,0.0128481573170732,2000
14059,"Apple","Apple Inc.","Apple","apple.com/",1,1,0,2,123000,"FirmSize.LARGE_FIRM",0,1,1,0,0,0,6,3,3,0,1,1,1,2,1,0,0,0,0,0,5.47524184292507,0.0332851342803738,1987
5,"Applied Genetic Technologies","Applied Genetic Technologies Corporation","Applied Genetic Technologies","agtc.com/",0,0,1,1,87,"FirmSize.EU_MEDIUM_FIRM",1,8,2,0,3,76,2,28,6,29,13,11,65,29,0,1,5,18,2,38,0.4,-0.00635966,2005
7810,"Applied Materials","Applied Materials","Applied Materials","appliedmaterials.com/",1,1,0,2,18400,"FirmSize.LARGE_FIRM",0,31,3,0,4,49,25,26,22,120,21,60,19,54,16,35,24,7,39,16.3333333333333,18.6423225806452,0.027165976580129,1976
7,"Applied Membrane Technologies","Applied Membrane Technologies","Applied Membrane Technologies","appliedmembranetech.com/",1,0,0,1,31,"FirmSize.SMALL_FIRM",1,2,1,1,2,14,3,3,1,11,0,1,2,1,0,2,0,1,0,14,30.4285714285714,0.158643997142857,1984
6,"Applied Nanostructures","Applied Nanostructures","Applied Nanostructures","appnano.com/",1,0,0,1,295,"FirmSize.US_MEDIUM_FIRM",1,2,1,0,0,3,2,1,1,2,0,0,0,2,0,6,1,0,2,3,1.66666666666667,0.0179486666666667,2011
98,"Applied Optoelectronics","Applied Optoelectronics","Applied Optoelectronics","ao-inc.com/",1,0,0,1,3054,"FirmSize.LARGE_FIRM",0,7,3,0,6,8,6,1,4,43,4,15,21,11,3,1,3,7,4,2.66666666666667,3.93877551020408,0.0323332318367347,2002
1,"APPLIED STEMCELL","APPLIED STEMCELL","APPLIED STEMCELL","appliedstemcell.com/",0,0,1,1,81,"FirmSize.EU_MEDIUM_FIRM",1,6,1,0,2,75,51,15,17,49,4,6,31,11,1,17,6,5,17,75,0,0,2016
5,"ARBOR THERAPEUTICS","ARBOR THERAPEUTICS","ARBOR THERAPEUTICS","arborpharma.com/",1,0,0,1,589,"FirmSize.LARGE_FIRM",0,3,1,0,3,31,5,0,0,10,0,0,15,6,1,0,3,3,0,31,0.6,-0.0090909,2013
