count(p.id),lookup_firm
14,"22nd Century Limited"
9688,"3M Innovative Properties Company"
3,"540 Grid Solutions"
140,"646840 Alberta"
100,"AAC Technologies Pte"
3,Aadigen
378,"ABB AB"
948,"ABB Research"
1098,"ABB Technology"
915,"Abbott Cardiovascular Systems"
24,"Abbott Molecular"
145,"Abbott Point of Care"
554,AbbVie
16,"Abengoa Bioenergy New Technologies"
435,"ABL IP Holding"
2,Ablexis
58,"Abraxis Bioscience"
455,AC
3,"ACACIA RESEARCH GROUP"
445,"Access Business Group"
190,AccuRay
31,"Accuri Cytometers"
32,ACell
749,Acer
2386,"Acushnet Company"
78,"Acorn Technologies"
44,ACUCELA
15,"Adaptive Biotechnologies Corp"
7,adaptiveARC
8,ADASA
285,Adeka
40,"Adhesives Research"
159,"adidas AG"
22,"Adlens Beacon"
7,"ADMA Products"
3216,"Adobe Systems"
471,Adtran
173,"Advanced Analogic Technologies"
2,"Advanced Aqua Group"
1527,"Advanced Cardiovascular Systems"
21,"Advanced Cell Technology"
4,"ADVANCED CERAMIC FIBERS"
10,"Advanced Fusion Technologies"
1,"ADVANCED INNOVATION CENTER"
4,"Advanced Silicon Group"
730,"Advanced Technology Materials"
8,"Advanced Water Technology"
5,Adynxx
77,Aerogen
14,"Aerosol Dynamics"
1,AFMODEL
3,"AG ENERGY SOLUTIONS"
45,"AGC Flat Glass North America"
10,"Agena Bioscience"
2553,"AGFA-GEVAERT NV"
6,Agienic
4274,"Agilent Technologies"
289,Agrigenetics
16,Agrivida
8,AgroFresh
2986,"AIR PRODUCTS AND CHEMICALS"
4,"Ajinomoto Althea"
15,"Akron Polymer Systems"
4429,"Alcatel Lucent"
324,"Alcon Research"
57,Alcotek
5,"Alencon Acquisition Co"
105,"Alexion Pharmaceuticals"
4,"ALF OPERATING PARTNERS"
18,"Algenol Biotech"
1,"ALGETERNAL TECHNOLOGIES"
4,"All Power Labs"
5,"Allertein Therapeutics"
183,"Alliance for Sustainable Energy"
189,"Allison Transmission"
233,"Alnylam Pharmaceuticals"
405,"Alpha and Omega Semiconductor"
1372,"ALSTOM Technology"
7,"AltaRock Energy"
7,"Altex Technologies"
6,Altivera
